#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0208500.1-p1   -           1189 1494at5820           -            912         0 1832.6  45.5   1   4  4.5e-222  4.9e-219  728.2  10.5     7   351    40   394    35   400 0.98 | transcript=PVP01_0208500.1 | gene=PVP01_0208500 | organism=Plasmodium_vivax_P01 | gene_product=calcium-transporting ATPase, putative | transcript_product=calcium-transporting ATPase, putative | location=PvP01_02_v2:352862-356879(+) | protein_length=1189 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0208500.1-p1   -           1189 1494at5820           -            912         0 1832.6  45.5   2   4   5.5e-41     6e-38  128.9   1.0   355   436   490   580   481   587 0.90 | transcript=PVP01_0208500.1 | gene=PVP01_0208500 | organism=Plasmodium_vivax_P01 | gene_product=calcium-transporting ATPase, putative | transcript_product=calcium-transporting ATPase, putative | location=PvP01_02_v2:352862-356879(+) | protein_length=1189 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0208500.1-p1   -           1189 1494at5820           -            912         0 1832.6  45.5   3   4   1.1e-62   1.2e-59  200.8   7.3   431   562   612   781   606   793 0.86 | transcript=PVP01_0208500.1 | gene=PVP01_0208500 | organism=Plasmodium_vivax_P01 | gene_product=calcium-transporting ATPase, putative | transcript_product=calcium-transporting ATPase, putative | location=PvP01_02_v2:352862-356879(+) | protein_length=1189 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0208500.1-p1   -           1189 1494at5820           -            912         0 1832.6  45.5   4   4  6.4e-239    7e-236  783.9   3.8   560   912   820  1178   810  1178 0.98 | transcript=PVP01_0208500.1 | gene=PVP01_0208500 | organism=Plasmodium_vivax_P01 | gene_product=calcium-transporting ATPase, putative | transcript_product=calcium-transporting ATPase, putative | location=PvP01_02_v2:352862-356879(+) | protein_length=1189 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1311100.1-p1   -           1341 1494at5820           -            912    3e-107  358.3  18.6   1   4   8.7e-52   9.5e-49  164.7   6.2     6   336   226   544   222   553 0.90 | transcript=PVP01_1311100.1 | gene=PVP01_1311100 | organism=Plasmodium_vivax_P01 | gene_product=non-SERCA-type Ca2+ -transporting P-ATPase, putative | transcript_product=non-SERCA-type Ca2+ -transporting P-ATPase, putative | location=PvP01_13_v2:516370-520395(-) | protein_length=1341 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1311100.1-p1   -           1341 1494at5820           -            912    3e-107  358.3  18.6   2   4    0.0057       6.2    3.1   0.0   406   481   535   618   534   633 0.80 | transcript=PVP01_1311100.1 | gene=PVP01_1311100 | organism=Plasmodium_vivax_P01 | gene_product=non-SERCA-type Ca2+ -transporting P-ATPase, putative | transcript_product=non-SERCA-type Ca2+ -transporting P-ATPase, putative | location=PvP01_13_v2:516370-520395(-) | protein_length=1341 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1311100.1-p1   -           1341 1494at5820           -            912    3e-107  358.3  18.6   3   4   3.1e-59   3.3e-56  189.3   0.3   508   741   813  1070   805  1112 0.83 | transcript=PVP01_1311100.1 | gene=PVP01_1311100 | organism=Plasmodium_vivax_P01 | gene_product=non-SERCA-type Ca2+ -transporting P-ATPase, putative | transcript_product=non-SERCA-type Ca2+ -transporting P-ATPase, putative | location=PvP01_13_v2:516370-520395(-) | protein_length=1341 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1311100.1-p1   -           1341 1494at5820           -            912    3e-107  358.3  18.6   4   4   0.00034      0.37    7.2   0.2   813   904  1235  1327  1218  1336 0.79 | transcript=PVP01_1311100.1 | gene=PVP01_1311100 | organism=Plasmodium_vivax_P01 | gene_product=non-SERCA-type Ca2+ -transporting P-ATPase, putative | transcript_product=non-SERCA-type Ca2+ -transporting P-ATPase, putative | location=PvP01_13_v2:516370-520395(-) | protein_length=1341 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1441600.1-p1   -           1620 1494at5820           -            912   4.3e-12   43.4  38.1   1   5   1.2e-05     0.013   12.0   1.1    24   172    79   227    66   231 0.68 | transcript=PVP01_1441600.1 | gene=PVP01_1441600 | organism=Plasmodium_vivax_P01 | gene_product=phospholipid-transporting ATPase, putative | transcript_product=phospholipid-transporting ATPase, putative | location=PvP01_14_v2:1802587-1808321(+) | protein_length=1620 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1441600.1-p1   -           1620 1494at5820           -            912   4.3e-12   43.4  38.1   2   5   2.3e-05     0.025   11.1   2.0   168   338   623   780   567   824 0.68 | transcript=PVP01_1441600.1 | gene=PVP01_1441600 | organism=Plasmodium_vivax_P01 | gene_product=phospholipid-transporting ATPase, putative | transcript_product=phospholipid-transporting ATPase, putative | location=PvP01_14_v2:1802587-1808321(+) | protein_length=1620 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1441600.1-p1   -           1620 1494at5820           -            912   4.3e-12   43.4  38.1   3   5      0.21   2.3e+02   -2.1   3.2   356   478  1078  1207  1062  1226 0.69 | transcript=PVP01_1441600.1 | gene=PVP01_1441600 | organism=Plasmodium_vivax_P01 | gene_product=phospholipid-transporting ATPase, putative | transcript_product=phospholipid-transporting ATPase, putative | location=PvP01_14_v2:1802587-1808321(+) | protein_length=1620 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
