#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0703000.1-p1   -           1595 1668at5820           -            781         0 1189.5 223.4   1   6   1.6e-08   2.7e-05   21.3   3.0     1    78     1    82     1   137 0.72 | transcript=PVP01_0703000.1 | gene=PVP01_0703000 | organism=Plasmodium_vivax_P01 | gene_product=ubiquitin specific protease, putative | transcript_product=ubiquitin specific protease, putative | location=PvP01_07_v2:174879-179837(+) | protein_length=1595 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0703000.1-p1   -           1595 1668at5820           -            781         0 1189.5 223.4   2   6   6.9e-84   1.1e-80  270.5  20.2    65   220   413   589   396   596 0.88 | transcript=PVP01_0703000.1 | gene=PVP01_0703000 | organism=Plasmodium_vivax_P01 | gene_product=ubiquitin specific protease, putative | transcript_product=ubiquitin specific protease, putative | location=PvP01_07_v2:174879-179837(+) | protein_length=1595 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0703000.1-p1   -           1595 1668at5820           -            781         0 1189.5 223.4   3   6   2.8e-12   4.6e-09   33.7  30.1   216   408   639   841   634   843 0.62 | transcript=PVP01_0703000.1 | gene=PVP01_0703000 | organism=Plasmodium_vivax_P01 | gene_product=ubiquitin specific protease, putative | transcript_product=ubiquitin specific protease, putative | location=PvP01_07_v2:174879-179837(+) | protein_length=1595 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0703000.1-p1   -           1595 1668at5820           -            781         0 1189.5 223.4   4   6         4   6.5e+03  -18.2  63.9   262   320   828   886   818   911 0.54 | transcript=PVP01_0703000.1 | gene=PVP01_0703000 | organism=Plasmodium_vivax_P01 | gene_product=ubiquitin specific protease, putative | transcript_product=ubiquitin specific protease, putative | location=PvP01_07_v2:174879-179837(+) | protein_length=1595 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0703000.1-p1   -           1595 1668at5820           -            781         0 1189.5 223.4   5   6   2.3e-21   3.7e-18   63.8  27.0   277   376   939  1041   886  1076 0.61 | transcript=PVP01_0703000.1 | gene=PVP01_0703000 | organism=Plasmodium_vivax_P01 | gene_product=ubiquitin specific protease, putative | transcript_product=ubiquitin specific protease, putative | location=PvP01_07_v2:174879-179837(+) | protein_length=1595 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0703000.1-p1   -           1595 1668at5820           -            781         0 1189.5 223.4   6   6  1.8e-250  2.9e-247  821.4  70.5   262   781  1049  1593  1032  1593 0.84 | transcript=PVP01_0703000.1 | gene=PVP01_0703000 | organism=Plasmodium_vivax_P01 | gene_product=ubiquitin specific protease, putative | transcript_product=ubiquitin specific protease, putative | location=PvP01_07_v2:174879-179837(+) | protein_length=1595 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1017300.1-p1   -           1342 1668at5820           -            781   1.7e-07   28.5   1.6   1   5   4.7e-05     0.077    9.8   0.1   407   454   305   352   217   369 0.60 | transcript=PVP01_1017300.1 | gene=PVP01_1017300 | organism=Plasmodium_vivax_P01 | gene_product=ubiquitin carboxyl-terminal hydrolase 2, putative | transcript_product=ubiquitin carboxyl-terminal hydrolase 2, putative | location=PvP01_10_v2:771250-776009(-) | protein_length=1342 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1017300.1-p1   -           1342 1668at5820           -            781   1.7e-07   28.5   1.6   2   5   5.4e-05     0.088    9.6   0.4   541   629   409   512   353   519 0.63 | transcript=PVP01_1017300.1 | gene=PVP01_1017300 | organism=Plasmodium_vivax_P01 | gene_product=ubiquitin carboxyl-terminal hydrolase 2, putative | transcript_product=ubiquitin carboxyl-terminal hydrolase 2, putative | location=PvP01_10_v2:771250-776009(-) | protein_length=1342 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1017300.1-p1   -           1342 1668at5820           -            781   1.7e-07   28.5   1.6   3   5      0.14   2.2e+02   -1.6   3.4   228   257   614   645   550   712 0.57 | transcript=PVP01_1017300.1 | gene=PVP01_1017300 | organism=Plasmodium_vivax_P01 | gene_product=ubiquitin carboxyl-terminal hydrolase 2, putative | transcript_product=ubiquitin carboxyl-terminal hydrolase 2, putative | location=PvP01_10_v2:771250-776009(-) | protein_length=1342 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1017300.1-p1   -           1342 1668at5820           -            781   1.7e-07   28.5   1.6   4   5       1.6   2.6e+03   -5.2   1.9   289   332   792   835   734   897 0.57 | transcript=PVP01_1017300.1 | gene=PVP01_1017300 | organism=Plasmodium_vivax_P01 | gene_product=ubiquitin carboxyl-terminal hydrolase 2, putative | transcript_product=ubiquitin carboxyl-terminal hydrolase 2, putative | location=PvP01_10_v2:771250-776009(-) | protein_length=1342 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1017300.1-p1   -           1342 1668at5820           -            781   1.7e-07   28.5   1.6   5   5   1.1e-10   1.7e-07   28.5   1.6   652   780  1174  1309  1155  1310 0.77 | transcript=PVP01_1017300.1 | gene=PVP01_1017300 | organism=Plasmodium_vivax_P01 | gene_product=ubiquitin carboxyl-terminal hydrolase 2, putative | transcript_product=ubiquitin carboxyl-terminal hydrolase 2, putative | location=PvP01_10_v2:771250-776009(-) | protein_length=1342 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
