#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0519300.1-p1   -            458 6833at5820           -            348  1.5e-177  588.4  15.9   1   4   5.3e-15   1.7e-12   45.5   0.2     1    31     1    31     1    34 0.95 | transcript=PVP01_0519300.1 | gene=PVP01_0519300 | organism=Plasmodium_vivax_P01 | gene_product=ribosome assembly protein RRB1, putative | transcript_product=ribosome assembly protein RRB1, putative | location=PvP01_05_v2:793390-794766(+) | protein_length=458 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0519300.1-p1   -            458 6833at5820           -            348  1.5e-177  588.4  15.9   2   4   1.1e-11   3.5e-09   34.6   0.0    32    63    57    91    55    95 0.88 | transcript=PVP01_0519300.1 | gene=PVP01_0519300 | organism=Plasmodium_vivax_P01 | gene_product=ribosome assembly protein RRB1, putative | transcript_product=ribosome assembly protein RRB1, putative | location=PvP01_05_v2:793390-794766(+) | protein_length=458 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0519300.1-p1   -            458 6833at5820           -            348  1.5e-177  588.4  15.9   3   4   1.1e-66   3.7e-64  215.5   0.4    63   179   135   251   131   262 0.96 | transcript=PVP01_0519300.1 | gene=PVP01_0519300 | organism=Plasmodium_vivax_P01 | gene_product=ribosome assembly protein RRB1, putative | transcript_product=ribosome assembly protein RRB1, putative | location=PvP01_05_v2:793390-794766(+) | protein_length=458 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0519300.1-p1   -            458 6833at5820           -            348  1.5e-177  588.4  15.9   4   4   1.1e-91   3.6e-89  297.7   4.4   175   348   267   458   257   458 0.92 | transcript=PVP01_0519300.1 | gene=PVP01_0519300 | organism=Plasmodium_vivax_P01 | gene_product=ribosome assembly protein RRB1, putative | transcript_product=ribosome assembly protein RRB1, putative | location=PvP01_05_v2:793390-794766(+) | protein_length=458 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1023200.1-p1   -            646 6833at5820           -            348     9e-20   69.5   6.0   1   3     2e-13   6.6e-11   40.3   0.2   211   322   355   467   345   469 0.89 | transcript=PVP01_1023200.1 | gene=PVP01_1023200 | organism=Plasmodium_vivax_P01 | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=PvP01_10_v2:1004218-1007733(-) | protein_length=646 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1023200.1-p1   -            646 6833at5820           -            348     9e-20   69.5   6.0   2   3     5e-08   1.6e-05   22.6   0.2   236   292   463   521   451   537 0.82 | transcript=PVP01_1023200.1 | gene=PVP01_1023200 | organism=Plasmodium_vivax_P01 | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=PvP01_10_v2:1004218-1007733(-) | protein_length=646 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1023200.1-p1   -            646 6833at5820           -            348     9e-20   69.5   6.0   3   3   0.00033      0.11   10.0   0.1   198   290   550   642   539   645 0.79 | transcript=PVP01_1023200.1 | gene=PVP01_1023200 | organism=Plasmodium_vivax_P01 | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=PvP01_10_v2:1004218-1007733(-) | protein_length=646 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0946700.1-p1   -            660 6833at5820           -            348   3.3e-17   61.0   7.4   1   5   2.5e-06   0.00081   17.0   0.0   212   290   113   192   103   194 0.82 | transcript=PVP01_0946700.1 | gene=PVP01_0946700 | organism=Plasmodium_vivax_P01 | gene_product=ribosome assembly protein 4, putative | transcript_product=ribosome assembly protein 4, putative | location=PvP01_09_v2:2037475-2039457(-) | protein_length=660 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0946700.1-p1   -            660 6833at5820           -            348   3.3e-17   61.0   7.4   2   5    0.0014      0.44    8.0   0.0   229   279   172   221   163   228 0.78 | transcript=PVP01_0946700.1 | gene=PVP01_0946700 | organism=Plasmodium_vivax_P01 | gene_product=ribosome assembly protein 4, putative | transcript_product=ribosome assembly protein 4, putative | location=PvP01_09_v2:2037475-2039457(-) | protein_length=660 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0946700.1-p1   -            660 6833at5820           -            348   3.3e-17   61.0   7.4   3   5   5.4e-05     0.018   12.6   1.0   202   284   347   433   332   445 0.79 | transcript=PVP01_0946700.1 | gene=PVP01_0946700 | organism=Plasmodium_vivax_P01 | gene_product=ribosome assembly protein 4, putative | transcript_product=ribosome assembly protein 4, putative | location=PvP01_09_v2:2037475-2039457(-) | protein_length=660 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0946700.1-p1   -            660 6833at5820           -            348   3.3e-17   61.0   7.4   4   5   8.2e-08   2.7e-05   21.9   0.3   114   253   428   568   425   579 0.80 | transcript=PVP01_0946700.1 | gene=PVP01_0946700 | organism=Plasmodium_vivax_P01 | gene_product=ribosome assembly protein 4, putative | transcript_product=ribosome assembly protein 4, putative | location=PvP01_09_v2:2037475-2039457(-) | protein_length=660 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0946700.1-p1   -            660 6833at5820           -            348   3.3e-17   61.0   7.4   5   5    0.0013      0.43    8.0   0.0   219   250   629   659   614   660 0.89 | transcript=PVP01_0946700.1 | gene=PVP01_0946700 | organism=Plasmodium_vivax_P01 | gene_product=ribosome assembly protein 4, putative | transcript_product=ribosome assembly protein 4, putative | location=PvP01_09_v2:2037475-2039457(-) | protein_length=660 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1458200.1-p1   -            472 6833at5820           -            348     2e-14   51.9  13.3   1   4   2.6e-05    0.0084   13.7   1.8   139   294    91   249    77   255 0.72 | transcript=PVP01_1458200.1 | gene=PVP01_1458200 | organism=Plasmodium_vivax_P01 | gene_product=polyadenylation factor subunit 2, putative | transcript_product=polyadenylation factor subunit 2, putative | location=PvP01_14_v2:2537122-2538780(-) | protein_length=472 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1458200.1-p1   -            472 6833at5820           -            348     2e-14   51.9  13.3   2   4   6.1e-09     2e-06   25.6   0.1   218   262   256   299   250   310 0.88 | transcript=PVP01_1458200.1 | gene=PVP01_1458200 | organism=Plasmodium_vivax_P01 | gene_product=polyadenylation factor subunit 2, putative | transcript_product=polyadenylation factor subunit 2, putative | location=PvP01_14_v2:2537122-2538780(-) | protein_length=472 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1458200.1-p1   -            472 6833at5820           -            348     2e-14   51.9  13.3   3   4     0.043        14    3.1   0.1   140   167   316   343   305   349 0.82 | transcript=PVP01_1458200.1 | gene=PVP01_1458200 | organism=Plasmodium_vivax_P01 | gene_product=polyadenylation factor subunit 2, putative | transcript_product=polyadenylation factor subunit 2, putative | location=PvP01_14_v2:2537122-2538780(-) | protein_length=472 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1458200.1-p1   -            472 6833at5820           -            348     2e-14   51.9  13.3   4   4   1.5e-06   0.00049   17.7   0.5   195   273   325   409   319   444 0.75 | transcript=PVP01_1458200.1 | gene=PVP01_1458200 | organism=Plasmodium_vivax_P01 | gene_product=polyadenylation factor subunit 2, putative | transcript_product=polyadenylation factor subunit 2, putative | location=PvP01_14_v2:2537122-2538780(-) | protein_length=472 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0611600.1-p1   -            661 6833at5820           -            348     1e-12   46.3  11.1   1   3   7.3e-07   0.00024   18.8   0.5   194   293   332   428   299   436 0.75 | transcript=PVP01_0611600.1 | gene=PVP01_0611600 | organism=Plasmodium_vivax_P01 | gene_product=cell division cycle protein 20 homolog, putative | transcript_product=cell division cycle protein 20 homolog, putative | location=PvP01_06_v2:510785-512770(-) | protein_length=661 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0611600.1-p1   -            661 6833at5820           -            348     1e-12   46.3  11.1   2   3   2.5e-13   8.1e-11   40.0   4.6   112   318   335   541   331   554 0.80 | transcript=PVP01_0611600.1 | gene=PVP01_0611600 | organism=Plasmodium_vivax_P01 | gene_product=cell division cycle protein 20 homolog, putative | transcript_product=cell division cycle protein 20 homolog, putative | location=PvP01_06_v2:510785-512770(-) | protein_length=661 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
