#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0105000.1-p1   -           1270 2272at5820           -            703  4.7e-286  949.4  71.7   1   7  1.1e-134  3.5e-131  437.4  21.7     1   282     1   333     1   344 0.88 | transcript=PVP01_0105000.1 | gene=PVP01_0105000 | organism=Plasmodium_vivax_P01 | gene_product=protein phosphatase PPM12, putative | transcript_product=protein phosphatase PPM12, putative | location=PvP01_01_v2:271736-275548(-) | protein_length=1270 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0105000.1-p1   -           1270 2272at5820           -            703  4.7e-286  949.4  71.7   2   7   9.7e-26   3.2e-22   77.3   0.0   267   379   399   543   386   546 0.77 | transcript=PVP01_0105000.1 | gene=PVP01_0105000 | organism=Plasmodium_vivax_P01 | gene_product=protein phosphatase PPM12, putative | transcript_product=protein phosphatase PPM12, putative | location=PvP01_01_v2:271736-275548(-) | protein_length=1270 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0105000.1-p1   -           1270 2272at5820           -            703  4.7e-286  949.4  71.7   3   7   4.5e-19   1.5e-15   55.3   1.0   379   415   592   636   588   644 0.91 | transcript=PVP01_0105000.1 | gene=PVP01_0105000 | organism=Plasmodium_vivax_P01 | gene_product=protein phosphatase PPM12, putative | transcript_product=protein phosphatase PPM12, putative | location=PvP01_01_v2:271736-275548(-) | protein_length=1270 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0105000.1-p1   -           1270 2272at5820           -            703  4.7e-286  949.4  71.7   4   7   2.8e-51   9.2e-48  161.7   2.1   418   520   662   766   651   778 0.90 | transcript=PVP01_0105000.1 | gene=PVP01_0105000 | organism=Plasmodium_vivax_P01 | gene_product=protein phosphatase PPM12, putative | transcript_product=protein phosphatase PPM12, putative | location=PvP01_01_v2:271736-275548(-) | protein_length=1270 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0105000.1-p1   -           1270 2272at5820           -            703  4.7e-286  949.4  71.7   5   7   6.8e-09   2.2e-05   21.6   0.6   511   544   862   895   849   925 0.84 | transcript=PVP01_0105000.1 | gene=PVP01_0105000 | organism=Plasmodium_vivax_P01 | gene_product=protein phosphatase PPM12, putative | transcript_product=protein phosphatase PPM12, putative | location=PvP01_01_v2:271736-275548(-) | protein_length=1270 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0105000.1-p1   -           1270 2272at5820           -            703  4.7e-286  949.4  71.7   6   7   2.5e-31   8.2e-28   95.8   2.1   567   641  1099  1178  1095  1191 0.88 | transcript=PVP01_0105000.1 | gene=PVP01_0105000 | organism=Plasmodium_vivax_P01 | gene_product=protein phosphatase PPM12, putative | transcript_product=protein phosphatase PPM12, putative | location=PvP01_01_v2:271736-275548(-) | protein_length=1270 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0105000.1-p1   -           1270 2272at5820           -            703  4.7e-286  949.4  71.7   7   7   3.2e-40   1.1e-36  125.2   4.5   634   703  1200  1269  1189  1269 0.93 | transcript=PVP01_0105000.1 | gene=PVP01_0105000 | organism=Plasmodium_vivax_P01 | gene_product=protein phosphatase PPM12, putative | transcript_product=protein phosphatase PPM12, putative | location=PvP01_01_v2:271736-275548(-) | protein_length=1270 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0809600.1-p1   -            402 2272at5820           -            703   4.1e-08   30.7   9.2   1   2     0.024        77    0.0   9.5    56   169   106   222    74   277 0.66 | transcript=PVP01_0809600.1 | gene=PVP01_0809600 | organism=Plasmodium_vivax_P01 | gene_product=protein phosphatase PPM10, putative | transcript_product=protein phosphatase PPM10, putative | location=PvP01_08_v2:425001-426209(+) | protein_length=402 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0809600.1-p1   -            402 2272at5820           -            703   4.1e-08   30.7   9.2   2   2   1.3e-11   4.1e-08   30.7   9.2   389   480   284   355   273   398 0.66 | transcript=PVP01_0809600.1 | gene=PVP01_0809600 | organism=Plasmodium_vivax_P01 | gene_product=protein phosphatase PPM10, putative | transcript_product=protein phosphatase PPM10, putative | location=PvP01_08_v2:425001-426209(+) | protein_length=402 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2272at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/2272at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2272at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:35:03 2026
# [ok]
