#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0409300.1-p1   -           1346 913at5820            -           1148         0 2638.4  12.3   1   2         0         0 1966.0   4.0     4   850    30   905    28   914 0.98 | transcript=PVP01_0409300.1 | gene=PVP01_0409300 | organism=Plasmodium_vivax_P01 | gene_product=DNA-directed RNA polymerase II subunit RPB2, putative | transcript_product=DNA-directed RNA polymerase II subunit RPB2, putative | location=PvP01_04_v2:376027-380175(-) | protein_length=1346 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0409300.1-p1   -           1346 913at5820            -           1148         0 2638.4  12.3   2   2  5.8e-207  9.5e-204  677.5   1.2   852  1148  1041  1346  1028  1346 0.97 | transcript=PVP01_0409300.1 | gene=PVP01_0409300 | organism=Plasmodium_vivax_P01 | gene_product=DNA-directed RNA polymerase II subunit RPB2, putative | transcript_product=DNA-directed RNA polymerase II subunit RPB2, putative | location=PvP01_04_v2:376027-380175(-) | protein_length=1346 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1305700.1-p1   -           1433 913at5820            -           1148  1.3e-207  690.3  19.2   1   2  2.7e-126  4.3e-123  410.3  13.1     9   786   218  1003   212  1015 0.85 | transcript=PVP01_1305700.1 | gene=PVP01_1305700 | organism=Plasmodium_vivax_P01 | gene_product=DNA-directed RNA polymerase III subunit RPC2, putative | transcript_product=DNA-directed RNA polymerase III subunit RPC2, putative | location=PvP01_13_v2:251704-256005(-) | protein_length=1433 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1305700.1-p1   -           1433 913at5820            -           1148  1.3e-207  690.3  19.2   2   2   4.4e-88   7.1e-85  283.8   0.4   804  1146  1103  1431  1076  1433 0.90 | transcript=PVP01_1305700.1 | gene=PVP01_1305700 | organism=Plasmodium_vivax_P01 | gene_product=DNA-directed RNA polymerase III subunit RPC2, putative | transcript_product=DNA-directed RNA polymerase III subunit RPC2, putative | location=PvP01_13_v2:251704-256005(-) | protein_length=1433 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0935500.1-p1   -           1579 913at5820            -           1148  6.4e-100  333.6  14.9   1   5   1.5e-08   2.4e-05   20.4   0.5    22   173   107   260    95   278 0.86 | transcript=PVP01_0935500.1 | gene=PVP01_0935500 | organism=Plasmodium_vivax_P01 | gene_product=DNA-directed RNA polymerase I subunit RPA2, putative | transcript_product=DNA-directed RNA polymerase I subunit RPA2, putative | location=PvP01_09_v2:1527267-1532154(-) | protein_length=1579 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0935500.1-p1   -           1579 913at5820            -           1148  6.4e-100  333.6  14.9   2   5   1.8e-07   0.00029   16.8   0.0   440   508   621   687   551   724 0.69 | transcript=PVP01_0935500.1 | gene=PVP01_0935500 | organism=Plasmodium_vivax_P01 | gene_product=DNA-directed RNA polymerase I subunit RPA2, putative | transcript_product=DNA-directed RNA polymerase I subunit RPA2, putative | location=PvP01_09_v2:1527267-1532154(-) | protein_length=1579 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0935500.1-p1   -           1579 913at5820            -           1148  6.4e-100  333.6  14.9   3   5   6.2e-32     1e-28   97.8   0.2   659   783   992  1117   983  1128 0.90 | transcript=PVP01_0935500.1 | gene=PVP01_0935500 | organism=Plasmodium_vivax_P01 | gene_product=DNA-directed RNA polymerase I subunit RPA2, putative | transcript_product=DNA-directed RNA polymerase I subunit RPA2, putative | location=PvP01_09_v2:1527267-1532154(-) | protein_length=1579 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0935500.1-p1   -           1579 913at5820            -           1148  6.4e-100  333.6  14.9   4   5   7.3e-31   1.2e-27   94.3   0.0   886   982  1221  1320  1201  1340 0.92 | transcript=PVP01_0935500.1 | gene=PVP01_0935500 | organism=Plasmodium_vivax_P01 | gene_product=DNA-directed RNA polymerase I subunit RPA2, putative | transcript_product=DNA-directed RNA polymerase I subunit RPA2, putative | location=PvP01_09_v2:1527267-1532154(-) | protein_length=1579 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0935500.1-p1   -           1579 913at5820            -           1148  6.4e-100  333.6  14.9   5   5   2.6e-35   4.2e-32  109.0   2.1   983  1144  1393  1568  1373  1572 0.84 | transcript=PVP01_0935500.1 | gene=PVP01_0935500 | organism=Plasmodium_vivax_P01 | gene_product=DNA-directed RNA polymerase I subunit RPA2, putative | transcript_product=DNA-directed RNA polymerase I subunit RPA2, putative | location=PvP01_09_v2:1527267-1532154(-) | protein_length=1579 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_API04300.1-p1  -           1021 913at5820            -           1148   3.1e-25   86.2   6.8   1   2      0.26   4.3e+02   -3.6   4.6   668   727   467   534   444   571 0.66 | transcript=PVP01_API04300.1 | gene=PVP01_API04300 | organism=Plasmodium_vivax_P01 | gene_product=DNA-directed RNA polymerase subunit beta, putative | transcript_product=DNA-directed RNA polymerase subunit beta, putative | location=PvP01_API_v2:19195-22260(-) | protein_length=1021 | sequence_SO=apicoplast_chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_API04300.1-p1  -           1021 913at5820            -           1148   3.1e-25   86.2   6.8   2   2   1.9e-28   3.1e-25   86.2   6.8   734  1085   592   960   580   967 0.77 | transcript=PVP01_API04300.1 | gene=PVP01_API04300 | organism=Plasmodium_vivax_P01 | gene_product=DNA-directed RNA polymerase subunit beta, putative | transcript_product=DNA-directed RNA polymerase subunit beta, putative | location=PvP01_API_v2:19195-22260(-) | protein_length=1021 | sequence_SO=apicoplast_chromosome | SO=protein_coding_gene | is_pseudo=false
