#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0210700.1-p1   -            159 14674at5820          -            109   1.4e-38  129.9  24.8   1   3   9.9e-08   8.1e-05   21.3   0.4     1    23     1    23     1    29 0.94 | transcript=PVP01_0210700.1 | gene=PVP01_0210700 | organism=Plasmodium_vivax_P01 | gene_product=thrombospondin-related sporozoite protein, putative | transcript_product=thrombospondin-related sporozoite protein, putative | location=PvP01_02_v2:437231-438188(-) | protein_length=159 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0210700.1-p1   -            159 14674at5820          -            109   1.4e-38  129.9  24.8   2   3     1e-23   8.2e-21   72.7   7.1    17    72    40   102    34   112 0.87 | transcript=PVP01_0210700.1 | gene=PVP01_0210700 | organism=Plasmodium_vivax_P01 | gene_product=thrombospondin-related sporozoite protein, putative | transcript_product=thrombospondin-related sporozoite protein, putative | location=PvP01_02_v2:437231-438188(-) | protein_length=159 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0210700.1-p1   -            159 14674at5820          -            109   1.4e-38  129.9  24.8   3   3   1.6e-15   1.3e-12   46.3   4.6    56   109   106   159   101   159 0.83 | transcript=PVP01_0210700.1 | gene=PVP01_0210700 | organism=Plasmodium_vivax_P01 | gene_product=thrombospondin-related sporozoite protein, putative | transcript_product=thrombospondin-related sporozoite protein, putative | location=PvP01_02_v2:437231-438188(-) | protein_length=159 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0824900.1-p1   -           2115 14674at5820          -            109   2.1e-11   42.5  44.1   1   7     0.018        15    4.3   0.7    29    43  1509  1523  1496  1541 0.80 | transcript=PVP01_0824900.1 | gene=PVP01_0824900 | organism=Plasmodium_vivax_P01 | gene_product=circumsporozoite- and TRAP-related protein, putative | transcript_product=circumsporozoite- and TRAP-related protein, putative | location=PvP01_08_v2:1106777-1113124(-) | protein_length=2115 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0824900.1-p1   -           2115 14674at5820          -            109   2.1e-11   42.5  44.1   2   7   8.2e-06    0.0067   15.1   0.3    29    55  1582  1608  1575  1614 0.87 | transcript=PVP01_0824900.1 | gene=PVP01_0824900 | organism=Plasmodium_vivax_P01 | gene_product=circumsporozoite- and TRAP-related protein, putative | transcript_product=circumsporozoite- and TRAP-related protein, putative | location=PvP01_08_v2:1106777-1113124(-) | protein_length=2115 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0824900.1-p1   -           2115 14674at5820          -            109   2.1e-11   42.5  44.1   3   7   8.6e-06     0.007   15.0   4.0    27    71  1650  1701  1642  1711 0.72 | transcript=PVP01_0824900.1 | gene=PVP01_0824900 | organism=Plasmodium_vivax_P01 | gene_product=circumsporozoite- and TRAP-related protein, putative | transcript_product=circumsporozoite- and TRAP-related protein, putative | location=PvP01_08_v2:1106777-1113124(-) | protein_length=2115 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0824900.1-p1   -           2115 14674at5820          -            109   2.1e-11   42.5  44.1   4   7      0.52   4.2e+02   -0.4   2.2    30    45  1709  1724  1706  1734 0.80 | transcript=PVP01_0824900.1 | gene=PVP01_0824900 | organism=Plasmodium_vivax_P01 | gene_product=circumsporozoite- and TRAP-related protein, putative | transcript_product=circumsporozoite- and TRAP-related protein, putative | location=PvP01_08_v2:1106777-1113124(-) | protein_length=2115 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0824900.1-p1   -           2115 14674at5820          -            109   2.1e-11   42.5  44.1   5   7   7.8e-08   6.4e-05   21.6   0.5    30    56  1790  1816  1787  1834 0.89 | transcript=PVP01_0824900.1 | gene=PVP01_0824900 | organism=Plasmodium_vivax_P01 | gene_product=circumsporozoite- and TRAP-related protein, putative | transcript_product=circumsporozoite- and TRAP-related protein, putative | location=PvP01_08_v2:1106777-1113124(-) | protein_length=2115 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0824900.1-p1   -           2115 14674at5820          -            109   2.1e-11   42.5  44.1   6   7      0.42   3.4e+02   -0.1   0.3    30    47  1850  1867  1846  1890 0.81 | transcript=PVP01_0824900.1 | gene=PVP01_0824900 | organism=Plasmodium_vivax_P01 | gene_product=circumsporozoite- and TRAP-related protein, putative | transcript_product=circumsporozoite- and TRAP-related protein, putative | location=PvP01_08_v2:1106777-1113124(-) | protein_length=2115 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0824900.1-p1   -           2115 14674at5820          -            109   2.1e-11   42.5  44.1   7   7    0.0002      0.16   10.6   0.3    31    47  1933  1949  1930  1962 0.78 | transcript=PVP01_0824900.1 | gene=PVP01_0824900 | organism=Plasmodium_vivax_P01 | gene_product=circumsporozoite- and TRAP-related protein, putative | transcript_product=circumsporozoite- and TRAP-related protein, putative | location=PvP01_08_v2:1106777-1113124(-) | protein_length=2115 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0835600.1-p1   -            363 14674at5820          -            109   6.3e-06   24.8   0.0   1   1   1.3e-08     1e-05   24.1   0.0    35    74   296   339   287   362 0.77 | transcript=PVP01_0835600.1 | gene=PVP01_0835600 | organism=Plasmodium_vivax_P01 | gene_product=circumsporozoite (CS) protein | transcript_product=circumsporozoite (CS) protein | location=PvP01_08_v2:1508714-1509805(+) | protein_length=363 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
