#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0010870.1-p1   -            335 1041at5820           -           1351  6.5e-189  628.8  15.6   1   1  1.8e-191  8.4e-189  628.4  15.6   388   641     1   254     1   257 1.00 | transcript=PVP01_0010870.1 | gene=PVP01_0010870 | organism=Plasmodium_vivax_P01 | gene_product=helicase, putative | transcript_product=helicase, putative | location=Transfer.PvP01_00_203.final:1-1104(+) | protein_length=335 | sequence_SO=contig | SO=protein_coding_gene | is_pseudo=false
PVP01_0905000.1-p1   -           1396 1041at5820           -           1351  1.2e-121  405.9  22.6   1   3   1.8e-79   8.5e-77  257.3  13.0   298   683   202   600   172   609 0.75 | transcript=PVP01_0905000.1 | gene=PVP01_0905000 | organism=Plasmodium_vivax_P01 | gene_product=chromatin remodeling protein, putative | transcript_product=chromatin remodeling protein, putative | location=PvP01_09_v2:300938-305917(-) | protein_length=1396 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0905000.1-p1   -           1396 1041at5820           -           1351  1.2e-121  405.9  22.6   2   3   3.1e-51   1.5e-48  163.8   2.0  1043  1207   616   781   610   791 0.94 | transcript=PVP01_0905000.1 | gene=PVP01_0905000 | organism=Plasmodium_vivax_P01 | gene_product=chromatin remodeling protein, putative | transcript_product=chromatin remodeling protein, putative | location=PvP01_09_v2:300938-305917(-) | protein_length=1396 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0905000.1-p1   -           1396 1041at5820           -           1351  1.2e-121  405.9  22.6   3   3         8   3.7e+03   -6.6  14.9   232   352   805   927   792   966 0.44 | transcript=PVP01_0905000.1 | gene=PVP01_0905000 | organism=Plasmodium_vivax_P01 | gene_product=chromatin remodeling protein, putative | transcript_product=chromatin remodeling protein, putative | location=PvP01_09_v2:300938-305917(-) | protein_length=1396 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0409000.1-p1   -           1597 1041at5820           -           1351   4.3e-95  317.9  37.9   1   4   2.6e-70   1.2e-67  227.0  11.5   361   687   666  1013   565  1021 0.77 | transcript=PVP01_0409000.1 | gene=PVP01_0409000 | organism=Plasmodium_vivax_P01 | gene_product=SNF2-like chromatin remodeling ATPase, putative | transcript_product=SNF2-like chromatin remodeling ATPase, putative | location=PvP01_04_v2:363099-367892(-) | protein_length=1597 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0409000.1-p1   -           1597 1041at5820           -           1351   4.3e-95  317.9  37.9   2   4   4.7e-10   2.2e-07   27.3   0.3  1043  1109  1021  1087  1012  1090 0.95 | transcript=PVP01_0409000.1 | gene=PVP01_0409000 | organism=Plasmodium_vivax_P01 | gene_product=SNF2-like chromatin remodeling ATPase, putative | transcript_product=SNF2-like chromatin remodeling ATPase, putative | location=PvP01_04_v2:363099-367892(-) | protein_length=1597 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0409000.1-p1   -           1597 1041at5820           -           1351   4.3e-95  317.9  37.9   3   4   1.3e-25   6.2e-23   78.9   0.5  1113  1205  1126  1218  1121  1242 0.91 | transcript=PVP01_0409000.1 | gene=PVP01_0409000 | organism=Plasmodium_vivax_P01 | gene_product=SNF2-like chromatin remodeling ATPase, putative | transcript_product=SNF2-like chromatin remodeling ATPase, putative | location=PvP01_04_v2:363099-367892(-) | protein_length=1597 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0409000.1-p1   -           1597 1041at5820           -           1351   4.3e-95  317.9  37.9   4   4      0.26   1.2e+02   -1.6   6.3   267   338  1451  1508  1386  1591 0.64 | transcript=PVP01_0409000.1 | gene=PVP01_0409000 | organism=Plasmodium_vivax_P01 | gene_product=SNF2-like chromatin remodeling ATPase, putative | transcript_product=SNF2-like chromatin remodeling ATPase, putative | location=PvP01_04_v2:363099-367892(-) | protein_length=1597 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0609100.1-p1   -           3265 1041at5820           -           1351   1.5e-88  296.3  28.5   1   6       1.5   6.8e+02   -4.1  12.8   291   375   969  1050   957  1069 0.38 | transcript=PVP01_0609100.1 | gene=PVP01_0609100 | organism=Plasmodium_vivax_P01 | gene_product=SNF2 helicase, putative, chromodomain-helicase-DNA-binding protein 1 homolog, putative | transcript_product=chromodomain-helicase-DNA-binding protein 1 homolog, putative | location=PvP01_06_v2:399358-409155(-) | protein_length=3265 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0609100.1-p1   -           3265 1041at5820           -           1351   1.5e-88  296.3  28.5   2   6   6.4e-56     3e-53  179.3  15.3   385   681  1381  1687  1238  1697 0.73 | transcript=PVP01_0609100.1 | gene=PVP01_0609100 | organism=Plasmodium_vivax_P01 | gene_product=SNF2 helicase, putative, chromodomain-helicase-DNA-binding protein 1 homolog, putative | transcript_product=chromodomain-helicase-DNA-binding protein 1 homolog, putative | location=PvP01_06_v2:399358-409155(-) | protein_length=3265 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0609100.1-p1   -           3265 1041at5820           -           1351   1.5e-88  296.3  28.5   3   6   3.7e-42   1.7e-39  133.7   5.3  1041  1207  1702  1869  1691  1953 0.80 | transcript=PVP01_0609100.1 | gene=PVP01_0609100 | organism=Plasmodium_vivax_P01 | gene_product=SNF2 helicase, putative, chromodomain-helicase-DNA-binding protein 1 homolog, putative | transcript_product=chromodomain-helicase-DNA-binding protein 1 homolog, putative | location=PvP01_06_v2:399358-409155(-) | protein_length=3265 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
