#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0804700.1-p1   -            748 5031at5820           -            588  4.4e-286  948.6  17.6   1   2  1.5e-146  1.6e-143  477.8   8.7    37   305   131   407    99   415 0.90 | transcript=PVP01_0804700.1 | gene=PVP01_0804700 | organism=Plasmodium_vivax_P01 | gene_product=methionine--tRNA ligase, putative | transcript_product=methionine--tRNA ligase, putative | location=PvP01_08_v2:225040-227286(-) | protein_length=748 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0804700.1-p1   -            748 5031at5820           -            588  4.4e-286  948.6  17.6   2   2  4.5e-146  4.9e-143  476.2   1.5   309   588   441   748   435   748 0.96 | transcript=PVP01_0804700.1 | gene=PVP01_0804700 | organism=Plasmodium_vivax_P01 | gene_product=methionine--tRNA ligase, putative | transcript_product=methionine--tRNA ligase, putative | location=PvP01_08_v2:225040-227286(-) | protein_length=748 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0620000.1-p1   -            886 5031at5820           -            588   1.3e-83  280.0  32.4   1   2   1.3e-54   1.5e-51  174.2  20.0    30   301   179   458   154   464 0.83 | transcript=PVP01_0620000.1 | gene=PVP01_0620000 | organism=Plasmodium_vivax_P01 | gene_product=methionine--tRNA ligase, putative | transcript_product=methionine--tRNA ligase, putative | location=PvP01_06_v2:812696-815356(+) | protein_length=886 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0620000.1-p1   -            886 5031at5820           -            588   1.3e-83  280.0  32.4   2   2   1.2e-35   1.3e-32  111.6   4.6   340   566   463   692   459   708 0.84 | transcript=PVP01_0620000.1 | gene=PVP01_0620000 | organism=Plasmodium_vivax_P01 | gene_product=methionine--tRNA ligase, putative | transcript_product=methionine--tRNA ligase, putative | location=PvP01_06_v2:812696-815356(+) | protein_length=886 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0506200.1-p1   -           1311 5031at5820           -            588   2.6e-12   44.6   3.9   1   2   8.2e-07   0.00089   16.3   0.3    75   149   161   233   143   333 0.80 | transcript=PVP01_0506200.1 | gene=PVP01_0506200 | organism=Plasmodium_vivax_P01 | gene_product=leucine--tRNA ligase, putative | transcript_product=leucine--tRNA ligase, putative | location=PvP01_05_v2:274417-278352(-) | protein_length=1311 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0506200.1-p1   -           1311 5031at5820           -            588   2.6e-12   44.6   3.9   2   2   1.2e-10   1.3e-07   29.0   0.3   379   441   911   973   907   981 0.92 | transcript=PVP01_0506200.1 | gene=PVP01_0506200 | organism=Plasmodium_vivax_P01 | gene_product=leucine--tRNA ligase, putative | transcript_product=leucine--tRNA ligase, putative | location=PvP01_05_v2:274417-278352(-) | protein_length=1311 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1221800.1-p1   -           1206 5031at5820           -            588   8.6e-11   39.5  23.6   1   2   3.7e-05      0.04   10.9   3.2    55   206    91   258    57   264 0.62 | transcript=PVP01_1221800.1 | gene=PVP01_1221800 | organism=Plasmodium_vivax_P01 | gene_product=isoleucine--tRNA ligase, putative | transcript_product=isoleucine--tRNA ligase, putative | location=PvP01_12_v2:864226-867846(+) | protein_length=1206 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1221800.1-p1   -           1206 5031at5820           -            588   8.6e-11   39.5  23.6   2   2   3.8e-11   4.1e-08   30.7  12.5   238   559   547   905   531   916 0.68 | transcript=PVP01_1221800.1 | gene=PVP01_1221800 | organism=Plasmodium_vivax_P01 | gene_product=isoleucine--tRNA ligase, putative | transcript_product=isoleucine--tRNA ligase, putative | location=PvP01_12_v2:864226-867846(+) | protein_length=1206 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1443300.1-p1   -           1615 5031at5820           -            588     1e-07   29.4  15.4   1   3   1.9e-08   2.1e-05   21.7   4.6    22   134   180   284   157   289 0.65 | transcript=PVP01_1443300.1 | gene=PVP01_1443300 | organism=Plasmodium_vivax_P01 | gene_product=isoleucine--tRNA ligase, putative | transcript_product=isoleucine--tRNA ligase, putative | location=PvP01_14_v2:1880402-1885757(+) | protein_length=1615 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1443300.1-p1   -           1615 5031at5820           -            588     1e-07   29.4  15.4   2   3     0.074        81   -0.0   0.5   222   280   844   900   832   939 0.63 | transcript=PVP01_1443300.1 | gene=PVP01_1443300 | organism=Plasmodium_vivax_P01 | gene_product=isoleucine--tRNA ligase, putative | transcript_product=isoleucine--tRNA ligase, putative | location=PvP01_14_v2:1880402-1885757(+) | protein_length=1615 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1443300.1-p1   -           1615 5031at5820           -            588     1e-07   29.4  15.4   3   3   7.9e-06    0.0086   13.1   0.1   375   402  1159  1187  1152  1190 0.79 | transcript=PVP01_1443300.1 | gene=PVP01_1443300 | organism=Plasmodium_vivax_P01 | gene_product=isoleucine--tRNA ligase, putative | transcript_product=isoleucine--tRNA ligase, putative | location=PvP01_14_v2:1880402-1885757(+) | protein_length=1615 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0829000.1-p1   -           1298 5031at5820           -            588     0.042   10.8   0.1   1   2    0.0012       1.3    5.9   0.1    82   192   282   402   249   419 0.70 | transcript=PVP01_0829000.1 | gene=PVP01_0829000 | organism=Plasmodium_vivax_P01 | gene_product=valine--tRNA ligase, putative | transcript_product=valine--tRNA ligase, putative | location=PvP01_08_v2:1256630-1260665(-) | protein_length=1298 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0829000.1-p1   -           1298 5031at5820           -            588     0.042   10.8   0.1   2   2     0.011        12    2.7   0.0   378   424   923   970   917   985 0.83 | transcript=PVP01_0829000.1 | gene=PVP01_0829000 | organism=Plasmodium_vivax_P01 | gene_product=valine--tRNA ligase, putative | transcript_product=valine--tRNA ligase, putative | location=PvP01_08_v2:1256630-1260665(-) | protein_length=1298 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/5031at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/5031at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/5031at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:40:07 2026
# [ok]
