#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0715300.1-p1   -            238 12899at5820          -            214   1.3e-69  232.9  20.1   1   1   1.8e-72   2.9e-69  231.7  20.1    21   214    25   237    17   237 0.75 | transcript=PVP01_0715300.1 | gene=PVP01_0715300 | organism=Plasmodium_vivax_P01 | gene_product=Zinc finger HIT domain-containing protein 3, putative | transcript_product=Zinc finger HIT domain-containing protein 3, putative | location=PvP01_07_v2:694458-695174(+) | protein_length=238 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0116200.1-p1   -            666 12899at5820          -            214     2e-05   23.0  10.6   1   3      0.66   1.1e+03   -2.2   0.3   128   144   239   252   224   269 0.42 | transcript=PVP01_0116200.1 | gene=PVP01_0116200 | organism=Plasmodium_vivax_P01 | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=PvP01_01_v2:734589-736589(-) | protein_length=666 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0116200.1-p1   -            666 12899at5820          -            214     2e-05   23.0  10.6   2   3   1.3e-08     2e-05   23.0  10.6    83   174   292   385   288   398 0.72 | transcript=PVP01_0116200.1 | gene=PVP01_0116200 | organism=Plasmodium_vivax_P01 | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=PvP01_01_v2:734589-736589(-) | protein_length=666 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0116200.1-p1   -            666 12899at5820          -            214     2e-05   23.0  10.6   3   3         4   6.5e+03   -4.9   9.9    26   148   574   605   545   646 0.51 | transcript=PVP01_0116200.1 | gene=PVP01_0116200 | organism=Plasmodium_vivax_P01 | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=PvP01_01_v2:734589-736589(-) | protein_length=666 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0710600.1-p1   -            409 12899at5820          -            214   7.5e-05   21.2  12.7   1   4   4.6e-08   7.5e-05   21.2  12.7    80   135     2    53     1    68 0.71 | transcript=PVP01_0710600.1 | gene=PVP01_0710600 | organism=Plasmodium_vivax_P01 | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=PvP01_07_v2:531075-532304(-) | protein_length=409 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0710600.1-p1   -            409 12899at5820          -            214   7.5e-05   21.2  12.7   2   4       2.4     4e+03   -4.1   0.3   143   150    86    93    79   117 0.51 | transcript=PVP01_0710600.1 | gene=PVP01_0710600 | organism=Plasmodium_vivax_P01 | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=PvP01_07_v2:531075-532304(-) | protein_length=409 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0710600.1-p1   -            409 12899at5820          -            214   7.5e-05   21.2  12.7   3   4      0.94   1.5e+03   -2.7   0.2   111   141   139   167   132   192 0.57 | transcript=PVP01_0710600.1 | gene=PVP01_0710600 | organism=Plasmodium_vivax_P01 | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=PvP01_07_v2:531075-532304(-) | protein_length=409 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0710600.1-p1   -            409 12899at5820          -            214   7.5e-05   21.2  12.7   4   4      0.28   4.6e+02   -1.0   2.9   180   198   350   368   313   382 0.71 | transcript=PVP01_0710600.1 | gene=PVP01_0710600 | organism=Plasmodium_vivax_P01 | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=PvP01_07_v2:531075-532304(-) | protein_length=409 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1333000.1-p1   -            162 12899at5820          -            214       1.2    7.4  31.6   1   2       3.4   5.5e+03   -4.5  12.7    20    58    19    54     3    96 0.42 | transcript=PVP01_1333000.1 | gene=PVP01_1333000 | organism=Plasmodium_vivax_P01 | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=PvP01_13_v2:1418880-1419702(+) | protein_length=162 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1333000.1-p1   -            162 12899at5820          -            214       1.2    7.4  31.6   2   2   4.2e-05     0.068   11.5  19.9    47   120    71   157    45   161 0.57 | transcript=PVP01_1333000.1 | gene=PVP01_1333000 | organism=Plasmodium_vivax_P01 | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=PvP01_13_v2:1418880-1419702(+) | protein_length=162 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
