#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0812800.1-p1   -           1476 2246at5820           -            702         0 1188.3  96.2   1   7   8.5e-23   2.8e-19   67.4   0.0     1    48     1    48     1    56 0.94 | transcript=PVP01_0812800.1 | gene=PVP01_0812800 | organism=Plasmodium_vivax_P01 | gene_product=NLI interacting factor-like phosphatase, putative | transcript_product=NLI interacting factor-like phosphatase, putative | location=PvP01_08_v2:542383-547230(+) | protein_length=1476 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0812800.1-p1   -           1476 2246at5820           -            702         0 1188.3  96.2   2   7   5.1e-88   1.7e-84  283.0  15.0    41   211   176   351   172   356 0.96 | transcript=PVP01_0812800.1 | gene=PVP01_0812800 | organism=Plasmodium_vivax_P01 | gene_product=NLI interacting factor-like phosphatase, putative | transcript_product=NLI interacting factor-like phosphatase, putative | location=PvP01_08_v2:542383-547230(+) | protein_length=1476 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0812800.1-p1   -           1476 2246at5820           -            702         0 1188.3  96.2   3   7  1.7e-144  5.5e-141  469.7  19.9   218   434   464   680   445   693 0.96 | transcript=PVP01_0812800.1 | gene=PVP01_0812800 | organism=Plasmodium_vivax_P01 | gene_product=NLI interacting factor-like phosphatase, putative | transcript_product=NLI interacting factor-like phosphatase, putative | location=PvP01_08_v2:542383-547230(+) | protein_length=1476 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0812800.1-p1   -           1476 2246at5820           -            702         0 1188.3  96.2   4   7   7.1e-06     0.023   11.5   1.3   441   463   824   846   821   857 0.85 | transcript=PVP01_0812800.1 | gene=PVP01_0812800 | organism=Plasmodium_vivax_P01 | gene_product=NLI interacting factor-like phosphatase, putative | transcript_product=NLI interacting factor-like phosphatase, putative | location=PvP01_08_v2:542383-547230(+) | protein_length=1476 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0812800.1-p1   -           1476 2246at5820           -            702         0 1188.3  96.2   5   7   9.7e-15   3.2e-11   40.7   2.3   406   501  1032  1132  1008  1142 0.69 | transcript=PVP01_0812800.1 | gene=PVP01_0812800 | organism=Plasmodium_vivax_P01 | gene_product=NLI interacting factor-like phosphatase, putative | transcript_product=NLI interacting factor-like phosphatase, putative | location=PvP01_08_v2:542383-547230(+) | protein_length=1476 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0812800.1-p1   -           1476 2246at5820           -            702         0 1188.3  96.2   6   7      0.16   5.4e+02   -3.0   1.1   500   521  1230  1255  1228  1261 0.74 | transcript=PVP01_0812800.1 | gene=PVP01_0812800 | organism=Plasmodium_vivax_P01 | gene_product=NLI interacting factor-like phosphatase, putative | transcript_product=NLI interacting factor-like phosphatase, putative | location=PvP01_08_v2:542383-547230(+) | protein_length=1476 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0812800.1-p1   -           1476 2246at5820           -            702         0 1188.3  96.2   7   7    3e-107  9.6e-104  346.6  17.4   519   702  1288  1471  1277  1471 0.97 | transcript=PVP01_0812800.1 | gene=PVP01_0812800 | organism=Plasmodium_vivax_P01 | gene_product=NLI interacting factor-like phosphatase, putative | transcript_product=NLI interacting factor-like phosphatase, putative | location=PvP01_08_v2:542383-547230(+) | protein_length=1476 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1116200.1-p1   -           1550 2246at5820           -            702   8.4e-12   42.7   3.7   1   4      0.64   2.1e+03   -4.9   2.6   497   529   494   524   467   547 0.60 | transcript=PVP01_1116200.1 | gene=PVP01_1116200 | organism=Plasmodium_vivax_P01 | gene_product=NLI interacting factor-like phosphatase, putative | transcript_product=NLI interacting factor-like phosphatase, putative | location=PvP01_11_v2:697393-702045(+) | protein_length=1550 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1116200.1-p1   -           1550 2246at5820           -            702   8.4e-12   42.7   3.7   2   4   0.00016      0.54    6.9   0.0   172   193  1075  1096  1062  1110 0.80 | transcript=PVP01_1116200.1 | gene=PVP01_1116200 | organism=Plasmodium_vivax_P01 | gene_product=NLI interacting factor-like phosphatase, putative | transcript_product=NLI interacting factor-like phosphatase, putative | location=PvP01_11_v2:697393-702045(+) | protein_length=1550 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1116200.1-p1   -           1550 2246at5820           -            702   8.4e-12   42.7   3.7   3   4   2.6e-15   8.4e-12   42.7   3.7   284   386  1127  1234  1119  1269 0.82 | transcript=PVP01_1116200.1 | gene=PVP01_1116200 | organism=Plasmodium_vivax_P01 | gene_product=NLI interacting factor-like phosphatase, putative | transcript_product=NLI interacting factor-like phosphatase, putative | location=PvP01_11_v2:697393-702045(+) | protein_length=1550 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1116200.1-p1   -           1550 2246at5820           -            702   8.4e-12   42.7   3.7   4   4     0.025        83   -0.3   0.7   539   571  1253  1285  1242  1404 0.48 | transcript=PVP01_1116200.1 | gene=PVP01_1116200 | organism=Plasmodium_vivax_P01 | gene_product=NLI interacting factor-like phosphatase, putative | transcript_product=NLI interacting factor-like phosphatase, putative | location=PvP01_11_v2:697393-702045(+) | protein_length=1550 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
