#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0105800.1-p1   -           1051 2481at5820           -            813         0 1419.8  59.2   1   3   5.4e-35   1.6e-32  111.0   0.0     9   105    59   164    52   170 0.89 | transcript=PVP01_0105800.1 | gene=PVP01_0105800 | organism=Plasmodium_vivax_P01 | gene_product=RNA helicase, putative | transcript_product=RNA helicase, putative | location=PvP01_01_v2:313457-316612(-) | protein_length=1051 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0105800.1-p1   -           1051 2481at5820           -            813         0 1419.8  59.2   2   3  6.5e-172  1.9e-169  563.9  20.3   110   427   195   565   189   595 0.92 | transcript=PVP01_0105800.1 | gene=PVP01_0105800 | organism=Plasmodium_vivax_P01 | gene_product=RNA helicase, putative | transcript_product=RNA helicase, putative | location=PvP01_01_v2:313457-316612(-) | protein_length=1051 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0105800.1-p1   -           1051 2481at5820           -            813         0 1419.8  59.2   3   3  2.8e-227  8.4e-225  747.0  33.1   426   813   643  1051   609  1051 0.92 | transcript=PVP01_0105800.1 | gene=PVP01_0105800 | organism=Plasmodium_vivax_P01 | gene_product=RNA helicase, putative | transcript_product=RNA helicase, putative | location=PvP01_01_v2:313457-316612(-) | protein_length=1051 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1445300.1-p1   -            717 2481at5820           -            813   2.4e-16   57.6   7.0   1   3     0.027       8.1    2.9   0.0    21    62   276   315   257   344 0.86 | transcript=PVP01_1445300.1 | gene=PVP01_1445300 | organism=Plasmodium_vivax_P01 | gene_product=DNA helicase 60, putative | transcript_product=DNA helicase 60, putative | location=PvP01_14_v2:1956382-1958535(-) | protein_length=717 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1445300.1-p1   -            717 2481at5820           -            813   2.4e-16   57.6   7.0   2   3    0.0099       2.9    4.3   0.0   330   397   451   514   441   547 0.83 | transcript=PVP01_1445300.1 | gene=PVP01_1445300 | organism=Plasmodium_vivax_P01 | gene_product=DNA helicase 60, putative | transcript_product=DNA helicase 60, putative | location=PvP01_14_v2:1956382-1958535(-) | protein_length=717 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1445300.1-p1   -            717 2481at5820           -            813   2.4e-16   57.6   7.0   3   3   2.8e-16   8.3e-14   49.1   3.9   522   613   570   662   543   674 0.88 | transcript=PVP01_1445300.1 | gene=PVP01_1445300 | organism=Plasmodium_vivax_P01 | gene_product=DNA helicase 60, putative | transcript_product=DNA helicase 60, putative | location=PvP01_14_v2:1956382-1958535(-) | protein_length=717 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1238100.1-p1   -            398 2481at5820           -            813     3e-16   57.2   0.4   1   2     0.058        17    1.8   0.0   322   371   133   178   101   230 0.78 | transcript=PVP01_1238100.1 | gene=PVP01_1238100 | organism=Plasmodium_vivax_P01 | gene_product=eukaryotic initiation factor 4a, putative | transcript_product=eukaryotic initiation factor 4a, putative | location=PvP01_12_v2:1503914-1505456(-) | protein_length=398 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1238100.1-p1   -            398 2481at5820           -            813     3e-16   57.2   0.4   2   2   1.1e-17   3.3e-15   53.8   0.1   525   612   261   349   236   368 0.92 | transcript=PVP01_1238100.1 | gene=PVP01_1238100 | organism=Plasmodium_vivax_P01 | gene_product=eukaryotic initiation factor 4a, putative | transcript_product=eukaryotic initiation factor 4a, putative | location=PvP01_12_v2:1503914-1505456(-) | protein_length=398 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0616600.1-p1   -           1015 2481at5820           -            813   4.1e-15   53.5   3.8   1   3     0.022       6.7    3.2   0.0   118   150   661   694   639   704 0.83 | transcript=PVP01_0616600.1 | gene=PVP01_0616600 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent DNA helicase DDX3X, putative | transcript_product=ATP-dependent DNA helicase DDX3X, putative | location=PvP01_06_v2:688120-692213(+) | protein_length=1015 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0616600.1-p1   -           1015 2481at5820           -            813   4.1e-15   53.5   3.8   2   3      0.02         6    3.3   0.0   329   372   756   795   741   810 0.77 | transcript=PVP01_0616600.1 | gene=PVP01_0616600 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent DNA helicase DDX3X, putative | transcript_product=ATP-dependent DNA helicase DDX3X, putative | location=PvP01_06_v2:688120-692213(+) | protein_length=1015 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0616600.1-p1   -           1015 2481at5820           -            813   4.1e-15   53.5   3.8   3   3   2.9e-15   8.7e-13   45.8   0.5   525   656   880  1009   822  1013 0.85 | transcript=PVP01_0616600.1 | gene=PVP01_0616600 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent DNA helicase DDX3X, putative | transcript_product=ATP-dependent DNA helicase DDX3X, putative | location=PvP01_06_v2:688120-692213(+) | protein_length=1015 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
