#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1263400.1-p1   -           1908 775at5820            -           1195         0 2200.6 201.6   1   9   1.5e-56   4.7e-53  178.8  10.7     1   109    46   155    46   179 0.94 | transcript=PVP01_1263400.1 | gene=PVP01_1263400 | organism=Plasmodium_vivax_P01 | gene_product=gamma-tubulin complex component, putative | transcript_product=gamma-tubulin complex component, putative | location=PvP01_12_v2:2618462-2624188(+) | protein_length=1908 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1263400.1-p1   -           1908 775at5820            -           1195         0 2200.6 201.6   2   9  9.4e-168  3.1e-164  547.0  21.0    95   373   194   473   184   476 0.97 | transcript=PVP01_1263400.1 | gene=PVP01_1263400 | organism=Plasmodium_vivax_P01 | gene_product=gamma-tubulin complex component, putative | transcript_product=gamma-tubulin complex component, putative | location=PvP01_12_v2:2618462-2624188(+) | protein_length=1908 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1263400.1-p1   -           1908 775at5820            -           1195         0 2200.6 201.6   3   9  2.6e-163  8.4e-160  532.3  43.0   360   645   530   860   524   864 0.94 | transcript=PVP01_1263400.1 | gene=PVP01_1263400 | organism=Plasmodium_vivax_P01 | gene_product=gamma-tubulin complex component, putative | transcript_product=gamma-tubulin complex component, putative | location=PvP01_12_v2:2618462-2624188(+) | protein_length=1908 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1263400.1-p1   -           1908 775at5820            -           1195         0 2200.6 201.6   4   9   1.3e-30   4.3e-27   92.8   1.6   637   706   877   946   874   959 0.90 | transcript=PVP01_1263400.1 | gene=PVP01_1263400 | organism=Plasmodium_vivax_P01 | gene_product=gamma-tubulin complex component, putative | transcript_product=gamma-tubulin complex component, putative | location=PvP01_12_v2:2618462-2624188(+) | protein_length=1908 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1263400.1-p1   -           1908 775at5820            -           1195         0 2200.6 201.6   5   9  4.6e-225  1.5e-221  736.8  55.5   670  1064   953  1386   945  1393 0.90 | transcript=PVP01_1263400.1 | gene=PVP01_1263400 | organism=Plasmodium_vivax_P01 | gene_product=gamma-tubulin complex component, putative | transcript_product=gamma-tubulin complex component, putative | location=PvP01_12_v2:2618462-2624188(+) | protein_length=1908 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1263400.1-p1   -           1908 775at5820            -           1195         0 2200.6 201.6   6   9   6.8e-34   2.2e-30  103.7   7.9  1058  1124  1405  1471  1397  1505 0.90 | transcript=PVP01_1263400.1 | gene=PVP01_1263400 | organism=Plasmodium_vivax_P01 | gene_product=gamma-tubulin complex component, putative | transcript_product=gamma-tubulin complex component, putative | location=PvP01_12_v2:2618462-2624188(+) | protein_length=1908 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1263400.1-p1   -           1908 775at5820            -           1195         0 2200.6 201.6   7   9   3.8e-05      0.13    8.4   0.5  1118  1140  1519  1541  1508  1592 0.76 | transcript=PVP01_1263400.1 | gene=PVP01_1263400 | organism=Plasmodium_vivax_P01 | gene_product=gamma-tubulin complex component, putative | transcript_product=gamma-tubulin complex component, putative | location=PvP01_12_v2:2618462-2624188(+) | protein_length=1908 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1263400.1-p1   -           1908 775at5820            -           1195         0 2200.6 201.6   8   9   3.7e-08   0.00012   18.4   0.3  1142  1176  1658  1704  1648  1718 0.79 | transcript=PVP01_1263400.1 | gene=PVP01_1263400 | organism=Plasmodium_vivax_P01 | gene_product=gamma-tubulin complex component, putative | transcript_product=gamma-tubulin complex component, putative | location=PvP01_12_v2:2618462-2624188(+) | protein_length=1908 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1263400.1-p1   -           1908 775at5820            -           1195         0 2200.6 201.6   9   9   4.5e-06     0.015   11.5   3.3  1139  1195  1791  1849  1778  1849 0.72 | transcript=PVP01_1263400.1 | gene=PVP01_1263400 | organism=Plasmodium_vivax_P01 | gene_product=gamma-tubulin complex component, putative | transcript_product=gamma-tubulin complex component, putative | location=PvP01_12_v2:2618462-2624188(+) | protein_length=1908 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0732200.1-p1   -           1298 775at5820            -           1195   0.00029   17.2  17.4   1   2    0.0019       6.1    2.8   2.5   182   272   603   699   568   713 0.70 | transcript=PVP01_0732200.1 | gene=PVP01_0732200 | organism=Plasmodium_vivax_P01 | gene_product=gamma-tubulin complex component, putative | transcript_product=gamma-tubulin complex component, putative | location=PvP01_07_v2:1341945-1345841(-) | protein_length=1298 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0732200.1-p1   -           1298 775at5820            -           1195   0.00029   17.2  17.4   2   2   8.9e-08   0.00029   17.2  17.4   874  1017   879  1022   804  1025 0.92 | transcript=PVP01_0732200.1 | gene=PVP01_0732200 | organism=Plasmodium_vivax_P01 | gene_product=gamma-tubulin complex component, putative | transcript_product=gamma-tubulin complex component, putative | location=PvP01_07_v2:1341945-1345841(-) | protein_length=1298 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/775at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/775at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/775at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:48:45 2026
# [ok]
