#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1247900.1-p1   -            787 4750at5820           -            475  1.6e-286  948.7  33.5   1   3   2.9e-14   5.9e-12   43.3   0.3     1    44    96   142    96   159 0.77 | transcript=PVP01_1247900.1 | gene=PVP01_1247900 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase DBP5, putative | transcript_product=ATP-dependent RNA helicase DBP5, putative | location=PvP01_12_v2:1947873-1950236(-) | protein_length=787 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1247900.1-p1   -            787 4750at5820           -            475  1.6e-286  948.7  33.5   2   3   2.3e-10   4.6e-08   30.5   5.4    22    67   294   342   282   359 0.82 | transcript=PVP01_1247900.1 | gene=PVP01_1247900 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase DBP5, putative | transcript_product=ATP-dependent RNA helicase DBP5, putative | location=PvP01_12_v2:1947873-1950236(-) | protein_length=787 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1247900.1-p1   -            787 4750at5820           -            475  1.6e-286  948.7  33.5   3   3  2.2e-269  4.4e-267  884.6  14.8    59   473   359   784   349   786 0.97 | transcript=PVP01_1247900.1 | gene=PVP01_1247900 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase DBP5, putative | transcript_product=ATP-dependent RNA helicase DBP5, putative | location=PvP01_12_v2:1947873-1950236(-) | protein_length=787 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1238100.1-p1   -            398 4750at5820           -            475   2.8e-70  235.7   3.8   1   1   3.4e-70   6.9e-68  227.8   3.8    72   462    23   390    10   396 0.88 | transcript=PVP01_1238100.1 | gene=PVP01_1238100 | organism=Plasmodium_vivax_P01 | gene_product=eukaryotic initiation factor 4a, putative | transcript_product=eukaryotic initiation factor 4a, putative | location=PvP01_12_v2:1503914-1505456(-) | protein_length=398 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0531200.1-p1   -            388 4750at5820           -            475   1.1e-67  227.2   6.0   1   1     1e-67   2.1e-65  219.6   6.0    72   464    15   382     5   388 0.92 | transcript=PVP01_0531200.1 | gene=PVP01_0531200 | organism=Plasmodium_vivax_P01 | gene_product=eukaryotic initiation factor 4A-III, putative | transcript_product=eukaryotic initiation factor 4A-III, putative | location=PvP01_05_v2:1327415-1328581(+) | protein_length=388 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0819400.1-p1   -            433 4750at5820           -            475     1e-53  181.1   1.9   1   2     4e-39   8.1e-37  125.3   0.3    72   331    60   322    37   331 0.88 | transcript=PVP01_0819400.1 | gene=PVP01_0819400 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase DDX6, putative | transcript_product=ATP-dependent RNA helicase DDX6, putative | location=PvP01_08_v2:848920-850632(-) | protein_length=433 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0819400.1-p1   -            433 4750at5820           -            475     1e-53  181.1   1.9   2   2   8.7e-18   1.8e-15   55.0   0.1   358   452   331   413   327   423 0.90 | transcript=PVP01_0819400.1 | gene=PVP01_0819400 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase DDX6, putative | transcript_product=ATP-dependent RNA helicase DDX6, putative | location=PvP01_08_v2:848920-850632(-) | protein_length=433 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0415000.1-p1   -            473 4750at5820           -            475   5.6e-43  145.6   5.2   1   2   4.6e-06   0.00095   16.3   0.0    23   137     3   123     1   139 0.72 | transcript=PVP01_0415000.1 | gene=PVP01_0415000 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase UAP56, putative | transcript_product=ATP-dependent RNA helicase UAP56, putative | location=PvP01_04_v2:609730-611288(+) | protein_length=473 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0415000.1-p1   -            473 4750at5820           -            475   5.6e-43  145.6   5.2   2   2     2e-37     4e-35  119.7   4.1   133   462   155   461   129   469 0.86 | transcript=PVP01_0415000.1 | gene=PVP01_0415000 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase UAP56, putative | transcript_product=ATP-dependent RNA helicase UAP56, putative | location=PvP01_04_v2:609730-611288(+) | protein_length=473 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1445300.1-p1   -            717 4750at5820           -            475   1.2e-36  124.8   5.7   1   2   1.2e-06   0.00024   18.2   0.0    60   135   266   339   241   344 0.81 | transcript=PVP01_1445300.1 | gene=PVP01_1445300 | organism=Plasmodium_vivax_P01 | gene_product=DNA helicase 60, putative | transcript_product=DNA helicase 60, putative | location=PvP01_14_v2:1956382-1958535(-) | protein_length=717 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1445300.1-p1   -            717 4750at5820           -            475   1.2e-36  124.8   5.7   2   2   6.3e-31   1.3e-28   98.3   4.3   141   440   405   678   399   687 0.90 | transcript=PVP01_1445300.1 | gene=PVP01_1445300 | organism=Plasmodium_vivax_P01 | gene_product=DNA helicase 60, putative | transcript_product=DNA helicase 60, putative | location=PvP01_14_v2:1956382-1958535(-) | protein_length=717 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
