#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1330800.1-p1   -           3540 160at5820            -           2375         0 3682.2 271.5   1   8     1e-71   3.3e-68  228.3  23.5     9   275    18   370     9   405 0.78 | transcript=PVP01_1330800.1 | gene=PVP01_1330800 | organism=Plasmodium_vivax_P01 | gene_product=liver specific protein 1, putative | transcript_product=liver specific protein 1, putative | location=PvP01_13_v2:1286316-1296938(+) | protein_length=3540 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1330800.1-p1   -           3540 160at5820            -           2375         0 3682.2 271.5   2   8   4.4e-24   1.4e-20   70.3   5.5   292   355   493   564   487   579 0.88 | transcript=PVP01_1330800.1 | gene=PVP01_1330800 | organism=Plasmodium_vivax_P01 | gene_product=liver specific protein 1, putative | transcript_product=liver specific protein 1, putative | location=PvP01_13_v2:1286316-1296938(+) | protein_length=3540 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1330800.1-p1   -           3540 160at5820            -           2375         0 3682.2 271.5   3   8   1.7e-71   5.5e-68  227.5   7.2   354   507   915  1085   904  1128 0.86 | transcript=PVP01_1330800.1 | gene=PVP01_1330800 | organism=Plasmodium_vivax_P01 | gene_product=liver specific protein 1, putative | transcript_product=liver specific protein 1, putative | location=PvP01_13_v2:1286316-1296938(+) | protein_length=3540 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1330800.1-p1   -           3540 160at5820            -           2375         0 3682.2 271.5   4   8   1.5e-83     5e-80  267.5  13.3   502   699  1280  1502  1276  1522 0.91 | transcript=PVP01_1330800.1 | gene=PVP01_1330800 | organism=Plasmodium_vivax_P01 | gene_product=liver specific protein 1, putative | transcript_product=liver specific protein 1, putative | location=PvP01_13_v2:1286316-1296938(+) | protein_length=3540 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1330800.1-p1   -           3540 160at5820            -           2375         0 3682.2 271.5   5   8  1.5e-169  4.9e-166  552.7  35.8   695  1025  1604  1939  1601  1942 0.99 | transcript=PVP01_1330800.1 | gene=PVP01_1330800 | organism=Plasmodium_vivax_P01 | gene_product=liver specific protein 1, putative | transcript_product=liver specific protein 1, putative | location=PvP01_13_v2:1286316-1296938(+) | protein_length=3540 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1330800.1-p1   -           3540 160at5820            -           2375         0 3682.2 271.5   6   8         0         0 1698.9 100.4  1025  1980  1984  3028  1981  3030 0.94 | transcript=PVP01_1330800.1 | gene=PVP01_1330800 | organism=Plasmodium_vivax_P01 | gene_product=liver specific protein 1, putative | transcript_product=liver specific protein 1, putative | location=PvP01_13_v2:1286316-1296938(+) | protein_length=3540 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1330800.1-p1   -           3540 160at5820            -           2375         0 3682.2 271.5   7   8  1.3e-156  4.3e-153  509.8  16.5  1977  2245  3059  3336  3053  3340 0.96 | transcript=PVP01_1330800.1 | gene=PVP01_1330800 | organism=Plasmodium_vivax_P01 | gene_product=liver specific protein 1, putative | transcript_product=liver specific protein 1, putative | location=PvP01_13_v2:1286316-1296938(+) | protein_length=3540 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1330800.1-p1   -           3540 160at5820            -           2375         0 3682.2 271.5   8   8   1.2e-52   3.8e-49  165.1  13.3  2245  2375  3378  3533  3374  3533 0.91 | transcript=PVP01_1330800.1 | gene=PVP01_1330800 | organism=Plasmodium_vivax_P01 | gene_product=liver specific protein 1, putative | transcript_product=liver specific protein 1, putative | location=PvP01_13_v2:1286316-1296938(+) | protein_length=3540 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0010190.1-p1   -            283 160at5820            -           2375   3.6e-09   32.4   0.4   1   1   1.2e-12   3.9e-09   32.3   0.4  1255  1281     1    27     1   124 0.94 | transcript=PVP01_0010190.1 | gene=PVP01_0010190 | organism=Plasmodium_vivax_P01 | gene_product=PIR protein | transcript_product=PIR protein | location=Transfer.PvP01_00_88.final:4681-5835(+) | protein_length=283 | sequence_SO=contig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/160at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/160at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/160at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:31:37 2026
# [ok]
