#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1113900.1-p1   -           2057 1083at5820           -           1203         0 1957.8 174.5   1   9  1.2e-107  7.8e-104  347.0  45.2     1   226    25   275    25   280 0.90 | transcript=PVP01_1113900.1 | gene=PVP01_1113900 | organism=Plasmodium_vivax_P01 | gene_product=patatin-like phospholipase 2, putative | transcript_product=patatin-like phospholipase 2, putative | location=PvP01_11_v2:597370-603702(+) | protein_length=2057 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1113900.1-p1   -           2057 1083at5820           -           1203         0 1957.8 174.5   2   9   5.2e-16   3.4e-12   43.5   0.1   225   261   405   444   398   451 0.89 | transcript=PVP01_1113900.1 | gene=PVP01_1113900 | organism=Plasmodium_vivax_P01 | gene_product=patatin-like phospholipase 2, putative | transcript_product=patatin-like phospholipase 2, putative | location=PvP01_11_v2:597370-603702(+) | protein_length=2057 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1113900.1-p1   -           2057 1083at5820           -           1203         0 1957.8 174.5   3   9     4e-18   2.6e-14   50.5   2.2   259   295   490   526   487   540 0.91 | transcript=PVP01_1113900.1 | gene=PVP01_1113900 | organism=Plasmodium_vivax_P01 | gene_product=patatin-like phospholipase 2, putative | transcript_product=patatin-like phospholipase 2, putative | location=PvP01_11_v2:597370-603702(+) | protein_length=2057 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1113900.1-p1   -           2057 1083at5820           -           1203         0 1957.8 174.5   4   9   1.8e-10   1.2e-06   25.1   4.0   291   342   596   661   578   671 0.74 | transcript=PVP01_1113900.1 | gene=PVP01_1113900 | organism=Plasmodium_vivax_P01 | gene_product=patatin-like phospholipase 2, putative | transcript_product=patatin-like phospholipase 2, putative | location=PvP01_11_v2:597370-603702(+) | protein_length=2057 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1113900.1-p1   -           2057 1083at5820           -           1203         0 1957.8 174.5   5   9  2.4e-145  1.6e-141  471.9  28.5   349   615   770  1053   759  1058 0.96 | transcript=PVP01_1113900.1 | gene=PVP01_1113900 | organism=Plasmodium_vivax_P01 | gene_product=patatin-like phospholipase 2, putative | transcript_product=patatin-like phospholipase 2, putative | location=PvP01_11_v2:597370-603702(+) | protein_length=2057 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1113900.1-p1   -           2057 1083at5820           -           1203         0 1957.8 174.5   6   9  3.9e-123  2.5e-119  398.3  11.5   617   806  1125  1314  1114  1317 0.98 | transcript=PVP01_1113900.1 | gene=PVP01_1113900 | organism=Plasmodium_vivax_P01 | gene_product=patatin-like phospholipase 2, putative | transcript_product=patatin-like phospholipase 2, putative | location=PvP01_11_v2:597370-603702(+) | protein_length=2057 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1113900.1-p1   -           2057 1083at5820           -           1203         0 1957.8 174.5   7   9  5.1e-145  3.3e-141  470.8  17.1   789  1045  1404  1675  1396  1679 0.92 | transcript=PVP01_1113900.1 | gene=PVP01_1113900 | organism=Plasmodium_vivax_P01 | gene_product=patatin-like phospholipase 2, putative | transcript_product=patatin-like phospholipase 2, putative | location=PvP01_11_v2:597370-603702(+) | protein_length=2057 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1113900.1-p1   -           2057 1083at5820           -           1203         0 1957.8 174.5   8   9   1.1e-54   7.4e-51  171.5   7.9  1045  1168  1742  1885  1738  1894 0.88 | transcript=PVP01_1113900.1 | gene=PVP01_1113900 | organism=Plasmodium_vivax_P01 | gene_product=patatin-like phospholipase 2, putative | transcript_product=patatin-like phospholipase 2, putative | location=PvP01_11_v2:597370-603702(+) | protein_length=2057 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1113900.1-p1   -           2057 1083at5820           -           1203         0 1957.8 174.5   9   9   1.3e-08   8.2e-05   19.0   0.7  1158  1202  2008  2056  1993  2057 0.77 | transcript=PVP01_1113900.1 | gene=PVP01_1113900 | organism=Plasmodium_vivax_P01 | gene_product=patatin-like phospholipase 2, putative | transcript_product=patatin-like phospholipase 2, putative | location=PvP01_11_v2:597370-603702(+) | protein_length=2057 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1083at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/1083at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1083at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:27:27 2026
# [ok]
