#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1026000.1-p1   -            355 10396at5820          -            298  1.9e-142  472.2  16.7   1   1  2.3e-145  2.5e-142  471.8  16.7     6   287    25   312    21   326 0.94 | transcript=PVP01_1026000.1 | gene=PVP01_1026000 | organism=Plasmodium_vivax_P01 | gene_product=6-cysteine protein P38, putative | transcript_product=6-cysteine protein P38, putative | location=PvP01_10_v2:1136175-1137242(+) | protein_length=355 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0415800.1-p1   -           2725 10396at5820          -            298   3.8e-18   64.2  67.0   1  12      0.26   2.8e+02   -1.1   0.5   210   277   460   530   454   542 0.79 | transcript=PVP01_0415800.1 | gene=PVP01_0415800 | organism=Plasmodium_vivax_P01 | gene_product=6-cysteine protein P230, putative | transcript_product=6-cysteine protein P230, putative | location=PvP01_04_v2:636087-644264(-) | protein_length=2725 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0415800.1-p1   -           2725 10396at5820          -            298   3.8e-18   64.2  67.0   2  12      0.48   5.2e+02   -1.9   0.1    19    46   545   572   539   591 0.62 | transcript=PVP01_0415800.1 | gene=PVP01_0415800 | organism=Plasmodium_vivax_P01 | gene_product=6-cysteine protein P230, putative | transcript_product=6-cysteine protein P230, putative | location=PvP01_04_v2:636087-644264(-) | protein_length=2725 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0415800.1-p1   -           2725 10396at5820          -            298   3.8e-18   64.2  67.0   3  12    0.0035       3.8    5.1   0.0   179   198   828   847   825   852 0.85 | transcript=PVP01_0415800.1 | gene=PVP01_0415800 | organism=Plasmodium_vivax_P01 | gene_product=6-cysteine protein P230, putative | transcript_product=6-cysteine protein P230, putative | location=PvP01_04_v2:636087-644264(-) | protein_length=2725 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0415800.1-p1   -           2725 10396at5820          -            298   3.8e-18   64.2  67.0   4  12    0.0097        11    3.6   0.2   240   276   867   905   853   924 0.76 | transcript=PVP01_0415800.1 | gene=PVP01_0415800 | organism=Plasmodium_vivax_P01 | gene_product=6-cysteine protein P230, putative | transcript_product=6-cysteine protein P230, putative | location=PvP01_04_v2:636087-644264(-) | protein_length=2725 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0415800.1-p1   -           2725 10396at5820          -            298   3.8e-18   64.2  67.0   5  12       1.6   1.8e+03   -3.7   0.1   226   278   938   991   935   999 0.74 | transcript=PVP01_0415800.1 | gene=PVP01_0415800 | organism=Plasmodium_vivax_P01 | gene_product=6-cysteine protein P230, putative | transcript_product=6-cysteine protein P230, putative | location=PvP01_04_v2:636087-644264(-) | protein_length=2725 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0415800.1-p1   -           2725 10396at5820          -            298   3.8e-18   64.2  67.0   6  12   8.5e-05     0.093   10.4   0.2   124   234  1076  1178  1066  1191 0.84 | transcript=PVP01_0415800.1 | gene=PVP01_0415800 | organism=Plasmodium_vivax_P01 | gene_product=6-cysteine protein P230, putative | transcript_product=6-cysteine protein P230, putative | location=PvP01_04_v2:636087-644264(-) | protein_length=2725 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0415800.1-p1   -           2725 10396at5820          -            298   3.8e-18   64.2  67.0   7  12       2.1   2.2e+03   -4.0   0.0   189   247  1245  1303  1243  1312 0.56 | transcript=PVP01_0415800.1 | gene=PVP01_0415800 | organism=Plasmodium_vivax_P01 | gene_product=6-cysteine protein P230, putative | transcript_product=6-cysteine protein P230, putative | location=PvP01_04_v2:636087-644264(-) | protein_length=2725 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0415800.1-p1   -           2725 10396at5820          -            298   3.8e-18   64.2  67.0   8  12   1.2e-07   0.00013   19.7   3.7    96   283  1494  1665  1474  1678 0.74 | transcript=PVP01_0415800.1 | gene=PVP01_0415800 | organism=Plasmodium_vivax_P01 | gene_product=6-cysteine protein P230, putative | transcript_product=6-cysteine protein P230, putative | location=PvP01_04_v2:636087-644264(-) | protein_length=2725 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0415800.1-p1   -           2725 10396at5820          -            298   3.8e-18   64.2  67.0   9  12   4.2e-05     0.046   11.4   0.1   157   197  1841  1881  1810  1948 0.68 | transcript=PVP01_0415800.1 | gene=PVP01_0415800 | organism=Plasmodium_vivax_P01 | gene_product=6-cysteine protein P230, putative | transcript_product=6-cysteine protein P230, putative | location=PvP01_04_v2:636087-644264(-) | protein_length=2725 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0415800.1-p1   -           2725 10396at5820          -            298   3.8e-18   64.2  67.0  10  12     0.041        45    1.6   0.1   239   273  1961  1996  1922  2008 0.78 | transcript=PVP01_0415800.1 | gene=PVP01_0415800 | organism=Plasmodium_vivax_P01 | gene_product=6-cysteine protein P230, putative | transcript_product=6-cysteine protein P230, putative | location=PvP01_04_v2:636087-644264(-) | protein_length=2725 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
