#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0604100.1-p1   -            687 5844at5820           -            412  3.9e-180  597.7  11.2   1   4   3.6e-39   5.9e-36  122.8   0.0     2    85    64   150    63   155 0.94 | transcript=PVP01_0604100.1 | gene=PVP01_0604100 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_06_v2:155544-157607(-) | protein_length=687 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0604100.1-p1   -            687 5844at5820           -            412  3.9e-180  597.7  11.2   2   4   6.6e-61   1.1e-57  194.4   0.3    84   209   186   318   183   321 0.94 | transcript=PVP01_0604100.1 | gene=PVP01_0604100 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_06_v2:155544-157607(-) | protein_length=687 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0604100.1-p1   -            687 5844at5820           -            412  3.9e-180  597.7  11.2   3   4   9.1e-87   1.5e-83  279.6   1.0   218   390   396   570   389   572 0.97 | transcript=PVP01_0604100.1 | gene=PVP01_0604100 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_06_v2:155544-157607(-) | protein_length=687 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0604100.1-p1   -            687 5844at5820           -            412  3.9e-180  597.7  11.2   4   4    0.0015       2.4    5.5   0.0   389   411   605   628   603   629 0.84 | transcript=PVP01_0604100.1 | gene=PVP01_0604100 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_06_v2:155544-157607(-) | protein_length=687 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1224700.1-p1   -           1047 5844at5820           -            412     0.015   12.7   8.0   1   3     0.038        61    0.9   0.1   284   327   115   159    93   176 0.68 | transcript=PVP01_1224700.1 | gene=PVP01_1224700 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_12_v2:946945-950088(-) | protein_length=1047 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1224700.1-p1   -           1047 5844at5820           -            412     0.015   12.7   8.0   2   3     5e-05     0.082   10.3   0.5   110   180   251   324   243   329 0.82 | transcript=PVP01_1224700.1 | gene=PVP01_1224700 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_12_v2:946945-950088(-) | protein_length=1047 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1224700.1-p1   -           1047 5844at5820           -            412     0.015   12.7   8.0   3   3    0.0036       5.9    4.2   0.3   111   170   446   506   435   510 0.84 | transcript=PVP01_1224700.1 | gene=PVP01_1224700 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_12_v2:946945-950088(-) | protein_length=1047 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1140700.1-p1   -           1220 5844at5820           -            412     0.045   11.2  23.6   1   5      0.06        98    0.2   0.0   111   145    93   127    68   137 0.69 | transcript=PVP01_1140700.1 | gene=PVP01_1140700 | organism=Plasmodium_vivax_P01 | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=PvP01_11_v2:1728239-1731901(-) | protein_length=1220 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1140700.1-p1   -           1220 5844at5820           -            412     0.045   11.2  23.6   2   5   1.9e-05     0.031   11.7   0.5   115   159   188   232   185   243 0.79 | transcript=PVP01_1140700.1 | gene=PVP01_1140700 | organism=Plasmodium_vivax_P01 | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=PvP01_11_v2:1728239-1731901(-) | protein_length=1220 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1140700.1-p1   -           1220 5844at5820           -            412     0.045   11.2  23.6   3   5   0.00071       1.2    6.5   4.8   108   202   340   445   333   478 0.66 | transcript=PVP01_1140700.1 | gene=PVP01_1140700 | organism=Plasmodium_vivax_P01 | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=PvP01_11_v2:1728239-1731901(-) | protein_length=1220 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1140700.1-p1   -           1220 5844at5820           -            412     0.045   11.2  23.6   4   5     0.009        15    2.9   0.2   118   163   549   598   545   624 0.72 | transcript=PVP01_1140700.1 | gene=PVP01_1140700 | organism=Plasmodium_vivax_P01 | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=PvP01_11_v2:1728239-1731901(-) | protein_length=1220 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1140700.1-p1   -           1220 5844at5820           -            412     0.045   11.2  23.6   5   5      0.11   1.8e+02   -0.7   0.1   119   150   747   778   739   808 0.65 | transcript=PVP01_1140700.1 | gene=PVP01_1140700 | organism=Plasmodium_vivax_P01 | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=PvP01_11_v2:1728239-1731901(-) | protein_length=1220 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0603000.1-p1   -            950 5844at5820           -            412     0.048   11.1   1.2   1   2      0.13   2.2e+02   -1.0   0.1   116   145   204   233   198   245 0.83 | transcript=PVP01_0603000.1 | gene=PVP01_0603000 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_06_v2:117055-120192(-) | protein_length=950 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0603000.1-p1   -            950 5844at5820           -            412     0.048   11.1   1.2   2   2   7.5e-05      0.12    9.7   0.2   122   175   293   347   285   350 0.81 | transcript=PVP01_0603000.1 | gene=PVP01_0603000 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_06_v2:117055-120192(-) | protein_length=950 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/5844at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/5844at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/5844at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:43:43 2026
# [ok]
