#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1261600.1-p1   -            877 4429at5820           -            496  4.1e-264  875.4 114.8   1   3   3.7e-06    0.0006   17.3  29.7     2   107    10   123     9   134 0.71 | transcript=PVP01_1261600.1 | gene=PVP01_1261600 | organism=Plasmodium_vivax_P01 | gene_product=protein serine/threonine kinase-1, putative | transcript_product=protein serine/threonine kinase-1, putative | location=PvP01_12_v2:2542000-2544633(+) | protein_length=877 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1261600.1-p1   -            877 4429at5820           -            496  4.1e-264  875.4 114.8   2   3   1.4e-41   2.3e-39  134.1  41.7    26   166   125   293   120   307 0.79 | transcript=PVP01_1261600.1 | gene=PVP01_1261600 | organism=Plasmodium_vivax_P01 | gene_product=protein serine/threonine kinase-1, putative | transcript_product=protein serine/threonine kinase-1, putative | location=PvP01_12_v2:2542000-2544633(+) | protein_length=877 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1261600.1-p1   -            877 4429at5820           -            496  4.1e-264  875.4 114.8   3   3  3.2e-222  5.2e-220  730.0  28.6     3   496   386   877   384   877 0.82 | transcript=PVP01_1261600.1 | gene=PVP01_1261600 | organism=Plasmodium_vivax_P01 | gene_product=protein serine/threonine kinase-1, putative | transcript_product=protein serine/threonine kinase-1, putative | location=PvP01_12_v2:2542000-2544633(+) | protein_length=877 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0837700.1-p1   -           1397 4429at5820           -            496   5.4e-36  123.0  12.7   1   2   3.3e-14   5.3e-12   43.8   1.8   162   300    49   213    39   218 0.78 | transcript=PVP01_0837700.1 | gene=PVP01_0837700 | organism=Plasmodium_vivax_P01 | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=PvP01_08_v2:1595439-1599632(-) | protein_length=1397 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0837700.1-p1   -           1397 4429at5820           -            496   5.4e-36  123.0  12.7   2   2   6.9e-26   1.1e-23   82.3   0.5   323   490   696   866   675   872 0.85 | transcript=PVP01_0837700.1 | gene=PVP01_0837700 | organism=Plasmodium_vivax_P01 | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=PvP01_08_v2:1595439-1599632(-) | protein_length=1397 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0915400.1-p1   -            708 4429at5820           -            496     1e-26   92.4  15.1   1   2   5.6e-21   9.2e-19   66.1   7.5   165   304   371   513   337   519 0.85 | transcript=PVP01_0915400.1 | gene=PVP01_0915400 | organism=Plasmodium_vivax_P01 | gene_product=cyclin-dependent-like kinase CLK3, putative | transcript_product=cyclin-dependent-like kinase CLK3, putative | location=PvP01_09_v2:696362-700179(+) | protein_length=708 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0915400.1-p1   -            708 4429at5820           -            496     1e-26   92.4  15.1   2   2   6.3e-13     1e-10   39.6   0.8   327   493   512   700   509   703 0.70 | transcript=PVP01_0915400.1 | gene=PVP01_0915400 | organism=Plasmodium_vivax_P01 | gene_product=cyclin-dependent-like kinase CLK3, putative | transcript_product=cyclin-dependent-like kinase CLK3, putative | location=PvP01_09_v2:696362-700179(+) | protein_length=708 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1264000.1-p1   -           1310 4429at5820           -            496   3.2e-24   84.2  21.4   1   3   2.7e-09   4.5e-07   27.6   2.3   189   313   871  1005   863  1013 0.79 | transcript=PVP01_1264000.1 | gene=PVP01_1264000 | organism=Plasmodium_vivax_P01 | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=PvP01_12_v2:2642004-2645936(+) | protein_length=1310 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1264000.1-p1   -           1310 4429at5820           -            496   3.2e-24   84.2  21.4   2   3   4.9e-16     8e-14   49.9   0.0   325   414  1080  1169  1065  1174 0.89 | transcript=PVP01_1264000.1 | gene=PVP01_1264000 | organism=Plasmodium_vivax_P01 | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=PvP01_12_v2:2642004-2645936(+) | protein_length=1310 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1264000.1-p1   -           1310 4429at5820           -            496   3.2e-24   84.2  21.4   3   3   4.5e-07   7.3e-05   20.3   0.1   457   493  1269  1305  1222  1308 0.82 | transcript=PVP01_1264000.1 | gene=PVP01_1264000 | organism=Plasmodium_vivax_P01 | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=PvP01_12_v2:2642004-2645936(+) | protein_length=1310 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1317900.1-p1   -            718 4429at5820           -            496   6.1e-19   66.7  10.1   1   2   1.2e-09     2e-07   28.8   6.5   160   302    13   153     1   160 0.81 | transcript=PVP01_1317900.1 | gene=PVP01_1317900 | organism=Plasmodium_vivax_P01 | gene_product=mitogen-activated protein kinase 1, putative | transcript_product=mitogen-activated protein kinase 1, putative | location=PvP01_13_v2:833649-835805(+) | protein_length=718 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1317900.1-p1   -            718 4429at5820           -            496   6.1e-19   66.7  10.1   2   2   4.7e-12   7.6e-10   36.7   0.1   349   491   183   311   154   315 0.72 | transcript=PVP01_1317900.1 | gene=PVP01_1317900 | organism=Plasmodium_vivax_P01 | gene_product=mitogen-activated protein kinase 1, putative | transcript_product=mitogen-activated protein kinase 1, putative | location=PvP01_13_v2:833649-835805(+) | protein_length=718 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0733500.1-p1   -            341 4429at5820           -            496   1.2e-17   62.5   3.6   1   2   1.3e-12   2.1e-10   38.6   1.8   144   305    11   170     3   172 0.79 | transcript=PVP01_0733500.1 | gene=PVP01_0733500 | organism=Plasmodium_vivax_P01 | gene_product=cAMP-dependent protein kinase catalytic subunit, putative | transcript_product=cAMP-dependent protein kinase catalytic subunit, putative | location=PvP01_07_v2:1376764-1378505(+) | protein_length=341 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0733500.1-p1   -            341 4429at5820           -            496   1.2e-17   62.5   3.6   2   2   1.4e-08   2.2e-06   25.3   0.0   330   405   170   246   167   271 0.85 | transcript=PVP01_0733500.1 | gene=PVP01_0733500 | organism=Plasmodium_vivax_P01 | gene_product=cAMP-dependent protein kinase catalytic subunit, putative | transcript_product=cAMP-dependent protein kinase catalytic subunit, putative | location=PvP01_07_v2:1376764-1378505(+) | protein_length=341 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
