#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0213500.1-p1   -           1690 742at5820            -           1341         0 2547.6  56.8   1   3   1.3e-28   2.2e-25   87.1   0.5     1    64     1    64     1    86 0.92 | transcript=PVP01_0213500.1 | gene=PVP01_0213500 | organism=Plasmodium_vivax_P01 | gene_product=cation transporting ATPase, putative | transcript_product=cation transporting ATPase, putative | location=PvP01_02_v2:562878-567950(+) | protein_length=1690 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0213500.1-p1   -           1690 742at5820            -           1341         0 2547.6  56.8   2   3         0         0 1220.6  19.5    71   698   123   893   107   902 0.93 | transcript=PVP01_0213500.1 | gene=PVP01_0213500 | organism=Plasmodium_vivax_P01 | gene_product=cation transporting ATPase, putative | transcript_product=cation transporting ATPase, putative | location=PvP01_02_v2:562878-567950(+) | protein_length=1690 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0213500.1-p1   -           1690 742at5820            -           1341         0 2547.6  56.8   3   3         0         0 1249.1  22.7   694  1341   926  1690   912  1690 0.96 | transcript=PVP01_0213500.1 | gene=PVP01_0213500 | organism=Plasmodium_vivax_P01 | gene_product=cation transporting ATPase, putative | transcript_product=cation transporting ATPase, putative | location=PvP01_02_v2:562878-567950(+) | protein_length=1690 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1030000.1-p1   -           1914 742at5820            -           1341   7.6e-37  125.1  64.8   1   6      0.34   5.5e+02   -3.7   3.0    24   118    25   115    18   123 0.62 | transcript=PVP01_1030000.1 | gene=PVP01_1030000 | organism=Plasmodium_vivax_P01 | gene_product=cation transporting P-ATPase, putative | transcript_product=cation transporting P-ATPase, putative | location=PvP01_10_v2:1291623-1297548(-) | protein_length=1914 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1030000.1-p1   -           1914 742at5820            -           1341   7.6e-37  125.1  64.8   2   6   1.4e-23   2.2e-20   70.5  15.7   287   622   378   752   320   766 0.79 | transcript=PVP01_1030000.1 | gene=PVP01_1030000 | organism=Plasmodium_vivax_P01 | gene_product=cation transporting P-ATPase, putative | transcript_product=cation transporting P-ATPase, putative | location=PvP01_10_v2:1291623-1297548(-) | protein_length=1914 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1030000.1-p1   -           1914 742at5820            -           1341   7.6e-37  125.1  64.8   3   6       0.1   1.7e+02   -2.0   0.5   650   716  1088  1157  1073  1167 0.79 | transcript=PVP01_1030000.1 | gene=PVP01_1030000 | organism=Plasmodium_vivax_P01 | gene_product=cation transporting P-ATPase, putative | transcript_product=cation transporting P-ATPase, putative | location=PvP01_10_v2:1291623-1297548(-) | protein_length=1914 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1030000.1-p1   -           1914 742at5820            -           1341   7.6e-37  125.1  64.8   4   6   4.3e-12     7e-09   32.4   0.2   767   890  1176  1303  1171  1360 0.79 | transcript=PVP01_1030000.1 | gene=PVP01_1030000 | organism=Plasmodium_vivax_P01 | gene_product=cation transporting P-ATPase, putative | transcript_product=cation transporting P-ATPase, putative | location=PvP01_10_v2:1291623-1297548(-) | protein_length=1914 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1030000.1-p1   -           1914 742at5820            -           1341   7.6e-37  125.1  64.8   5   6   9.8e-13   1.6e-09   34.6   0.1   926  1026  1511  1609  1488  1613 0.74 | transcript=PVP01_1030000.1 | gene=PVP01_1030000 | organism=Plasmodium_vivax_P01 | gene_product=cation transporting P-ATPase, putative | transcript_product=cation transporting P-ATPase, putative | location=PvP01_10_v2:1291623-1297548(-) | protein_length=1914 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1030000.1-p1   -           1914 742at5820            -           1341   7.6e-37  125.1  64.8   6   6   3.4e-06    0.0055   12.9  14.5  1089  1280  1613  1815  1609  1820 0.65 | transcript=PVP01_1030000.1 | gene=PVP01_1030000 | organism=Plasmodium_vivax_P01 | gene_product=cation transporting P-ATPase, putative | transcript_product=cation transporting P-ATPase, putative | location=PvP01_10_v2:1291623-1297548(-) | protein_length=1914 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0208500.1-p1   -           1189 742at5820            -           1341   4.8e-16   56.2  25.0   1   4   1.5e-08   2.5e-05   20.7   4.9   300   619    55   370    24   389 0.65 | transcript=PVP01_0208500.1 | gene=PVP01_0208500 | organism=Plasmodium_vivax_P01 | gene_product=calcium-transporting ATPase, putative | transcript_product=calcium-transporting ATPase, putative | location=PvP01_02_v2:352862-356879(+) | protein_length=1189 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0208500.1-p1   -           1189 742at5820            -           1341   4.8e-16   56.2  25.0   2   4   2.5e-06    0.0041   13.3   0.0   826   882   724   780   646   786 0.88 | transcript=PVP01_0208500.1 | gene=PVP01_0208500 | organism=Plasmodium_vivax_P01 | gene_product=calcium-transporting ATPase, putative | transcript_product=calcium-transporting ATPase, putative | location=PvP01_02_v2:352862-356879(+) | protein_length=1189 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0208500.1-p1   -           1189 742at5820            -           1341   4.8e-16   56.2  25.0   3   4   1.6e-13   2.6e-10   37.1   0.2   977  1062   844   932   821   938 0.68 | transcript=PVP01_0208500.1 | gene=PVP01_0208500 | organism=Plasmodium_vivax_P01 | gene_product=calcium-transporting ATPase, putative | transcript_product=calcium-transporting ATPase, putative | location=PvP01_02_v2:352862-356879(+) | protein_length=1189 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0208500.1-p1   -           1189 742at5820            -           1341   4.8e-16   56.2  25.0   4   4       2.4   3.9e+03   -6.5   4.2  1176  1308  1102  1157  1081  1174 0.52 | transcript=PVP01_0208500.1 | gene=PVP01_0208500 | organism=Plasmodium_vivax_P01 | gene_product=calcium-transporting ATPase, putative | transcript_product=calcium-transporting ATPase, putative | location=PvP01_02_v2:352862-356879(+) | protein_length=1189 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1311100.1-p1   -           1341 742at5820            -           1341   1.6e-11   41.2   7.9   1   3    0.0017       2.7    4.0   4.9   484   628   394   547   216   560 0.46 | transcript=PVP01_1311100.1 | gene=PVP01_1311100 | organism=Plasmodium_vivax_P01 | gene_product=non-SERCA-type Ca2+ -transporting P-ATPase, putative | transcript_product=non-SERCA-type Ca2+ -transporting P-ATPase, putative | location=PvP01_13_v2:516370-520395(-) | protein_length=1341 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1311100.1-p1   -           1341 742at5820            -           1341   1.6e-11   41.2   7.9   2   3    0.0036       5.8    2.9   0.0   834   881   818   865   752   869 0.65 | transcript=PVP01_1311100.1 | gene=PVP01_1311100 | organism=Plasmodium_vivax_P01 | gene_product=non-SERCA-type Ca2+ -transporting P-ATPase, putative | transcript_product=non-SERCA-type Ca2+ -transporting P-ATPase, putative | location=PvP01_13_v2:516370-520395(-) | protein_length=1341 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1311100.1-p1   -           1341 742at5820            -           1341   1.6e-11   41.2   7.9   3   3   2.1e-10   3.5e-07   26.8   0.0   972  1026   905   959   899   982 0.93 | transcript=PVP01_1311100.1 | gene=PVP01_1311100 | organism=Plasmodium_vivax_P01 | gene_product=non-SERCA-type Ca2+ -transporting P-ATPase, putative | transcript_product=non-SERCA-type Ca2+ -transporting P-ATPase, putative | location=PvP01_13_v2:516370-520395(-) | protein_length=1341 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/742at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/742at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/742at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:47:31 2026
# [ok]
