#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0408000.1-p1   -            946 6510at5820           -            617  1.6e-260  864.9  94.4   1   5   7.1e-81   1.6e-77  260.4  30.4     2   215     6   247     5   254 0.88 | transcript=PVP01_0408000.1 | gene=PVP01_0408000 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_04_v2:324186-327463(+) | protein_length=946 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0408000.1-p1   -            946 6510at5820           -            617  1.6e-260  864.9  94.4   2   5   7.2e-33   1.6e-29  101.9   1.4   214   279   368   439   365   444 0.93 | transcript=PVP01_0408000.1 | gene=PVP01_0408000 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_04_v2:324186-327463(+) | protein_length=946 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0408000.1-p1   -            946 6510at5820           -            617  1.6e-260  864.9  94.4   3   5  4.3e-100   9.4e-97  323.9  26.0   282   485   541   749   522   754 0.93 | transcript=PVP01_0408000.1 | gene=PVP01_0408000 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_04_v2:324186-327463(+) | protein_length=946 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0408000.1-p1   -            946 6510at5820           -            617  1.6e-260  864.9  94.4   4   5   1.6e-56   3.4e-53  180.0   5.0   477   599   769   896   761   900 0.93 | transcript=PVP01_0408000.1 | gene=PVP01_0408000 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_04_v2:324186-327463(+) | protein_length=946 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0408000.1-p1   -            946 6510at5820           -            617  1.6e-260  864.9  94.4   5   5   1.3e-07   0.00028   18.5   1.2   595   617   924   946   918   946 0.93 | transcript=PVP01_0408000.1 | gene=PVP01_0408000 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_04_v2:324186-327463(+) | protein_length=946 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0408200.1-p1   -            862 6510at5820           -            617     2e-14   52.0  91.9   1   4   0.00055       1.2    6.5  21.9    18   149    30   170    12   179 0.64 | transcript=PVP01_0408200.1 | gene=PVP01_0408200 | organism=Plasmodium_vivax_P01 | gene_product=TMEM121 domain-containing protein, putative | transcript_product=TMEM121 domain-containing protein, putative | location=PvP01_04_v2:330853-333441(+) | protein_length=862 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0408200.1-p1   -            862 6510at5820           -            617     2e-14   52.0  91.9   2   4   2.3e-08   5.1e-05   20.9   9.6   183   273   173   274   163   289 0.71 | transcript=PVP01_0408200.1 | gene=PVP01_0408200 | organism=Plasmodium_vivax_P01 | gene_product=TMEM121 domain-containing protein, putative | transcript_product=TMEM121 domain-containing protein, putative | location=PvP01_04_v2:330853-333441(+) | protein_length=862 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0408200.1-p1   -            862 6510at5820           -            617     2e-14   52.0  91.9   3   4     3e-09   6.6e-06   23.8  31.5   278   481   418   630   408   639 0.75 | transcript=PVP01_0408200.1 | gene=PVP01_0408200 | organism=Plasmodium_vivax_P01 | gene_product=TMEM121 domain-containing protein, putative | transcript_product=TMEM121 domain-containing protein, putative | location=PvP01_04_v2:330853-333441(+) | protein_length=862 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0408200.1-p1   -            862 6510at5820           -            617     2e-14   52.0  91.9   4   4   1.9e-07    0.0004   17.9   7.5   490   596   702   823   686   830 0.74 | transcript=PVP01_0408200.1 | gene=PVP01_0408200 | organism=Plasmodium_vivax_P01 | gene_product=TMEM121 domain-containing protein, putative | transcript_product=TMEM121 domain-containing protein, putative | location=PvP01_04_v2:330853-333441(+) | protein_length=862 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0723000.1-p1   -           1250 6510at5820           -            617   3.4e-06   24.8  27.6   1   4         3   6.5e+03  -20.4  28.5    17   168    29   200    10   222 0.48 | transcript=PVP01_0723000.1 | gene=PVP01_0723000 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_07_v2:991597-995853(-) | protein_length=1250 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0723000.1-p1   -           1250 6510at5820           -            617   3.4e-06   24.8  27.6   2   4   4.7e-05       0.1   10.0   4.9   215   284   481   558   469   565 0.74 | transcript=PVP01_0723000.1 | gene=PVP01_0723000 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_07_v2:991597-995853(-) | protein_length=1250 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0723000.1-p1   -           1250 6510at5820           -            617   3.4e-06   24.8  27.6   3   4         3   6.5e+03   -6.8   7.2   276   366   797   886   784   890 0.59 | transcript=PVP01_0723000.1 | gene=PVP01_0723000 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_07_v2:991597-995853(-) | protein_length=1250 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0723000.1-p1   -           1250 6510at5820           -            617   3.4e-06   24.8  27.6   4   4   1.6e-09   3.4e-06   24.8  27.6   382   587   977  1196   955  1213 0.71 | transcript=PVP01_0723000.1 | gene=PVP01_0723000 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_07_v2:991597-995853(-) | protein_length=1250 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/6510at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/6510at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/6510at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:43:17 2026
# [ok]
