#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1409600.1-p1   -           1344 1929at5820           -            921         0 1406.4 151.5   1   7   1.2e-53   3.8e-50  169.6  10.1     1   108    29   139    29   147 0.94 | transcript=PVP01_1409600.1 | gene=PVP01_1409600 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_14_v2:448656-452690(-) | protein_length=1344 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1409600.1-p1   -           1344 1929at5820           -            921         0 1406.4 151.5   2   7   7.8e-91   2.5e-87  292.7  18.8   100   278   159   345   154   350 0.95 | transcript=PVP01_1409600.1 | gene=PVP01_1409600 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_14_v2:448656-452690(-) | protein_length=1344 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1409600.1-p1   -           1344 1929at5820           -            921         0 1406.4 151.5   3   7   1.7e-91   5.4e-88  294.9  33.0   276   459   402   591   394   595 0.96 | transcript=PVP01_1409600.1 | gene=PVP01_1409600 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_14_v2:448656-452690(-) | protein_length=1344 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1409600.1-p1   -           1344 1929at5820           -            921         0 1406.4 151.5   4   7   8.1e-40   2.6e-36  123.8  17.0   459   566   632   756   629   768 0.85 | transcript=PVP01_1409600.1 | gene=PVP01_1409600 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_14_v2:448656-452690(-) | protein_length=1344 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1409600.1-p1   -           1344 1929at5820           -            921         0 1406.4 151.5   5   7   0.00011      0.36    7.6   0.0   561   586   801   826   782   834 0.77 | transcript=PVP01_1409600.1 | gene=PVP01_1409600 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_14_v2:448656-452690(-) | protein_length=1344 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1409600.1-p1   -           1344 1929at5820           -            921         0 1406.4 151.5   6   7  2.6e-102   8.6e-99  330.6  12.8   577   806   864  1116   854  1122 0.92 | transcript=PVP01_1409600.1 | gene=PVP01_1409600 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_14_v2:448656-452690(-) | protein_length=1344 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1409600.1-p1   -           1344 1929at5820           -            921         0 1406.4 151.5   7   7   1.8e-68     6e-65  218.6  17.8   802   920  1225  1343  1219  1344 0.97 | transcript=PVP01_1409600.1 | gene=PVP01_1409600 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_14_v2:448656-452690(-) | protein_length=1344 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1439800.1-p1   -            833 1929at5820           -            921   3.4e-06   24.2  10.0   1   3     1e-09   3.4e-06   24.2  10.0   107   239   114   246   106   270 0.94 | transcript=PVP01_1439800.1 | gene=PVP01_1439800 | organism=Plasmodium_vivax_P01 | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=PvP01_14_v2:1699346-1701847(+) | protein_length=833 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1439800.1-p1   -            833 1929at5820           -            921   3.4e-06   24.2  10.0   2   3     0.007        23    1.6   2.4   345   407   285   347   271   381 0.76 | transcript=PVP01_1439800.1 | gene=PVP01_1439800 | organism=Plasmodium_vivax_P01 | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=PvP01_14_v2:1699346-1701847(+) | protein_length=833 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1439800.1-p1   -            833 1929at5820           -            921   3.4e-06   24.2  10.0   3   3     0.003       9.6    2.8  14.3   102   211   383   495   369   510 0.78 | transcript=PVP01_1439800.1 | gene=PVP01_1439800 | organism=Plasmodium_vivax_P01 | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=PvP01_14_v2:1699346-1701847(+) | protein_length=833 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
