#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0319200.1-p1   -            255 11629at5820          -            188  8.7e-105  346.8   7.7   1   2   1.3e-52   2.1e-49  166.2   0.2     1    89    11    99    11   102 0.99 | transcript=PVP01_0319200.1 | gene=PVP01_0319200 | organism=Plasmodium_vivax_P01 | gene_product=dynactin subunit 5, putative | transcript_product=dynactin subunit 5, putative | location=PvP01_03_v2:797457-798224(-) | protein_length=255 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0319200.1-p1   -            255 11629at5820          -            188  8.7e-105  346.8   7.7   2   2   5.8e-58   9.4e-55  183.7   2.6    87   188   152   253   151   253 0.98 | transcript=PVP01_0319200.1 | gene=PVP01_0319200 | organism=Plasmodium_vivax_P01 | gene_product=dynactin subunit 5, putative | transcript_product=dynactin subunit 5, putative | location=PvP01_03_v2:797457-798224(-) | protein_length=255 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1328000.1-p1   -            452 11629at5820          -            188   4.4e-07   28.2   5.4   1   2   3.8e-07   0.00062   17.9   2.3   100   142   344   387   332   392 0.54 | transcript=PVP01_1328000.1 | gene=PVP01_1328000 | organism=Plasmodium_vivax_P01 | gene_product=mannose-1-phosphate guanyltransferase, putative | transcript_product=mannose-1-phosphate guanyltransferase, putative | location=PvP01_13_v2:1190938-1192670(+) | protein_length=452 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1328000.1-p1   -            452 11629at5820          -            188   4.4e-07   28.2   5.4   2   2   1.6e-05     0.026   12.6   0.1    96   148   387   439   385   449 0.84 | transcript=PVP01_1328000.1 | gene=PVP01_1328000 | organism=Plasmodium_vivax_P01 | gene_product=mannose-1-phosphate guanyltransferase, putative | transcript_product=mannose-1-phosphate guanyltransferase, putative | location=PvP01_13_v2:1190938-1192670(+) | protein_length=452 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1432700.1-p1   -           1037 11629at5820          -            188   0.00012   20.2  11.6   1   2     4e-06    0.0066   14.6   7.4    87   139   388   437   368   442 0.74 | transcript=PVP01_1432700.1 | gene=PVP01_1432700 | organism=Plasmodium_vivax_P01 | gene_product=W2 domain-containing protein, putative | transcript_product=W2 domain-containing protein, putative | location=PvP01_14_v2:1422508-1425896(-) | protein_length=1037 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1432700.1-p1   -           1037 11629at5820          -            188   0.00012   20.2  11.6   2   2   0.00061         1    7.5   0.2   119   158   440   479   437   487 0.86 | transcript=PVP01_1432700.1 | gene=PVP01_1432700 | organism=Plasmodium_vivax_P01 | gene_product=W2 domain-containing protein, putative | transcript_product=W2 domain-containing protein, putative | location=PvP01_14_v2:1422508-1425896(-) | protein_length=1037 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1228000.1-p1   -            479 11629at5820          -            188   0.00015   20.0   8.3   1   3      0.41   6.6e+02   -1.7   0.0   106   126   228   248   218   254 0.83 | transcript=PVP01_1228000.1 | gene=PVP01_1228000 | organism=Plasmodium_vivax_P01 | gene_product=translation initiation factor eIF-2B subunit gamma, putative | transcript_product=translation initiation factor eIF-2B subunit gamma, putative | location=PvP01_12_v2:1119462-1122303(+) | protein_length=479 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1228000.1-p1   -            479 11629at5820          -            188   0.00015   20.0   8.3   2   3   0.00036      0.59    8.2   0.3   103   146   383   426   364   429 0.69 | transcript=PVP01_1228000.1 | gene=PVP01_1228000 | organism=Plasmodium_vivax_P01 | gene_product=translation initiation factor eIF-2B subunit gamma, putative | transcript_product=translation initiation factor eIF-2B subunit gamma, putative | location=PvP01_12_v2:1119462-1122303(+) | protein_length=479 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1228000.1-p1   -            479 11629at5820          -            188   0.00015   20.0   8.3   3   3   3.5e-06    0.0056   14.8   3.5    98   147   424   472   416   476 0.84 | transcript=PVP01_1228000.1 | gene=PVP01_1228000 | organism=Plasmodium_vivax_P01 | gene_product=translation initiation factor eIF-2B subunit gamma, putative | transcript_product=translation initiation factor eIF-2B subunit gamma, putative | location=PvP01_12_v2:1119462-1122303(+) | protein_length=479 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/11629at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/11629at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/11629at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:30:42 2026
# [ok]
