#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1108500.1-p1   -            784 4293at5820           -            463  9.6e-235  778.1  44.4   1   4   1.1e-85   2.3e-82  275.7  14.1    31   180   176   325   147   330 0.90 | transcript=PVP01_1108500.1 | gene=PVP01_1108500 | organism=Plasmodium_vivax_P01 | gene_product=CCR4 domain-containing protein 2, putative | transcript_product=CCR4 domain-containing protein 2, putative | location=PvP01_11_v2:334461-337065(-) | protein_length=784 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1108500.1-p1   -            784 4293at5820           -            463  9.6e-235  778.1  44.4   2   4   9.8e-30   2.1e-26   91.2   0.1   174   229   363   418   348   425 0.85 | transcript=PVP01_1108500.1 | gene=PVP01_1108500 | organism=Plasmodium_vivax_P01 | gene_product=CCR4 domain-containing protein 2, putative | transcript_product=CCR4 domain-containing protein 2, putative | location=PvP01_11_v2:334461-337065(-) | protein_length=784 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1108500.1-p1   -            784 4293at5820           -            463  9.6e-235  778.1  44.4   3   4   5.2e-59   1.1e-55  187.8   7.9   225   343   451   581   448   596 0.86 | transcript=PVP01_1108500.1 | gene=PVP01_1108500 | organism=Plasmodium_vivax_P01 | gene_product=CCR4 domain-containing protein 2, putative | transcript_product=CCR4 domain-containing protein 2, putative | location=PvP01_11_v2:334461-337065(-) | protein_length=784 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1108500.1-p1   -            784 4293at5820           -            463  9.6e-235  778.1  44.4   4   4   4.8e-74     1e-70  237.3   2.9   336   463   650   777   620   777 0.93 | transcript=PVP01_1108500.1 | gene=PVP01_1108500 | organism=Plasmodium_vivax_P01 | gene_product=CCR4 domain-containing protein 2, putative | transcript_product=CCR4 domain-containing protein 2, putative | location=PvP01_11_v2:334461-337065(-) | protein_length=784 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1014400.1-p1   -           2768 4293at5820           -            463   1.6e-22   78.5   9.6   1   2   4.6e-20     1e-16   59.4   6.2    19   254  2365  2639  2356  2644 0.75 | transcript=PVP01_1014400.1 | gene=PVP01_1014400 | organism=Plasmodium_vivax_P01 | gene_product=CCR4 domain-containing protein 1, putative | transcript_product=CCR4 domain-containing protein 1, putative | location=PvP01_10_v2:649023-657460(+) | protein_length=2768 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1014400.1-p1   -           2768 4293at5820           -            463   1.6e-22   78.5   9.6   2   2   1.4e-07    0.0003   18.2   0.1   387   437  2686  2736  2667  2763 0.80 | transcript=PVP01_1014400.1 | gene=PVP01_1014400 | organism=Plasmodium_vivax_P01 | gene_product=CCR4 domain-containing protein 1, putative | transcript_product=CCR4 domain-containing protein 1, putative | location=PvP01_10_v2:649023-657460(+) | protein_length=2768 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0207600.1-p1   -            335 4293at5820           -            463     0.017   12.4   0.0   1   3     0.039        84    0.3   0.0    86   108    47    69     9   103 0.82 | transcript=PVP01_0207600.1 | gene=PVP01_0207600 | organism=Plasmodium_vivax_P01 | gene_product=CCR4 domain-containing protein 3, putative | transcript_product=CCR4 domain-containing protein 3, putative | location=PvP01_02_v2:324521-326820(-) | protein_length=335 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0207600.1-p1   -            335 4293at5820           -            463     0.017   12.4   0.0   2   3     0.078   1.7e+02   -0.7   0.0   184   220   158   194   141   213 0.75 | transcript=PVP01_0207600.1 | gene=PVP01_0207600 | organism=Plasmodium_vivax_P01 | gene_product=CCR4 domain-containing protein 3, putative | transcript_product=CCR4 domain-containing protein 3, putative | location=PvP01_02_v2:324521-326820(-) | protein_length=335 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0207600.1-p1   -            335 4293at5820           -            463     0.017   12.4   0.0   3   3   0.00014       0.3    8.3   0.0   398   454   278   329   247   333 0.82 | transcript=PVP01_0207600.1 | gene=PVP01_0207600 | organism=Plasmodium_vivax_P01 | gene_product=CCR4 domain-containing protein 3, putative | transcript_product=CCR4 domain-containing protein 3, putative | location=PvP01_02_v2:324521-326820(-) | protein_length=335 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/4293at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/4293at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/4293at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:41:01 2026
# [ok]
