#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0938700.1-p1   -            690 3953at5820           -            537    2e-272  903.3  74.6   1   4   4.5e-07   0.00074   16.9   0.1     1    18     1    18     1    44 0.77 | transcript=PVP01_0938700.1 | gene=PVP01_0938700 | organism=Plasmodium_vivax_P01 | gene_product=calcium-binding protein, putative | transcript_product=calcium-binding protein, putative | location=PvP01_09_v2:1659910-1661982(+) | protein_length=690 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0938700.1-p1   -            690 3953at5820           -            537    2e-272  903.3  74.6   2   4   4.9e-24     8e-21   72.9   4.5     8    95    76   176    69   184 0.76 | transcript=PVP01_0938700.1 | gene=PVP01_0938700 | organism=Plasmodium_vivax_P01 | gene_product=calcium-binding protein, putative | transcript_product=calcium-binding protein, putative | location=PvP01_09_v2:1659910-1661982(+) | protein_length=690 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0938700.1-p1   -            690 3953at5820           -            537    2e-272  903.3  74.6   3   4   9.6e-80   1.6e-76  256.8  12.6    93   236   197   341   195   348 0.98 | transcript=PVP01_0938700.1 | gene=PVP01_0938700 | organism=Plasmodium_vivax_P01 | gene_product=calcium-binding protein, putative | transcript_product=calcium-binding protein, putative | location=PvP01_09_v2:1659910-1661982(+) | protein_length=690 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0938700.1-p1   -            690 3953at5820           -            537    2e-272  903.3  74.6   4   4  4.2e-175  6.9e-172  571.5  37.4   233   537   364   688   350   688 0.93 | transcript=PVP01_0938700.1 | gene=PVP01_0938700 | organism=Plasmodium_vivax_P01 | gene_product=calcium-binding protein, putative | transcript_product=calcium-binding protein, putative | location=PvP01_09_v2:1659910-1661982(+) | protein_length=690 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1315300.1-p1   -            149 3953at5820           -            537   4.1e-08   31.0   0.1   1   2   7.4e-05      0.12    9.6   0.0   345   405    12    71     1    81 0.87 | transcript=PVP01_1315300.1 | gene=PVP01_1315300 | organism=Plasmodium_vivax_P01 | gene_product=calmodulin, putative | transcript_product=calmodulin, putative | location=PvP01_13_v2:705695-706693(+) | protein_length=149 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1315300.1-p1   -            149 3953at5820           -            537   4.1e-08   31.0   0.1   2   2   5.4e-08   8.9e-05   20.0   0.1   345   405    85   144    73   147 0.90 | transcript=PVP01_1315300.1 | gene=PVP01_1315300 | organism=Plasmodium_vivax_P01 | gene_product=calmodulin, putative | transcript_product=calmodulin, putative | location=PvP01_13_v2:705695-706693(+) | protein_length=149 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0909400.1-p1   -            344 3953at5820           -            537    0.0029   15.0  14.1   1   2   1.2e-05     0.019   12.3   1.0   347   403    65   120    57   132 0.86 | transcript=PVP01_0909400.1 | gene=PVP01_0909400 | organism=Plasmodium_vivax_P01 | gene_product=endoplasmic reticulum-resident calcium binding protein, putative | transcript_product=endoplasmic reticulum-resident calcium binding protein, putative | location=PvP01_09_v2:498657-499691(-) | protein_length=344 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0909400.1-p1   -            344 3953at5820           -            537    0.0029   15.0  14.1   2   2   0.00049      0.81    6.9   6.6   336   407   167   238   123   249 0.76 | transcript=PVP01_0909400.1 | gene=PVP01_0909400 | organism=Plasmodium_vivax_P01 | gene_product=endoplasmic reticulum-resident calcium binding protein, putative | transcript_product=endoplasmic reticulum-resident calcium binding protein, putative | location=PvP01_09_v2:498657-499691(-) | protein_length=344 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0612800.1-p1   -            179 3953at5820           -            537    0.0038   14.6   2.9   1   2   2.3e-06    0.0038   14.6   2.9   345   405    39    98    23   108 0.90 | transcript=PVP01_0612800.1 | gene=PVP01_0612800 | organism=Plasmodium_vivax_P01 | gene_product=centrin-3, putative | transcript_product=centrin-3, putative | location=PvP01_06_v2:553783-555183(-) | protein_length=179 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0612800.1-p1   -            179 3953at5820           -            537    0.0038   14.6   2.9   2   2     0.011        18    2.4   0.6   346   405   113   171   100   177 0.85 | transcript=PVP01_0612800.1 | gene=PVP01_0612800 | organism=Plasmodium_vivax_P01 | gene_product=centrin-3, putative | transcript_product=centrin-3, putative | location=PvP01_06_v2:553783-555183(-) | protein_length=179 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3953at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/3953at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3953at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:39:22 2026
# [ok]
