#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1270300.1-p1   -           5528 39at5820             -           4063         0 6027.6 539.9   1  11  4.5e-301  7.3e-298  990.3 131.0     2   950    16  1285    15  1325 0.82 | transcript=PVP01_1270300.1 | gene=PVP01_1270300 | organism=Plasmodium_vivax_P01 | gene_product=cysteine repeat modular protein 4, putative | transcript_product=cysteine repeat modular protein 4, putative | location=PvP01_12_v2:2950237-2966968(-) | protein_length=5528 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1270300.1-p1   -           5528 39at5820             -           4063         0 6027.6 539.9   2  11  4.1e-220  6.7e-217  721.6  44.4   946  1498  1359  1980  1350  1992 0.89 | transcript=PVP01_1270300.1 | gene=PVP01_1270300 | organism=Plasmodium_vivax_P01 | gene_product=cysteine repeat modular protein 4, putative | transcript_product=cysteine repeat modular protein 4, putative | location=PvP01_12_v2:2950237-2966968(-) | protein_length=5528 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1270300.1-p1   -           5528 39at5820             -           4063         0 6027.6 539.9   3  11  1.8e-113    3e-110  367.6  36.7  1455  1808  2163  2575  2149  2589 0.86 | transcript=PVP01_1270300.1 | gene=PVP01_1270300 | organism=Plasmodium_vivax_P01 | gene_product=cysteine repeat modular protein 4, putative | transcript_product=cysteine repeat modular protein 4, putative | location=PvP01_12_v2:2950237-2966968(-) | protein_length=5528 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1270300.1-p1   -           5528 39at5820             -           4063         0 6027.6 539.9   4  11   2.7e-06    0.0045   11.9   2.1  1799  1849  2710  2761  2695  2788 0.75 | transcript=PVP01_1270300.1 | gene=PVP01_1270300 | organism=Plasmodium_vivax_P01 | gene_product=cysteine repeat modular protein 4, putative | transcript_product=cysteine repeat modular protein 4, putative | location=PvP01_12_v2:2950237-2966968(-) | protein_length=5528 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1270300.1-p1   -           5528 39at5820             -           4063         0 6027.6 539.9   5  11  6.5e-269  1.1e-265  883.6  57.7  1839  2336  2820  3340  2815  3348 0.96 | transcript=PVP01_1270300.1 | gene=PVP01_1270300 | organism=Plasmodium_vivax_P01 | gene_product=cysteine repeat modular protein 4, putative | transcript_product=cysteine repeat modular protein 4, putative | location=PvP01_12_v2:2950237-2966968(-) | protein_length=5528 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1270300.1-p1   -           5528 39at5820             -           4063         0 6027.6 539.9   6  11  1.9e-112    3e-109  364.3  13.3  2342  2542  3389  3589  3385  3594 0.98 | transcript=PVP01_1270300.1 | gene=PVP01_1270300 | organism=Plasmodium_vivax_P01 | gene_product=cysteine repeat modular protein 4, putative | transcript_product=cysteine repeat modular protein 4, putative | location=PvP01_12_v2:2950237-2966968(-) | protein_length=5528 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1270300.1-p1   -           5528 39at5820             -           4063         0 6027.6 539.9   7  11         0         0 1154.4  65.5  2524  3126  3637  4264  3631  4306 0.94 | transcript=PVP01_1270300.1 | gene=PVP01_1270300 | organism=Plasmodium_vivax_P01 | gene_product=cysteine repeat modular protein 4, putative | transcript_product=cysteine repeat modular protein 4, putative | location=PvP01_12_v2:2950237-2966968(-) | protein_length=5528 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1270300.1-p1   -           5528 39at5820             -           4063         0 6027.6 539.9   8  11  8.6e-134  1.4e-130  435.1  25.6  3128  3361  4336  4572  4325  4578 0.97 | transcript=PVP01_1270300.1 | gene=PVP01_1270300 | organism=Plasmodium_vivax_P01 | gene_product=cysteine repeat modular protein 4, putative | transcript_product=cysteine repeat modular protein 4, putative | location=PvP01_12_v2:2950237-2966968(-) | protein_length=5528 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1270300.1-p1   -           5528 39at5820             -           4063         0 6027.6 539.9   9  11  2.3e-253  3.7e-250  832.0  56.3  3369  3849  4678  5201  4664  5212 0.91 | transcript=PVP01_1270300.1 | gene=PVP01_1270300 | organism=Plasmodium_vivax_P01 | gene_product=cysteine repeat modular protein 4, putative | transcript_product=cysteine repeat modular protein 4, putative | location=PvP01_12_v2:2950237-2966968(-) | protein_length=5528 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1270300.1-p1   -           5528 39at5820             -           4063         0 6027.6 539.9  10  11     4e-17   6.6e-14   47.8   1.2  3847  3892  5227  5272  5223  5279 0.92 | transcript=PVP01_1270300.1 | gene=PVP01_1270300 | organism=Plasmodium_vivax_P01 | gene_product=cysteine repeat modular protein 4, putative | transcript_product=cysteine repeat modular protein 4, putative | location=PvP01_12_v2:2950237-2966968(-) | protein_length=5528 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1270300.1-p1   -           5528 39at5820             -           4063         0 6027.6 539.9  11  11   1.2e-85   1.9e-82  275.3  27.2  3879  4063  5327  5522  5312  5522 0.90 | transcript=PVP01_1270300.1 | gene=PVP01_1270300 | organism=Plasmodium_vivax_P01 | gene_product=cysteine repeat modular protein 4, putative | transcript_product=cysteine repeat modular protein 4, putative | location=PvP01_12_v2:2950237-2966968(-) | protein_length=5528 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
