#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1211100.1-p1   -            712 3431at5820           -            582         0 1214.4  56.1   1   3   4.7e-18   6.1e-15   53.3  23.2     1    70     7   100     7   109 0.76 | transcript=PVP01_1211100.1 | gene=PVP01_1211100 | organism=Plasmodium_vivax_P01 | gene_product=kelch protein K13, putative | transcript_product=kelch protein K13, putative | location=PvP01_12_v2:484785-486923(+) | protein_length=712 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1211100.1-p1   -            712 3431at5820           -            582         0 1214.4  56.1   2   3     0.009        12    2.8   1.3    56    78   107   129   101   142 0.74 | transcript=PVP01_1211100.1 | gene=PVP01_1211100 | organism=Plasmodium_vivax_P01 | gene_product=kelch protein K13, putative | transcript_product=kelch protein K13, putative | location=PvP01_12_v2:484785-486923(+) | protein_length=712 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1211100.1-p1   -            712 3431at5820           -            582         0 1214.4  56.1   3   3         0         0 1166.5  19.8    36   581   146   711   126   712 0.94 | transcript=PVP01_1211100.1 | gene=PVP01_1211100 | organism=Plasmodium_vivax_P01 | gene_product=kelch protein K13, putative | transcript_product=kelch protein K13, putative | location=PvP01_12_v2:484785-486923(+) | protein_length=712 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0320500.1-p1   -            410 3431at5820           -            582   2.7e-24   84.2   0.1   1   2   8.3e-17   1.1e-13   49.2   0.0   409   518   172   282   160   297 0.87 | transcript=PVP01_0320500.1 | gene=PVP01_0320500 | organism=Plasmodium_vivax_P01 | gene_product=kelch domain-containing protein, putative | transcript_product=kelch domain-containing protein, putative | location=PvP01_03_v2:862040-863746(-) | protein_length=410 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0320500.1-p1   -            410 3431at5820           -            582   2.7e-24   84.2   0.1   2   2   6.1e-12     8e-09   33.1   0.0   433   540   298   405   282   408 0.86 | transcript=PVP01_0320500.1 | gene=PVP01_0320500 | organism=Plasmodium_vivax_P01 | gene_product=kelch domain-containing protein, putative | transcript_product=kelch domain-containing protein, putative | location=PvP01_03_v2:862040-863746(-) | protein_length=410 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1246700.1-p1   -            647 3431at5820           -            582   7.9e-20   69.4   9.9   1   3   7.8e-11     1e-07   29.5   0.3   398   489    76   172    69   182 0.88 | transcript=PVP01_1246700.1 | gene=PVP01_1246700 | organism=Plasmodium_vivax_P01 | gene_product=kelch domain-containing protein, putative | transcript_product=kelch domain-containing protein, putative | location=PvP01_12_v2:1912137-1914080(-) | protein_length=647 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1246700.1-p1   -            647 3431at5820           -            582   7.9e-20   69.4   9.9   2   3   5.3e-10   6.9e-07   26.7   0.1   413   504   198   293   193   316 0.87 | transcript=PVP01_1246700.1 | gene=PVP01_1246700 | organism=Plasmodium_vivax_P01 | gene_product=kelch domain-containing protein, putative | transcript_product=kelch domain-containing protein, putative | location=PvP01_12_v2:1912137-1914080(-) | protein_length=647 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1246700.1-p1   -            647 3431at5820           -            582   7.9e-20   69.4   9.9   3   3   2.3e-07    0.0003   18.0   0.7   410   513   354   461   340   466 0.78 | transcript=PVP01_1246700.1 | gene=PVP01_1246700 | organism=Plasmodium_vivax_P01 | gene_product=kelch domain-containing protein, putative | transcript_product=kelch domain-containing protein, putative | location=PvP01_12_v2:1912137-1914080(-) | protein_length=647 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1456800.1-p1   -            423 3431at5820           -            582   2.8e-05   21.4   0.5   1   1   3.6e-08   4.7e-05   20.7   0.2   223   313     4    98     2   115 0.80 | transcript=PVP01_1456800.1 | gene=PVP01_1456800 | organism=Plasmodium_vivax_P01 | gene_product=BTB/POZ domain-containing protein, putative | transcript_product=BTB/POZ domain-containing protein, putative | location=PvP01_14_v2:2459694-2461653(+) | protein_length=423 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1027900.1-p1   -            206 3431at5820           -            582      0.15    9.1   9.1   1   1   0.00013      0.17    8.9   9.1   119   205    37   133    19   168 0.74 | transcript=PVP01_1027900.1 | gene=PVP01_1027900 | organism=Plasmodium_vivax_P01 | gene_product=60S ribosomal subunit protein L24, putative | transcript_product=60S ribosomal subunit protein L24, putative | location=PvP01_10_v2:1201644-1202587(+) | protein_length=206 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3431at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/3431at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3431at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:36:48 2026
# [ok]
