#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0708500.1-p1   -           1074 2890at5820           -            563  7.9e-247  818.8  38.5   1   5   3.4e-21   7.4e-18   62.9   1.2     1    69     1    92     1    96 0.74 | transcript=PVP01_0708500.1 | gene=PVP01_0708500 | organism=Plasmodium_vivax_P01 | gene_product=histone-lysine N-methyltransferase SET4, putative | transcript_product=histone-lysine N-methyltransferase SET4, putative | location=PvP01_07_v2:432272-435496(-) | protein_length=1074 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0708500.1-p1   -           1074 2890at5820           -            563  7.9e-247  818.8  38.5   2   5     6e-07    0.0013   15.9   0.0    67    91   113   138   105   145 0.85 | transcript=PVP01_0708500.1 | gene=PVP01_0708500 | organism=Plasmodium_vivax_P01 | gene_product=histone-lysine N-methyltransferase SET4, putative | transcript_product=histone-lysine N-methyltransferase SET4, putative | location=PvP01_07_v2:432272-435496(-) | protein_length=1074 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0708500.1-p1   -           1074 2890at5820           -            563  7.9e-247  818.8  38.5   3   5   3.3e-45   7.3e-42  142.2   1.2    97   190   363   457   355   465 0.95 | transcript=PVP01_0708500.1 | gene=PVP01_0708500 | organism=Plasmodium_vivax_P01 | gene_product=histone-lysine N-methyltransferase SET4, putative | transcript_product=histone-lysine N-methyltransferase SET4, putative | location=PvP01_07_v2:432272-435496(-) | protein_length=1074 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0708500.1-p1   -           1074 2890at5820           -            563  7.9e-247  818.8  38.5   4   5   1.8e-80   3.9e-77  258.6   3.5   185   333   527   673   520   683 0.93 | transcript=PVP01_0708500.1 | gene=PVP01_0708500 | organism=Plasmodium_vivax_P01 | gene_product=histone-lysine N-methyltransferase SET4, putative | transcript_product=histone-lysine N-methyltransferase SET4, putative | location=PvP01_07_v2:432272-435496(-) | protein_length=1074 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0708500.1-p1   -           1074 2890at5820           -            563  7.9e-247  818.8  38.5   5   5  3.2e-110    7e-107  356.8   7.9   341   563   833  1068   828  1068 0.95 | transcript=PVP01_0708500.1 | gene=PVP01_0708500 | organism=Plasmodium_vivax_P01 | gene_product=histone-lysine N-methyltransferase SET4, putative | transcript_product=histone-lysine N-methyltransferase SET4, putative | location=PvP01_07_v2:432272-435496(-) | protein_length=1074 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0915900.1-p1   -            792 2890at5820           -            563   5.5e-15   53.4  15.3   1   2   3.7e-07   0.00081   16.6   0.5   110   183   344   419   318   443 0.73 | transcript=PVP01_0915900.1 | gene=PVP01_0915900 | organism=Plasmodium_vivax_P01 | gene_product=histone-lysine N-methyltransferase SET7, putative | transcript_product=histone-lysine N-methyltransferase SET7, putative | location=PvP01_09_v2:717670-721242(+) | protein_length=792 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0915900.1-p1   -            792 2890at5820           -            563   5.5e-15   53.4  15.3   2   2   1.7e-14   3.6e-11   40.8   8.6   217   337   494   617   456   765 0.68 | transcript=PVP01_0915900.1 | gene=PVP01_0915900 | organism=Plasmodium_vivax_P01 | gene_product=histone-lysine N-methyltransferase SET7, putative | transcript_product=histone-lysine N-methyltransferase SET7, putative | location=PvP01_09_v2:717670-721242(+) | protein_length=792 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1025900.1-p1   -           1545 2890at5820           -            563   5.4e-06   23.7   0.4   1   2   2.5e-09   5.4e-06   23.7   0.4   236   347   443   557   430   624 0.76 | transcript=PVP01_1025900.1 | gene=PVP01_1025900 | organism=Plasmodium_vivax_P01 | gene_product=SET domain protein, putative | transcript_product=SET domain protein, putative | location=PvP01_10_v2:1129117-1133754(-) | protein_length=1545 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1025900.1-p1   -           1545 2890at5820           -            563   5.4e-06   23.7   0.4   2   2      0.34   7.4e+02   -3.1   0.1   447   482   818   852   814   869 0.75 | transcript=PVP01_1025900.1 | gene=PVP01_1025900 | organism=Plasmodium_vivax_P01 | gene_product=SET domain protein, putative | transcript_product=SET domain protein, putative | location=PvP01_10_v2:1129117-1133754(-) | protein_length=1545 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2890at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/2890at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2890at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:38:22 2026
# [ok]
