#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1223900.1-p1   -            456 6503at5820           -            386  1.7e-257  852.2   3.9   1   1  5.7e-260    2e-257  852.0   3.9     1   386    61   456    61   456 0.98 | transcript=PVP01_1223900.1 | gene=PVP01_1223900 | organism=Plasmodium_vivax_P01 | gene_product=elongation factor Tu, putative | transcript_product=elongation factor Tu, putative | location=PvP01_12_v2:927062-928432(+) | protein_length=456 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_API02800.1-p1  -            409 6503at5820           -            386  5.1e-120  399.7  16.4   1   1  1.8e-122  6.2e-120  399.4  16.4     5   386     5   408     2   408 0.89 | transcript=PVP01_API02800.1 | gene=PVP01_API02800 | organism=Plasmodium_vivax_P01 | gene_product=elongation factor Tu, putative | transcript_product=elongation factor Tu, putative | location=PvP01_API_v2:8576-9805(+) | protein_length=409 | sequence_SO=apicoplast_chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1114800.1-p1   -            443 6503at5820           -            386   1.8e-48  164.1   1.4   1   1   5.1e-50   1.8e-47  160.9   1.4     8   384     3   426     1   428 0.76 | transcript=PVP01_1114800.1 | gene=PVP01_1114800 | organism=Plasmodium_vivax_P01 | gene_product=elongation factor 1-alpha, putative | transcript_product=elongation factor 1-alpha, putative | location=PvP01_11_v2:631642-632973(-) | protein_length=443 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1114900.1-p1   -            443 6503at5820           -            386   1.8e-48  164.1   1.4   1   1   5.1e-50   1.8e-47  160.9   1.4     8   384     3   426     1   428 0.76 | transcript=PVP01_1114900.1 | gene=PVP01_1114900 | organism=Plasmodium_vivax_P01 | gene_product=elongation factor 1-alpha, putative | transcript_product=elongation factor 1-alpha, putative | location=PvP01_11_v2:634386-635717(+) | protein_length=443 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0924000.1-p1   -            547 6503at5820           -            386     6e-23   80.1   0.1   1   3   9.6e-23   3.3e-20   71.1   0.1    10   139   109   265   104   326 0.77 | transcript=PVP01_0924000.1 | gene=PVP01_0924000 | organism=Plasmodium_vivax_P01 | gene_product=eukaryotic peptide chain release factor GTP-binding subunit, putative | transcript_product=eukaryotic peptide chain release factor GTP-binding subunit, putative | location=PvP01_09_v2:1074814-1076720(+) | protein_length=547 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0924000.1-p1   -            547 6503at5820           -            386     6e-23   80.1   0.1   2   3     0.083        28    2.2   0.0   223   292   361   435   351   454 0.78 | transcript=PVP01_0924000.1 | gene=PVP01_0924000 | organism=Plasmodium_vivax_P01 | gene_product=eukaryotic peptide chain release factor GTP-binding subunit, putative | transcript_product=eukaryotic peptide chain release factor GTP-binding subunit, putative | location=PvP01_09_v2:1074814-1076720(+) | protein_length=547 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0924000.1-p1   -            547 6503at5820           -            386     6e-23   80.1   0.1   3   3      0.31   1.1e+02    0.3   0.0   366   383   526   543   507   545 0.85 | transcript=PVP01_0924000.1 | gene=PVP01_0924000 | organism=Plasmodium_vivax_P01 | gene_product=eukaryotic peptide chain release factor GTP-binding subunit, putative | transcript_product=eukaryotic peptide chain release factor GTP-binding subunit, putative | location=PvP01_09_v2:1074814-1076720(+) | protein_length=547 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1338300.1-p1   -            465 6503at5820           -            386   5.8e-16   57.1   2.5   1   2     3e-06     0.001   16.8   0.4    10    37    33    60    28    74 0.82 | transcript=PVP01_1338300.1 | gene=PVP01_1338300 | organism=Plasmodium_vivax_P01 | gene_product=eukaryotic translation initiation factor 2 subunit gamma, putative | transcript_product=eukaryotic translation initiation factor 2 subunit gamma, putative | location=PvP01_13_v2:1653729-1655126(-) | protein_length=465 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1338300.1-p1   -            465 6503at5820           -            386   5.8e-16   57.1   2.5   2   2   2.9e-13   9.9e-11   39.9   0.1    72   188   122   237   112   275 0.87 | transcript=PVP01_1338300.1 | gene=PVP01_1338300 | organism=Plasmodium_vivax_P01 | gene_product=eukaryotic translation initiation factor 2 subunit gamma, putative | transcript_product=eukaryotic translation initiation factor 2 subunit gamma, putative | location=PvP01_13_v2:1653729-1655126(-) | protein_length=465 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0204900.1-p1   -            776 6503at5820           -            386   3.3e-14   51.3   1.5   1   3   3.8e-05     0.013   13.2   0.0    13    62     4    47     2    60 0.87 | transcript=PVP01_0204900.1 | gene=PVP01_0204900 | organism=Plasmodium_vivax_P01 | gene_product=selenocysteine-specific elongation factor, putative | transcript_product=selenocysteine-specific elongation factor, putative | location=PvP01_02_v2:226816-229146(+) | protein_length=776 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0204900.1-p1   -            776 6503at5820           -            386   3.3e-14   51.3   1.5   2   3   3.8e-07   0.00013   19.7   0.5    75   140   128   192   121   211 0.85 | transcript=PVP01_0204900.1 | gene=PVP01_0204900 | organism=Plasmodium_vivax_P01 | gene_product=selenocysteine-specific elongation factor, putative | transcript_product=selenocysteine-specific elongation factor, putative | location=PvP01_02_v2:226816-229146(+) | protein_length=776 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
