#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0729400.1-p1   -           4239 102at5820            -           3017         0 4741.4 621.7   1  15    6e-175  9.8e-172  571.7  78.4     1   385     1   437     1   470 0.88 | transcript=PVP01_0729400.1 | gene=PVP01_0729400 | organism=Plasmodium_vivax_P01 | gene_product=regulator of chromosome condensation, putative | transcript_product=regulator of chromosome condensation, putative | location=PvP01_07_v2:1239746-1253268(+) | protein_length=4239 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0729400.1-p1   -           4239 102at5820            -           3017         0 4741.4 621.7   2  15   6.5e-41   1.1e-37  127.0   8.4   387   513   550   682   543   690 0.86 | transcript=PVP01_0729400.1 | gene=PVP01_0729400 | organism=Plasmodium_vivax_P01 | gene_product=regulator of chromosome condensation, putative | transcript_product=regulator of chromosome condensation, putative | location=PvP01_07_v2:1239746-1253268(+) | protein_length=4239 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0729400.1-p1   -           4239 102at5820            -           3017         0 4741.4 621.7   3  15   2.1e-14   3.5e-11   39.0   0.3   474   563   706   803   700   817 0.80 | transcript=PVP01_0729400.1 | gene=PVP01_0729400 | organism=Plasmodium_vivax_P01 | gene_product=regulator of chromosome condensation, putative | transcript_product=regulator of chromosome condensation, putative | location=PvP01_07_v2:1239746-1253268(+) | protein_length=4239 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0729400.1-p1   -           4239 102at5820            -           3017         0 4741.4 621.7   4  15   1.1e-76   1.7e-73  245.7  11.0   564   758  1000  1229   957  1241 0.78 | transcript=PVP01_0729400.1 | gene=PVP01_0729400 | organism=Plasmodium_vivax_P01 | gene_product=regulator of chromosome condensation, putative | transcript_product=regulator of chromosome condensation, putative | location=PvP01_07_v2:1239746-1253268(+) | protein_length=4239 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0729400.1-p1   -           4239 102at5820            -           3017         0 4741.4 621.7   5  15   3.9e-14   6.3e-11   38.1   2.7   737   800  1233  1300  1224  1306 0.82 | transcript=PVP01_0729400.1 | gene=PVP01_0729400 | organism=Plasmodium_vivax_P01 | gene_product=regulator of chromosome condensation, putative | transcript_product=regulator of chromosome condensation, putative | location=PvP01_07_v2:1239746-1253268(+) | protein_length=4239 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0729400.1-p1   -           4239 102at5820            -           3017         0 4741.4 621.7   6  15  1.3e-139  2.1e-136  454.5  53.8   792  1058  1333  1618  1302  1625 0.90 | transcript=PVP01_0729400.1 | gene=PVP01_0729400 | organism=Plasmodium_vivax_P01 | gene_product=regulator of chromosome condensation, putative | transcript_product=regulator of chromosome condensation, putative | location=PvP01_07_v2:1239746-1253268(+) | protein_length=4239 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0729400.1-p1   -           4239 102at5820            -           3017         0 4741.4 621.7   7  15  1.8e-157    3e-154  513.7  63.0  1057  1401  1659  2051  1640  2064 0.89 | transcript=PVP01_0729400.1 | gene=PVP01_0729400 | organism=Plasmodium_vivax_P01 | gene_product=regulator of chromosome condensation, putative | transcript_product=regulator of chromosome condensation, putative | location=PvP01_07_v2:1239746-1253268(+) | protein_length=4239 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0729400.1-p1   -           4239 102at5820            -           3017         0 4741.4 621.7   8  15   9.7e-33   1.6e-29   99.8   5.1  1429  1527  2132  2232  2124  2256 0.79 | transcript=PVP01_0729400.1 | gene=PVP01_0729400 | organism=Plasmodium_vivax_P01 | gene_product=regulator of chromosome condensation, putative | transcript_product=regulator of chromosome condensation, putative | location=PvP01_07_v2:1239746-1253268(+) | protein_length=4239 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0729400.1-p1   -           4239 102at5820            -           3017         0 4741.4 621.7   9  15   7.4e-82   1.2e-78  262.8  32.9  1516  1690  2279  2483  2264  2496 0.88 | transcript=PVP01_0729400.1 | gene=PVP01_0729400 | organism=Plasmodium_vivax_P01 | gene_product=regulator of chromosome condensation, putative | transcript_product=regulator of chromosome condensation, putative | location=PvP01_07_v2:1239746-1253268(+) | protein_length=4239 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0729400.1-p1   -           4239 102at5820            -           3017         0 4741.4 621.7  10  15   9.9e-31   1.6e-27   93.2  12.1  1693  1766  2543  2616  2536  2619 0.84 | transcript=PVP01_0729400.1 | gene=PVP01_0729400 | organism=Plasmodium_vivax_P01 | gene_product=regulator of chromosome condensation, putative | transcript_product=regulator of chromosome condensation, putative | location=PvP01_07_v2:1239746-1253268(+) | protein_length=4239 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0729400.1-p1   -           4239 102at5820            -           3017         0 4741.4 621.7  11  15   4.7e-21   7.6e-18   61.1   3.9  1738  1801  2614  2684  2610  2697 0.80 | transcript=PVP01_0729400.1 | gene=PVP01_0729400 | organism=Plasmodium_vivax_P01 | gene_product=regulator of chromosome condensation, putative | transcript_product=regulator of chromosome condensation, putative | location=PvP01_07_v2:1239746-1253268(+) | protein_length=4239 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
