#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1257500.1-p1   -            831 9467at5820           -            281  3.2e-127  422.4  72.7   1   5   5.8e-46   4.7e-43  146.2   4.0     5    95    27   117    24   155 0.88 | transcript=PVP01_1257500.1 | gene=PVP01_1257500 | organism=Plasmodium_vivax_P01 | gene_product=AP2 domain transcription factor AP2-O5, putative | transcript_product=AP2 domain transcription factor AP2-O5, putative | location=PvP01_12_v2:2357656-2360339(-) | protein_length=831 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1257500.1-p1   -            831 9467at5820           -            281  3.2e-127  422.4  72.7   2   5   0.00011     0.093   10.7   5.6    87   123   207   248   186   262 0.70 | transcript=PVP01_1257500.1 | gene=PVP01_1257500 | organism=Plasmodium_vivax_P01 | gene_product=AP2 domain transcription factor AP2-O5, putative | transcript_product=AP2 domain transcription factor AP2-O5, putative | location=PvP01_12_v2:2357656-2360339(-) | protein_length=831 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1257500.1-p1   -            831 9467at5820           -            281  3.2e-127  422.4  72.7   3   5   1.1e-05    0.0093   14.0   2.9    92   140   392   440   345   444 0.77 | transcript=PVP01_1257500.1 | gene=PVP01_1257500 | organism=Plasmodium_vivax_P01 | gene_product=AP2 domain transcription factor AP2-O5, putative | transcript_product=AP2 domain transcription factor AP2-O5, putative | location=PvP01_12_v2:2357656-2360339(-) | protein_length=831 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1257500.1-p1   -            831 9467at5820           -            281  3.2e-127  422.4  72.7   4   5      0.81   6.6e+02   -1.9   4.4    80   129   567   618   545   630 0.56 | transcript=PVP01_1257500.1 | gene=PVP01_1257500 | organism=Plasmodium_vivax_P01 | gene_product=AP2 domain transcription factor AP2-O5, putative | transcript_product=AP2 domain transcription factor AP2-O5, putative | location=PvP01_12_v2:2357656-2360339(-) | protein_length=831 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1257500.1-p1   -            831 9467at5820           -            281  3.2e-127  422.4  72.7   5   5   1.2e-83   9.9e-81  269.9  30.3    75   281   601   831   587   831 0.77 | transcript=PVP01_1257500.1 | gene=PVP01_1257500 | organism=Plasmodium_vivax_P01 | gene_product=AP2 domain transcription factor AP2-O5, putative | transcript_product=AP2 domain transcription factor AP2-O5, putative | location=PvP01_12_v2:2357656-2360339(-) | protein_length=831 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0807400.1-p1   -           1397 9467at5820           -            281   5.7e-10   37.7   6.4   1   6     0.013        11    4.0   0.6   146   271     5   129     1   139 0.54 | transcript=PVP01_0807400.1 | gene=PVP01_0807400 | organism=Plasmodium_vivax_P01 | gene_product=AP2 domain transcription factor AP2-I, putative | transcript_product=AP2 domain transcription factor AP2-I, putative | location=PvP01_08_v2:310385-314578(-) | protein_length=1397 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0807400.1-p1   -           1397 9467at5820           -            281   5.7e-10   37.7   6.4   2   6         8   6.5e+03   -6.6   5.7   124   194   245   322   187   340 0.66 | transcript=PVP01_0807400.1 | gene=PVP01_0807400 | organism=Plasmodium_vivax_P01 | gene_product=AP2 domain transcription factor AP2-I, putative | transcript_product=AP2 domain transcription factor AP2-I, putative | location=PvP01_08_v2:310385-314578(-) | protein_length=1397 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0807400.1-p1   -           1397 9467at5820           -            281   5.7e-10   37.7   6.4   3   6         8   6.5e+03   -5.2   5.1   120   197   281   360   264   367 0.66 | transcript=PVP01_0807400.1 | gene=PVP01_0807400 | organism=Plasmodium_vivax_P01 | gene_product=AP2 domain transcription factor AP2-I, putative | transcript_product=AP2 domain transcription factor AP2-I, putative | location=PvP01_08_v2:310385-314578(-) | protein_length=1397 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0807400.1-p1   -           1397 9467at5820           -            281   5.7e-10   37.7   6.4   4   6   8.4e-08   6.9e-05   21.0   0.1    29    72   420   464   413   496 0.89 | transcript=PVP01_0807400.1 | gene=PVP01_0807400 | organism=Plasmodium_vivax_P01 | gene_product=AP2 domain transcription factor AP2-I, putative | transcript_product=AP2 domain transcription factor AP2-I, putative | location=PvP01_08_v2:310385-314578(-) | protein_length=1397 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0807400.1-p1   -           1397 9467at5820           -            281   5.7e-10   37.7   6.4   5   6   1.1e-09   8.6e-07   27.3   3.3    19   130   608   722   592   757 0.57 | transcript=PVP01_0807400.1 | gene=PVP01_0807400 | organism=Plasmodium_vivax_P01 | gene_product=AP2 domain transcription factor AP2-I, putative | transcript_product=AP2 domain transcription factor AP2-I, putative | location=PvP01_08_v2:310385-314578(-) | protein_length=1397 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0807400.1-p1   -           1397 9467at5820           -            281   5.7e-10   37.7   6.4   6   6     0.039        31    2.4   0.3    53    93   813   857   785   888 0.69 | transcript=PVP01_0807400.1 | gene=PVP01_0807400 | organism=Plasmodium_vivax_P01 | gene_product=AP2 domain transcription factor AP2-I, putative | transcript_product=AP2 domain transcription factor AP2-I, putative | location=PvP01_08_v2:310385-314578(-) | protein_length=1397 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
