#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1309400.1-p1   -           1005 5114at5820           -            599  2.4e-238  791.3  84.5   1   6    1e-131  6.7e-129  429.8  29.6     1   205     1   210     1   227 0.93 | transcript=PVP01_1309400.1 | gene=PVP01_1309400 | organism=Plasmodium_vivax_P01 | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=PvP01_13_v2:436513-439530(-) | protein_length=1005 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1309400.1-p1   -           1005 5114at5820           -            599  2.4e-238  791.3  84.5   2   6   6.4e-28   4.1e-25   87.1   4.2   197   262   226   295   214   303 0.83 | transcript=PVP01_1309400.1 | gene=PVP01_1309400 | organism=Plasmodium_vivax_P01 | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=PvP01_13_v2:436513-439530(-) | protein_length=1005 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1309400.1-p1   -           1005 5114at5820           -            599  2.4e-238  791.3  84.5   3   6   5.2e-41   3.4e-38  130.3   4.5   264   408   384   555   378   587 0.83 | transcript=PVP01_1309400.1 | gene=PVP01_1309400 | organism=Plasmodium_vivax_P01 | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=PvP01_13_v2:436513-439530(-) | protein_length=1005 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1309400.1-p1   -           1005 5114at5820           -            599  2.4e-238  791.3  84.5   4   6   9.6e-05     0.063   10.5   0.2   420   451   614   645   563   655 0.64 | transcript=PVP01_1309400.1 | gene=PVP01_1309400 | organism=Plasmodium_vivax_P01 | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=PvP01_13_v2:436513-439530(-) | protein_length=1005 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1309400.1-p1   -           1005 5114at5820           -            599  2.4e-238  791.3  84.5   5   6     3e-22     2e-19   68.3   8.9   454   554   805   927   755   936 0.83 | transcript=PVP01_1309400.1 | gene=PVP01_1309400 | organism=Plasmodium_vivax_P01 | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=PvP01_13_v2:436513-439530(-) | protein_length=1005 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1309400.1-p1   -           1005 5114at5820           -            599  2.4e-238  791.3  84.5   6   6   9.6e-29   6.2e-26   89.8   3.6   534   599   940  1005   923  1005 0.86 | transcript=PVP01_1309400.1 | gene=PVP01_1309400 | organism=Plasmodium_vivax_P01 | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=PvP01_13_v2:436513-439530(-) | protein_length=1005 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0808300.1-p1   -            510 5114at5820           -            599   3.9e-44  149.9  15.7   1   3     6e-47   3.9e-44  149.9  15.7    18   127    17   125     1   132 0.91 | transcript=PVP01_0808300.1 | gene=PVP01_0808300 | organism=Plasmodium_vivax_P01 | gene_product=zinc finger (CCCH type) protein, putative | transcript_product=zinc finger (CCCH type) protein, putative | location=PvP01_08_v2:372457-373989(+) | protein_length=510 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0808300.1-p1   -            510 5114at5820           -            599   3.9e-44  149.9  15.7   2   3      0.46     3e+02   -1.7   1.6   340   371   266   296   237   358 0.63 | transcript=PVP01_0808300.1 | gene=PVP01_0808300 | organism=Plasmodium_vivax_P01 | gene_product=zinc finger (CCCH type) protein, putative | transcript_product=zinc finger (CCCH type) protein, putative | location=PvP01_08_v2:372457-373989(+) | protein_length=510 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0808300.1-p1   -            510 5114at5820           -            599   3.9e-44  149.9  15.7   3   3      0.57   3.7e+02   -1.9   2.0   533   580   437   484   414   501 0.63 | transcript=PVP01_0808300.1 | gene=PVP01_0808300 | organism=Plasmodium_vivax_P01 | gene_product=zinc finger (CCCH type) protein, putative | transcript_product=zinc finger (CCCH type) protein, putative | location=PvP01_08_v2:372457-373989(+) | protein_length=510 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1113300.1-p1   -            965 5114at5820           -            599   2.1e-30  104.5   4.4   1   4   3.3e-33   2.1e-30  104.5   4.4    20   140     7   126     3   147 0.93 | transcript=PVP01_1113300.1 | gene=PVP01_1113300 | organism=Plasmodium_vivax_P01 | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=PvP01_11_v2:575758-578655(-) | protein_length=965 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1113300.1-p1   -            965 5114at5820           -            599   2.1e-30  104.5   4.4   2   4        10   6.5e+03  -10.8  20.1   412   514   237   343   172   378 0.55 | transcript=PVP01_1113300.1 | gene=PVP01_1113300 | organism=Plasmodium_vivax_P01 | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=PvP01_11_v2:575758-578655(-) | protein_length=965 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
