#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0617900.1-p1   -            317 11664at5820          -            281  9.3e-147  486.3  49.2   1   1  2.1e-149  1.1e-146  486.1  49.2     1   281     1   301     1   301 0.95 | transcript=PVP01_0617900.1 | gene=PVP01_0617900 | organism=Plasmodium_vivax_P01 | gene_product=leucine-rich repeat protein 1, putative | transcript_product=leucine-rich repeat protein 1, putative | location=PvP01_06_v2:733029-734520(-) | protein_length=317 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1317100.1-p1   -           1494 11664at5820          -            281   1.4e-19   69.0  72.0   1   7   1.6e-08   8.2e-06   23.9  11.8    64   157     8   103     4   109 0.87 | transcript=PVP01_1317100.1 | gene=PVP01_1317100 | organism=Plasmodium_vivax_P01 | gene_product=leucine-rich repeat protein | transcript_product=leucine-rich repeat protein | location=PvP01_13_v2:797108-804066(+) | protein_length=1494 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1317100.1-p1   -           1494 11664at5820          -            281   1.4e-19   69.0  72.0   2   7   2.3e-08   1.1e-05   23.4   4.5    32   126    88   183    85   214 0.86 | transcript=PVP01_1317100.1 | gene=PVP01_1317100 | organism=Plasmodium_vivax_P01 | gene_product=leucine-rich repeat protein | transcript_product=leucine-rich repeat protein | location=PvP01_13_v2:797108-804066(+) | protein_length=1494 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1317100.1-p1   -           1494 11664at5820          -            281   1.4e-19   69.0  72.0   3   7       5.2   2.6e+03   -4.0   0.1    13    38   372   396   360   402 0.49 | transcript=PVP01_1317100.1 | gene=PVP01_1317100 | organism=Plasmodium_vivax_P01 | gene_product=leucine-rich repeat protein | transcript_product=leucine-rich repeat protein | location=PvP01_13_v2:797108-804066(+) | protein_length=1494 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1317100.1-p1   -           1494 11664at5820          -            281   1.4e-19   69.0  72.0   4   7    0.0022       1.1    7.0   0.1    35    93   796   860   769   903 0.64 | transcript=PVP01_1317100.1 | gene=PVP01_1317100 | organism=Plasmodium_vivax_P01 | gene_product=leucine-rich repeat protein | transcript_product=leucine-rich repeat protein | location=PvP01_13_v2:797108-804066(+) | protein_length=1494 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1317100.1-p1   -           1494 11664at5820          -            281   1.4e-19   69.0  72.0   5   7    0.0017      0.87    7.4  13.5    60   168   975  1084   970  1135 0.71 | transcript=PVP01_1317100.1 | gene=PVP01_1317100 | organism=Plasmodium_vivax_P01 | gene_product=leucine-rich repeat protein | transcript_product=leucine-rich repeat protein | location=PvP01_13_v2:797108-804066(+) | protein_length=1494 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1317100.1-p1   -           1494 11664at5820          -            281   1.4e-19   69.0  72.0   6   7   6.2e-09   3.1e-06   25.3   4.6    50   170  1170  1305  1152  1306 0.76 | transcript=PVP01_1317100.1 | gene=PVP01_1317100 | organism=Plasmodium_vivax_P01 | gene_product=leucine-rich repeat protein | transcript_product=leucine-rich repeat protein | location=PvP01_13_v2:797108-804066(+) | protein_length=1494 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1317100.1-p1   -           1494 11664at5820          -            281   1.4e-19   69.0  72.0   7   7   2.1e-11   1.1e-08   33.3   4.9    12   138  1231  1358  1221  1369 0.60 | transcript=PVP01_1317100.1 | gene=PVP01_1317100 | organism=Plasmodium_vivax_P01 | gene_product=leucine-rich repeat protein | transcript_product=leucine-rich repeat protein | location=PvP01_13_v2:797108-804066(+) | protein_length=1494 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1254900.1-p1   -            361 11664at5820          -            281   7.3e-16   56.9  34.7   1   1   2.5e-18   1.3e-15   56.1  34.7    23   230    25   242     9   283 0.77 | transcript=PVP01_1254900.1 | gene=PVP01_1254900 | organism=Plasmodium_vivax_P01 | gene_product=leucine-rich repeat protein | transcript_product=leucine-rich repeat protein | location=PvP01_12_v2:2242645-2243730(-) | protein_length=361 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1207000.1-p1   -            250 11664at5820          -            281   1.4e-15   55.9  29.2   1   2   1.4e-17   7.1e-15   53.6  20.1    44   157    10   124     4   143 0.90 | transcript=PVP01_1207000.1 | gene=PVP01_1207000 | organism=Plasmodium_vivax_P01 | gene_product=centrosomal protein CEP72, putative | transcript_product=centrosomal protein CEP72, putative | location=PvP01_12_v2:284995-286712(-) | protein_length=250 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1207000.1-p1   -            250 11664at5820          -            281   1.4e-15   55.9  29.2   2   2    0.0025       1.3    6.9   2.8   221   278   140   199   131   202 0.71 | transcript=PVP01_1207000.1 | gene=PVP01_1207000 | organism=Plasmodium_vivax_P01 | gene_product=centrosomal protein CEP72, putative | transcript_product=centrosomal protein CEP72, putative | location=PvP01_12_v2:284995-286712(-) | protein_length=250 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0728700.1-p1   -            635 11664at5820          -            281   7.1e-14   50.3  31.8   1   2   7.2e-14   3.6e-11   41.5  13.5    81   159    76   154    69   154 0.96 | transcript=PVP01_0728700.1 | gene=PVP01_0728700 | organism=Plasmodium_vivax_P01 | gene_product=leucine-rich repeat protein | transcript_product=leucine-rich repeat protein | location=PvP01_07_v2:1202565-1205204(-) | protein_length=635 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0728700.1-p1   -            635 11664at5820          -            281   7.1e-14   50.3  31.8   2   2   2.4e-08   1.2e-05   23.3  10.4    37   102   142   210   141   219 0.89 | transcript=PVP01_0728700.1 | gene=PVP01_0728700 | organism=Plasmodium_vivax_P01 | gene_product=leucine-rich repeat protein | transcript_product=leucine-rich repeat protein | location=PvP01_07_v2:1202565-1205204(-) | protein_length=635 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1024800.1-p1   -            359 11664at5820          -            281   1.4e-13   49.3  11.0   1   2   2.9e-16   1.4e-13   49.3  11.0    53   170    28   149    11   169 0.79 | transcript=PVP01_1024800.1 | gene=PVP01_1024800 | organism=Plasmodium_vivax_P01 | gene_product=leucine-rich repeat protein | transcript_product=leucine-rich repeat protein | location=PvP01_10_v2:1079578-1081312(-) | protein_length=359 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1024800.1-p1   -            359 11664at5820          -            281   1.4e-13   49.3  11.0   2   2      0.26   1.3e+02    0.2   0.2   138   181   243   287   237   316 0.73 | transcript=PVP01_1024800.1 | gene=PVP01_1024800 | organism=Plasmodium_vivax_P01 | gene_product=leucine-rich repeat protein | transcript_product=leucine-rich repeat protein | location=PvP01_10_v2:1079578-1081312(-) | protein_length=359 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0511800.1-p1   -            198 11664at5820          -            281   4.3e-13   47.8  14.0   1   1   2.6e-15   1.3e-12   46.2  14.0    34   158    25   156     3   187 0.74 | transcript=PVP01_0511800.1 | gene=PVP01_0511800 | organism=Plasmodium_vivax_P01 | gene_product=dynein light chain 1, putative | transcript_product=dynein light chain 1, putative | location=PvP01_05_v2:508730-510121(+) | protein_length=198 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1446300.1-p1   -            438 11664at5820          -            281   5.8e-12   44.0  13.8   1   1     2e-14     1e-11   43.2  13.8    16   127    23   140     6   151 0.77 | transcript=PVP01_1446300.1 | gene=PVP01_1446300 | organism=Plasmodium_vivax_P01 | gene_product=leucine-rich repeat protein | transcript_product=leucine-rich repeat protein | location=PvP01_14_v2:2001425-2002988(-) | protein_length=438 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0947100.1-p1   -            340 11664at5820          -            281     1e-09   36.7  26.6   1   1   3.2e-12   1.6e-09   36.0  26.6    30   234   120   326    97   330 0.81 | transcript=PVP01_0947100.1 | gene=PVP01_0947100 | organism=Plasmodium_vivax_P01 | gene_product=leucine-rich repeat protein | transcript_product=leucine-rich repeat protein | location=PvP01_09_v2:2048173-2049195(+) | protein_length=340 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1102300.1-p1   -            176 11664at5820          -            281   9.6e-09   33.5  15.5   1   2   3.8e-10   1.9e-07   29.2   9.6    85   159    23   100     3   110 0.75 | transcript=PVP01_1102300.1 | gene=PVP01_1102300 | organism=Plasmodium_vivax_P01 | gene_product=U2 small nuclear ribonucleoprotein A', putative | transcript_product=U2 small nuclear ribonucleoprotein A', putative | location=PvP01_11_v2:96435-97778(+) | protein_length=176 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1102300.1-p1   -            176 11664at5820          -            281   9.6e-09   33.5  15.5   2   2    0.0013      0.63    7.8   0.7   235   279   105   147   100   149 0.62 | transcript=PVP01_1102300.1 | gene=PVP01_1102300 | organism=Plasmodium_vivax_P01 | gene_product=U2 small nuclear ribonucleoprotein A', putative | transcript_product=U2 small nuclear ribonucleoprotein A', putative | location=PvP01_11_v2:96435-97778(+) | protein_length=176 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1321400.1-p1   -            281 11664at5820          -            281   5.1e-05   21.3   5.2   1   2   6.1e-07   0.00031   18.7   4.5    71   151    45   132     9   142 0.60 | transcript=PVP01_1321400.1 | gene=PVP01_1321400 | organism=Plasmodium_vivax_P01 | gene_product=leucine-rich repeat protein | transcript_product=leucine-rich repeat protein | location=PvP01_13_v2:963407-964252(-) | protein_length=281 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1321400.1-p1   -            281 11664at5820          -            281   5.1e-05   21.3   5.2   2   2     0.023        11    3.7   0.1   234   278   122   164   119   167 0.84 | transcript=PVP01_1321400.1 | gene=PVP01_1321400 | organism=Plasmodium_vivax_P01 | gene_product=leucine-rich repeat protein | transcript_product=leucine-rich repeat protein | location=PvP01_13_v2:963407-964252(-) | protein_length=281 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1238500.1-p1   -            250 11664at5820          -            281     9e-05   20.5  15.1   1   1     8e-06     0.004   15.0  14.0   144   278    82   225    57   228 0.74 | transcript=PVP01_1238500.1 | gene=PVP01_1238500 | organism=Plasmodium_vivax_P01 | gene_product=leucine-rich repeat protein | transcript_product=leucine-rich repeat protein | location=PvP01_12_v2:1528434-1529529(-) | protein_length=250 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0705200.1-p1   -            414 11664at5820          -            281    0.0055   14.6   7.3   1   2     0.008         4    5.2   0.5   155   194   115   154    72   219 0.81 | transcript=PVP01_0705200.1 | gene=PVP01_0705200 | organism=Plasmodium_vivax_P01 | gene_product=leucine-rich repeat protein | transcript_product=leucine-rich repeat protein | location=PvP01_07_v2:309385-310629(-) | protein_length=414 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0705200.1-p1   -            414 11664at5820          -            281    0.0055   14.6   7.3   2   2   0.00017     0.086   10.7   1.4    54    90   295   331   274   337 0.63 | transcript=PVP01_0705200.1 | gene=PVP01_0705200 | organism=Plasmodium_vivax_P01 | gene_product=leucine-rich repeat protein | transcript_product=leucine-rich repeat protein | location=PvP01_07_v2:309385-310629(-) | protein_length=414 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/11664at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/11664at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/11664at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:30:51 2026
# [ok]
