#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1409400.1-p1   -           5341 109at5820            -           2731         0 4119.1 474.3   1  15   4.3e-77   2.8e-73  245.3  18.1     8   154    71   220    65   245 0.92 | transcript=PVP01_1409400.1 | gene=PVP01_1409400 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_14_v2:426945-443096(-) | protein_length=5341 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1409400.1-p1   -           5341 109at5820            -           2731         0 4119.1 474.3   2  15   2.7e-19   1.7e-15   53.6   2.2   154   221   924   992   909  1002 0.85 | transcript=PVP01_1409400.1 | gene=PVP01_1409400 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_14_v2:426945-443096(-) | protein_length=5341 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1409400.1-p1   -           5341 109at5820            -           2731         0 4119.1 474.3   3  15   1.1e-76   7.2e-73  244.0  16.9   216   359  1128  1281  1119  1326 0.89 | transcript=PVP01_1409400.1 | gene=PVP01_1409400 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_14_v2:426945-443096(-) | protein_length=5341 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1409400.1-p1   -           5341 109at5820            -           2731         0 4119.1 474.3   4  15   7.4e-08   0.00048   15.7   0.1   393   441  1494  1560  1472  1562 0.77 | transcript=PVP01_1409400.1 | gene=PVP01_1409400 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_14_v2:426945-443096(-) | protein_length=5341 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1409400.1-p1   -           5341 109at5820            -           2731         0 4119.1 474.3   5  15     3e-66     2e-62  209.4  31.0   441   608  1587  1789  1584  1791 0.86 | transcript=PVP01_1409400.1 | gene=PVP01_1409400 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_14_v2:426945-443096(-) | protein_length=5341 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1409400.1-p1   -           5341 109at5820            -           2731         0 4119.1 474.3   6  15  7.4e-175  4.8e-171  569.7  57.1   589   983  1956  2419  1950  2434 0.89 | transcript=PVP01_1409400.1 | gene=PVP01_1409400 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_14_v2:426945-443096(-) | protein_length=5341 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1409400.1-p1   -           5341 109at5820            -           2731         0 4119.1 474.3   7  15   2.7e-61   1.8e-57  193.0  13.6   978  1096  2528  2647  2511  2652 0.94 | transcript=PVP01_1409400.1 | gene=PVP01_1409400 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_14_v2:426945-443096(-) | protein_length=5341 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1409400.1-p1   -           5341 109at5820            -           2731         0 4119.1 474.3   8  15  5.1e-108  3.4e-104  348.0  31.4  1096  1300  2737  2943  2734  2950 0.97 | transcript=PVP01_1409400.1 | gene=PVP01_1409400 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_14_v2:426945-443096(-) | protein_length=5341 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1409400.1-p1   -           5341 109at5820            -           2731         0 4119.1 474.3   9  15  1.2e-284  7.8e-281  934.0  84.9  1297  1800  3083  3619  3080  3631 0.94 | transcript=PVP01_1409400.1 | gene=PVP01_1409400 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_14_v2:426945-443096(-) | protein_length=5341 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1409400.1-p1   -           5341 109at5820            -           2731         0 4119.1 474.3  10  15   4.9e-66   3.2e-62  208.7  20.8  1796  1921  3683  3808  3668  3826 0.93 | transcript=PVP01_1409400.1 | gene=PVP01_1409400 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_14_v2:426945-443096(-) | protein_length=5341 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1409400.1-p1   -           5341 109at5820            -           2731         0 4119.1 474.3  11  15     7e-55   4.6e-51  171.7   9.0  1927  2078  4025  4202  4010  4215 0.82 | transcript=PVP01_1409400.1 | gene=PVP01_1409400 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_14_v2:426945-443096(-) | protein_length=5341 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1409400.1-p1   -           5341 109at5820            -           2731         0 4119.1 474.3  12  15     2e-48   1.3e-44  150.2   5.0  2071  2170  4304  4405  4299  4417 0.93 | transcript=PVP01_1409400.1 | gene=PVP01_1409400 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_14_v2:426945-443096(-) | protein_length=5341 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1409400.1-p1   -           5341 109at5820            -           2731         0 4119.1 474.3  13  15    0.0029        19    0.4   1.6  2171  2214  4509  4551  4490  4572 0.69 | transcript=PVP01_1409400.1 | gene=PVP01_1409400 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_14_v2:426945-443096(-) | protein_length=5341 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1409400.1-p1   -           5341 109at5820            -           2731         0 4119.1 474.3  14  15   4.3e-82   2.8e-78  262.0  21.1  2200  2350  4594  4746  4579  4750 0.95 | transcript=PVP01_1409400.1 | gene=PVP01_1409400 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_14_v2:426945-443096(-) | protein_length=5341 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
