#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1448000.1-p1   -           1872 890at5820            -           1531         0 2255.3   0.0   1   4         0         0 1599.2   1.8     1   954     1  1021     1  1032 0.91 | transcript=PVP01_1448000.1 | gene=PVP01_1448000 | organism=Plasmodium_vivax_P01 | gene_product=myosin J, putative | transcript_product=myosin J, putative | location=PvP01_14_v2:2078986-2085183(-) | protein_length=1872 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1448000.1-p1   -           1872 890at5820            -           1531         0 2255.3   0.0   2   4  1.8e-168    2e-165  550.9   0.0   963  1414  1114  1657  1106  1668 0.92 | transcript=PVP01_1448000.1 | gene=PVP01_1448000 | organism=Plasmodium_vivax_P01 | gene_product=myosin J, putative | transcript_product=myosin J, putative | location=PvP01_14_v2:2078986-2085183(-) | protein_length=1872 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1448000.1-p1   -           1872 890at5820            -           1531         0 2255.3   0.0   3   4   2.4e-16   2.6e-13   46.7   0.0  1417  1456  1703  1742  1696  1745 0.94 | transcript=PVP01_1448000.1 | gene=PVP01_1448000 | organism=Plasmodium_vivax_P01 | gene_product=myosin J, putative | transcript_product=myosin J, putative | location=PvP01_14_v2:2078986-2085183(-) | protein_length=1872 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1448000.1-p1   -           1872 890at5820            -           1531         0 2255.3   0.0   4   4   1.3e-17   1.4e-14   50.9   0.0  1453  1530  1768  1872  1752  1872 0.79 | transcript=PVP01_1448000.1 | gene=PVP01_1448000 | organism=Plasmodium_vivax_P01 | gene_product=myosin J, putative | transcript_product=myosin J, putative | location=PvP01_14_v2:2078986-2085183(-) | protein_length=1872 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1212200.1-p1   -            817 890at5820            -           1531   1.6e-62  209.8  17.6   1   2   8.6e-21   9.3e-18   61.4   0.0    98   208   101   208    83   217 0.87 | transcript=PVP01_1212200.1 | gene=PVP01_1212200 | organism=Plasmodium_vivax_P01 | gene_product=myosin A, putative | transcript_product=myosin A, putative | location=PvP01_12_v2:539112-541853(-) | protein_length=817 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1212200.1-p1   -            817 890at5820            -           1531   1.6e-62  209.8  17.6   2   2   6.1e-44   6.6e-41  138.2  16.9   260   847   226   759   210   775 0.79 | transcript=PVP01_1212200.1 | gene=PVP01_1212200 | organism=Plasmodium_vivax_P01 | gene_product=myosin A, putative | transcript_product=myosin A, putative | location=PvP01_12_v2:539112-541853(-) | protein_length=817 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1225400.1-p1   -           1992 890at5820            -           1531   4.9e-61  204.9  12.2   1   3   1.5e-21   1.6e-18   64.0   0.0    98   208    73   176    14   179 0.82 | transcript=PVP01_1225400.1 | gene=PVP01_1225400 | organism=Plasmodium_vivax_P01 | gene_product=myosin F, putative | transcript_product=myosin F, putative | location=PvP01_12_v2:985781-992295(+) | protein_length=1992 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1225400.1-p1   -           1992 890at5820            -           1531   4.9e-61  204.9  12.2   2   3   1.8e-14   1.9e-11   40.5   0.1   261   339   196   274   181   282 0.85 | transcript=PVP01_1225400.1 | gene=PVP01_1225400 | organism=Plasmodium_vivax_P01 | gene_product=myosin F, putative | transcript_product=myosin F, putative | location=PvP01_12_v2:985781-992295(+) | protein_length=1992 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1225400.1-p1   -           1992 890at5820            -           1531   4.9e-61  204.9  12.2   3   3   4.6e-31     5e-28   95.5   6.0   370   813   373   775   358   779 0.79 | transcript=PVP01_1225400.1 | gene=PVP01_1225400 | organism=Plasmodium_vivax_P01 | gene_product=myosin F, putative | transcript_product=myosin F, putative | location=PvP01_12_v2:985781-992295(+) | protein_length=1992 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0941200.1-p1   -           1716 890at5820            -           1531   4.7e-55  185.1  67.4   1   3     1e-29   1.1e-26   91.0  13.0    13   338    21   416     5   448 0.77 | transcript=PVP01_0941200.1 | gene=PVP01_0941200 | organism=Plasmodium_vivax_P01 | gene_product=myosin K, putative | transcript_product=myosin K, putative | location=PvP01_09_v2:1802551-1808175(+) | protein_length=1716 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0941200.1-p1   -           1716 890at5820            -           1531   4.7e-55  185.1  67.4   2   3   3.8e-35   4.2e-32  109.0  35.2   512   944   744  1266   737  1334 0.79 | transcript=PVP01_0941200.1 | gene=PVP01_0941200 | organism=Plasmodium_vivax_P01 | gene_product=myosin K, putative | transcript_product=myosin K, putative | location=PvP01_09_v2:1802551-1808175(+) | protein_length=1716 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
