#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1141800.1-p1   -            401 10508at5820          -            310  4.1e-152  504.6  17.0   1   2  1.4e-116  7.4e-114  378.9   5.3     2   234    13   249    12   283 0.92 | transcript=PVP01_1141800.1 | gene=PVP01_1141800 | organism=Plasmodium_vivax_P01 | gene_product=RING zinc finger protein, putative | transcript_product=RING zinc finger protein, putative | location=PvP01_11_v2:1772224-1773631(+) | protein_length=401 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1141800.1-p1   -            401 10508at5820          -            310  4.1e-152  504.6  17.0   2   2   2.9e-41   1.6e-38  131.5   3.9   245   310   336   401   327   401 0.97 | transcript=PVP01_1141800.1 | gene=PVP01_1141800 | organism=Plasmodium_vivax_P01 | gene_product=RING zinc finger protein, putative | transcript_product=RING zinc finger protein, putative | location=PvP01_11_v2:1772224-1773631(+) | protein_length=401 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1343100.1-p1   -            695 10508at5820          -            310   6.8e-18   63.7  42.3   1   2     0.005       2.7    5.9  30.5    95   186   318   401   235   411 0.63 | transcript=PVP01_1343100.1 | gene=PVP01_1343100 | organism=Plasmodium_vivax_P01 | gene_product=RING zinc finger protein, putative | transcript_product=RING zinc finger protein, putative | location=PvP01_13_v2:1899368-1901455(+) | protein_length=695 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1343100.1-p1   -            695 10508at5820          -            310   6.8e-18   63.7  42.3   2   2   4.3e-20   2.3e-17   62.0   3.9   208   299   600   692   580   695 0.85 | transcript=PVP01_1343100.1 | gene=PVP01_1343100 | organism=Plasmodium_vivax_P01 | gene_product=RING zinc finger protein, putative | transcript_product=RING zinc finger protein, putative | location=PvP01_13_v2:1899368-1901455(+) | protein_length=695 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0825400.1-p1   -           1211 10508at5820          -            310   2.6e-12   45.4   3.2   1   2         2   1.1e+03   -2.6   1.1   196   255   295   355   270   365 0.67 | transcript=PVP01_0825400.1 | gene=PVP01_0825400 | organism=Plasmodium_vivax_P01 | gene_product=RING finger protein RNF1, putative | transcript_product=RING finger protein RNF1, putative | location=PvP01_08_v2:1139526-1143161(+) | protein_length=1211 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0825400.1-p1   -           1211 10508at5820          -            310   2.6e-12   45.4   3.2   2   2   4.7e-15   2.6e-12   45.4   3.2   243   301  1154  1210  1123  1211 0.79 | transcript=PVP01_0825400.1 | gene=PVP01_0825400 | organism=Plasmodium_vivax_P01 | gene_product=RING finger protein RNF1, putative | transcript_product=RING finger protein RNF1, putative | location=PvP01_08_v2:1139526-1143161(+) | protein_length=1211 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1004000.1-p1   -            284 10508at5820          -            310   3.1e-09   35.3   2.3   1   1   5.6e-12   3.1e-09   35.3   2.3   249   300   232   281   203   283 0.90 | transcript=PVP01_1004000.1 | gene=PVP01_1004000 | organism=Plasmodium_vivax_P01 | gene_product=RING zinc finger protein, putative | transcript_product=RING zinc finger protein, putative | location=PvP01_10_v2:199642-200977(+) | protein_length=284 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0804000.1-p1   -           1169 10508at5820          -            310   3.8e-09   35.0   1.2   1   1   1.4e-11   7.8e-09   34.0   1.2   205   298   309   408   295   412 0.78 | transcript=PVP01_0804000.1 | gene=PVP01_0804000 | organism=Plasmodium_vivax_P01 | gene_product=RING finger E3 ubiquitin-protein ligase, putative | transcript_product=RING finger E3 ubiquitin-protein ligase, putative | location=PvP01_08_v2:197452-200961(-) | protein_length=1169 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1326500.1-p1   -            520 10508at5820          -            310   9.7e-06   23.8   5.1   1   1   1.8e-08   9.7e-06   23.8   5.1   270   300   313   341   256   353 0.69 | transcript=PVP01_1326500.1 | gene=PVP01_1326500 | organism=Plasmodium_vivax_P01 | gene_product=ERAD-associated E3 ubiquitin-protein ligase HRD1, putative | transcript_product=ERAD-associated E3 ubiquitin-protein ligase HRD1, putative | location=PvP01_13_v2:1148914-1151234(-) | protein_length=520 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0613300.1-p1   -            272 10508at5820          -            310   1.1e-05   23.7   1.0   1   1   1.9e-08   1.1e-05   23.7   1.0   244   300   209   264   193   268 0.83 | transcript=PVP01_0613300.1 | gene=PVP01_0613300 | organism=Plasmodium_vivax_P01 | gene_product=RING zinc finger protein, putative | transcript_product=RING zinc finger protein, putative | location=PvP01_06_v2:571562-572380(-) | protein_length=272 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0828100.1-p1   -            736 10508at5820          -            310   0.00027   19.0   2.8   1   2      0.34   1.9e+02   -0.1   5.1    54   114   435   501   420   521 0.65 | transcript=PVP01_0828100.1 | gene=PVP01_0828100 | organism=Plasmodium_vivax_P01 | gene_product=E3 ubiquitin-protein ligase, putative | transcript_product=E3 ubiquitin-protein ligase, putative | location=PvP01_08_v2:1215633-1217843(-) | protein_length=736 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
