#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0520400.1-p1   -            879 3141at5820           -            730         0 1322.8  73.3   1   4   5.2e-28   6.8e-25   86.0   0.4     1    58     1    60     1    65 0.95 | transcript=PVP01_0520400.1 | gene=PVP01_0520400 | organism=Plasmodium_vivax_P01 | gene_product=ubiquitin carboxyl-terminal hydrolase 13, putative | transcript_product=ubiquitin carboxyl-terminal hydrolase 13, putative | location=PvP01_05_v2:824294-827452(-) | protein_length=879 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0520400.1-p1   -            879 3141at5820           -            730         0 1322.8  73.3   2   4  3.6e-225  4.7e-222  737.8  34.3    57   446    81   486    76   497 0.95 | transcript=PVP01_0520400.1 | gene=PVP01_0520400 | organism=Plasmodium_vivax_P01 | gene_product=ubiquitin carboxyl-terminal hydrolase 13, putative | transcript_product=ubiquitin carboxyl-terminal hydrolase 13, putative | location=PvP01_05_v2:824294-827452(-) | protein_length=879 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0520400.1-p1   -            879 3141at5820           -            730         0 1322.8  73.3   3   4   1.3e-60   1.7e-57  193.8   3.3   440   564   525   667   522   669 0.92 | transcript=PVP01_0520400.1 | gene=PVP01_0520400 | organism=Plasmodium_vivax_P01 | gene_product=ubiquitin carboxyl-terminal hydrolase 13, putative | transcript_product=ubiquitin carboxyl-terminal hydrolase 13, putative | location=PvP01_05_v2:824294-827452(-) | protein_length=879 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0520400.1-p1   -            879 3141at5820           -            730         0 1322.8  73.3   4   4   2.7e-99   3.5e-96  321.7  13.6   555   730   695   879   686   879 0.96 | transcript=PVP01_0520400.1 | gene=PVP01_0520400 | organism=Plasmodium_vivax_P01 | gene_product=ubiquitin carboxyl-terminal hydrolase 13, putative | transcript_product=ubiquitin carboxyl-terminal hydrolase 13, putative | location=PvP01_05_v2:824294-827452(-) | protein_length=879 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1017300.1-p1   -           1342 3141at5820           -            730   1.6e-10   38.5  20.0   1   5   3.1e-07   0.00041   17.3   0.1   292   325   325   358   310   369 0.83 | transcript=PVP01_1017300.1 | gene=PVP01_1017300 | organism=Plasmodium_vivax_P01 | gene_product=ubiquitin carboxyl-terminal hydrolase 2, putative | transcript_product=ubiquitin carboxyl-terminal hydrolase 2, putative | location=PvP01_10_v2:771250-776009(-) | protein_length=1342 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1017300.1-p1   -           1342 3141at5820           -            730   1.6e-10   38.5  20.0   2   5    0.0046         6    3.5   0.0   393   443   399   449   390   461 0.87 | transcript=PVP01_1017300.1 | gene=PVP01_1017300 | organism=Plasmodium_vivax_P01 | gene_product=ubiquitin carboxyl-terminal hydrolase 2, putative | transcript_product=ubiquitin carboxyl-terminal hydrolase 2, putative | location=PvP01_10_v2:771250-776009(-) | protein_length=1342 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1017300.1-p1   -           1342 3141at5820           -            730   1.6e-10   38.5  20.0   3   5         5   6.5e+03   -6.5   3.2   367   416   631   662   614   708 0.42 | transcript=PVP01_1017300.1 | gene=PVP01_1017300 | organism=Plasmodium_vivax_P01 | gene_product=ubiquitin carboxyl-terminal hydrolase 2, putative | transcript_product=ubiquitin carboxyl-terminal hydrolase 2, putative | location=PvP01_10_v2:771250-776009(-) | protein_length=1342 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1017300.1-p1   -           1342 3141at5820           -            730   1.6e-10   38.5  20.0   4   5   2.8e-07   0.00037   17.5   0.7   486   550  1154  1221  1105  1247 0.77 | transcript=PVP01_1017300.1 | gene=PVP01_1017300 | organism=Plasmodium_vivax_P01 | gene_product=ubiquitin carboxyl-terminal hydrolase 2, putative | transcript_product=ubiquitin carboxyl-terminal hydrolase 2, putative | location=PvP01_10_v2:771250-776009(-) | protein_length=1342 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1017300.1-p1   -           1342 3141at5820           -            730   1.6e-10   38.5  20.0   5   5   6.4e-06    0.0084   13.0   0.3   675   727  1255  1308  1249  1310 0.80 | transcript=PVP01_1017300.1 | gene=PVP01_1017300 | organism=Plasmodium_vivax_P01 | gene_product=ubiquitin carboxyl-terminal hydrolase 2, putative | transcript_product=ubiquitin carboxyl-terminal hydrolase 2, putative | location=PvP01_10_v2:771250-776009(-) | protein_length=1342 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1006600.1-p1   -            590 3141at5820           -            730     4e-10   37.2   0.9   1   3   1.5e-06     0.002   15.0   0.0   295   322   110   137    89   174 0.74 | transcript=PVP01_1006600.1 | gene=PVP01_1006600 | organism=Plasmodium_vivax_P01 | gene_product=ubiquitin carboxyl-terminal hydrolase 14, putative | transcript_product=ubiquitin carboxyl-terminal hydrolase 14, putative | location=PvP01_10_v2:291412-293684(+) | protein_length=590 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1006600.1-p1   -            590 3141at5820           -            730     4e-10   37.2   0.9   2   3   0.00052      0.67    6.7   0.1   499   537   308   346   300   376 0.85 | transcript=PVP01_1006600.1 | gene=PVP01_1006600 | organism=Plasmodium_vivax_P01 | gene_product=ubiquitin carboxyl-terminal hydrolase 14, putative | transcript_product=ubiquitin carboxyl-terminal hydrolase 14, putative | location=PvP01_10_v2:291412-293684(+) | protein_length=590 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
