#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0948600.1-p1   -           1423 999at5820            -            930         0 1916.5 127.3   1   4   7.9e-90     3e-87  292.2  26.0     1   178    13   195    13   205 0.96 | transcript=PVP01_0948600.1 | gene=PVP01_0948600 | organism=Plasmodium_vivax_P01 | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=PvP01_09_v2:2131542-2135813(-) | protein_length=1423 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0948600.1-p1   -           1423 999at5820            -            930         0 1916.5 127.3   2   4       0.3   1.2e+02   -1.0   0.0   170   186   231   247   226   259 0.82 | transcript=PVP01_0948600.1 | gene=PVP01_0948600 | organism=Plasmodium_vivax_P01 | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=PvP01_09_v2:2131542-2135813(-) | protein_length=1423 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0948600.1-p1   -           1423 999at5820            -            930         0 1916.5 127.3   3   4  9.2e-174  3.5e-171  570.0  50.2   183   481   445   751   431   777 0.96 | transcript=PVP01_0948600.1 | gene=PVP01_0948600 | organism=Plasmodium_vivax_P01 | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=PvP01_09_v2:2131542-2135813(-) | protein_length=1423 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0948600.1-p1   -           1423 999at5820            -            930         0 1916.5 127.3   4   4         0         0 1067.9  32.4   477   930   970  1423   877  1423 0.97 | transcript=PVP01_0948600.1 | gene=PVP01_0948600 | organism=Plasmodium_vivax_P01 | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=PvP01_09_v2:2131542-2135813(-) | protein_length=1423 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1007900.1-p1   -            288 999at5820            -            930   2.7e-20   70.6   0.6   1   1   8.2e-23   3.2e-20   70.4   0.6   657   867    15   216    10   263 0.83 | transcript=PVP01_1007900.1 | gene=PVP01_1007900 | organism=Plasmodium_vivax_P01 | gene_product=NIMA related kinase 2, putative | transcript_product=NIMA related kinase 2, putative | location=PvP01_10_v2:352291-354430(-) | protein_length=288 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1115000.1-p1   -            288 999at5820            -            930   1.4e-17   61.7   0.2   1   1   4.6e-20   1.8e-17   61.3   0.2   706   858    50   196    15   202 0.88 | transcript=PVP01_1115000.1 | gene=PVP01_1115000 | organism=Plasmodium_vivax_P01 | gene_product=protein kinase 5 | transcript_product=protein kinase 5 | location=PvP01_11_v2:636610-638342(+) | protein_length=288 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1446500.1-p1   -           1026 999at5820            -            930   3.3e-16   57.1   3.4   1   1   1.8e-17     7e-15   52.7   3.4   705   924    61   298    12   302 0.71 | transcript=PVP01_1446500.1 | gene=PVP01_1446500 | organism=Plasmodium_vivax_P01 | gene_product=NIMA related kinase 1, putative | transcript_product=NIMA related kinase 1, putative | location=PvP01_14_v2:2007901-2011200(+) | protein_length=1026 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0527200.1-p1   -            622 999at5820            -            930   9.1e-16   55.7   6.0   1   2   2.4e-18   9.1e-16   55.7   6.0   653   860   276   477   271   497 0.84 | transcript=PVP01_0527200.1 | gene=PVP01_0527200 | organism=Plasmodium_vivax_P01 | gene_product=cdc2-related protein kinase 1, putative | transcript_product=cdc2-related protein kinase 1, putative | location=PvP01_05_v2:1113369-1115237(-) | protein_length=622 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0527200.1-p1   -            622 999at5820            -            930   9.1e-16   55.7   6.0   2   2      0.03        11    2.4   0.3   874   927   524   582   503   585 0.72 | transcript=PVP01_0527200.1 | gene=PVP01_0527200 | organism=Plasmodium_vivax_P01 | gene_product=cdc2-related protein kinase 1, putative | transcript_product=cdc2-related protein kinase 1, putative | location=PvP01_05_v2:1113369-1115237(-) | protein_length=622 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0422000.1-p1   -           2125 999at5820            -            930     2e-13   47.9   3.1   1   2   5.2e-16     2e-13   47.9   3.1   715   873  1756  1911  1734  1925 0.79 | transcript=PVP01_0422000.1 | gene=PVP01_0422000 | organism=Plasmodium_vivax_P01 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=PvP01_04_v2:882364-888741(+) | protein_length=2125 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0422000.1-p1   -           2125 999at5820            -            930     2e-13   47.9   3.1   2   2       8.1   3.1e+03   -5.7   1.7   347   378  1976  2007  1972  2010 0.81 | transcript=PVP01_0422000.1 | gene=PVP01_0422000 | organism=Plasmodium_vivax_P01 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=PvP01_04_v2:882364-888741(+) | protein_length=2125 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
