#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0208100.1-p1   -           1225 2364at5820           -            889         0 1524.9  60.7   1   7  1.7e-135  5.7e-132  440.1   8.2     1   251     1   267     1   273 0.95 | transcript=PVP01_0208100.1 | gene=PVP01_0208100 | organism=Plasmodium_vivax_P01 | gene_product=small ribosomal subunit assembling AARP2 protein | transcript_product=small ribosomal subunit assembling AARP2 protein | location=PvP01_02_v2:337286-340963(-) | protein_length=1225 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0208100.1-p1   -           1225 2364at5820           -            889         0 1524.9  60.7   2   7   9.7e-52   3.2e-48  163.0   0.0   249   345   287   384   282   389 0.96 | transcript=PVP01_0208100.1 | gene=PVP01_0208100 | organism=Plasmodium_vivax_P01 | gene_product=small ribosomal subunit assembling AARP2 protein | transcript_product=small ribosomal subunit assembling AARP2 protein | location=PvP01_02_v2:337286-340963(-) | protein_length=1225 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0208100.1-p1   -           1225 2364at5820           -            889         0 1524.9  60.7   3   7   7.7e-07    0.0025   14.4   0.0   343   366   419   442   417   450 0.90 | transcript=PVP01_0208100.1 | gene=PVP01_0208100 | organism=Plasmodium_vivax_P01 | gene_product=small ribosomal subunit assembling AARP2 protein | transcript_product=small ribosomal subunit assembling AARP2 protein | location=PvP01_02_v2:337286-340963(-) | protein_length=1225 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0208100.1-p1   -           1225 2364at5820           -            889         0 1524.9  60.7   4   7   2.8e-18   9.1e-15   52.3   0.1   367   412   473   519   470   530 0.87 | transcript=PVP01_0208100.1 | gene=PVP01_0208100 | organism=Plasmodium_vivax_P01 | gene_product=small ribosomal subunit assembling AARP2 protein | transcript_product=small ribosomal subunit assembling AARP2 protein | location=PvP01_02_v2:337286-340963(-) | protein_length=1225 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0208100.1-p1   -           1225 2364at5820           -            889         0 1524.9  60.7   5   7   1.8e-19     6e-16   56.2   0.0   407   455   619   667   613   669 0.95 | transcript=PVP01_0208100.1 | gene=PVP01_0208100 | organism=Plasmodium_vivax_P01 | gene_product=small ribosomal subunit assembling AARP2 protein | transcript_product=small ribosomal subunit assembling AARP2 protein | location=PvP01_02_v2:337286-340963(-) | protein_length=1225 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0208100.1-p1   -           1225 2364at5820           -            889         0 1524.9  60.7   6   7   4.7e-18   1.5e-14   51.5   0.2   461   511   704   761   686   764 0.87 | transcript=PVP01_0208100.1 | gene=PVP01_0208100 | organism=Plasmodium_vivax_P01 | gene_product=small ribosomal subunit assembling AARP2 protein | transcript_product=small ribosomal subunit assembling AARP2 protein | location=PvP01_02_v2:337286-340963(-) | protein_length=1225 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0208100.1-p1   -           1225 2364at5820           -            889         0 1524.9  60.7   7   7    1e-230  3.3e-227  755.2  33.1   510   889   820  1218   814  1218 0.96 | transcript=PVP01_0208100.1 | gene=PVP01_0208100 | organism=Plasmodium_vivax_P01 | gene_product=small ribosomal subunit assembling AARP2 protein | transcript_product=small ribosomal subunit assembling AARP2 protein | location=PvP01_02_v2:337286-340963(-) | protein_length=1225 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1255100.1-p1   -            994 2364at5820           -            889     3e-20   70.4  34.2   1   3   1.3e-15   4.2e-12   43.5  15.7     7   299    13   310     7   324 0.67 | transcript=PVP01_1255100.1 | gene=PVP01_1255100 | organism=Plasmodium_vivax_P01 | gene_product=ribosome biogenesis protein TSR1, putative | transcript_product=ribosome biogenesis protein TSR1, putative | location=PvP01_12_v2:2255047-2258031(+) | protein_length=994 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1255100.1-p1   -            994 2364at5820           -            889     3e-20   70.4  34.2   2   3    0.0011       3.7    4.0   3.0   505   610   655   764   609   806 0.67 | transcript=PVP01_1255100.1 | gene=PVP01_1255100 | organism=Plasmodium_vivax_P01 | gene_product=ribosome biogenesis protein TSR1, putative | transcript_product=ribosome biogenesis protein TSR1, putative | location=PvP01_12_v2:2255047-2258031(+) | protein_length=994 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1255100.1-p1   -            994 2364at5820           -            889     3e-20   70.4  34.2   3   3     1e-12   3.4e-09   33.9   0.9   657   751   872   966   859   970 0.94 | transcript=PVP01_1255100.1 | gene=PVP01_1255100 | organism=Plasmodium_vivax_P01 | gene_product=ribosome biogenesis protein TSR1, putative | transcript_product=ribosome biogenesis protein TSR1, putative | location=PvP01_12_v2:2255047-2258031(+) | protein_length=994 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
