#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0906300.1-p1   -            167 12830at5820          -            150   1.3e-86  286.8  12.9   1   1   3.4e-89   1.5e-86  286.6  12.9     1   150    11   167    11   167 0.96 | transcript=PVP01_0906300.1 | gene=PVP01_0906300 | organism=Plasmodium_vivax_P01 | gene_product=centrin-4, putative | transcript_product=centrin-4, putative | location=PvP01_09_v2:359830-360606(+) | protein_length=167 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0207800.1-p1   -            168 12830at5820          -            150   9.1e-28   95.8   8.7   1   1   2.6e-30   1.1e-27   95.5   8.7     2   135    22   162    21   166 0.92 | transcript=PVP01_0207800.1 | gene=PVP01_0207800 | organism=Plasmodium_vivax_P01 | gene_product=centrin-1, putative | transcript_product=centrin-1, putative | location=PvP01_02_v2:328638-329949(-) | protein_length=168 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0612800.1-p1   -            179 12830at5820          -            150   8.7e-26   89.4   8.7   1   1   2.6e-28   1.1e-25   89.0   8.7     1   135    32   173    32   177 0.92 | transcript=PVP01_0612800.1 | gene=PVP01_0612800 | organism=Plasmodium_vivax_P01 | gene_product=centrin-3, putative | transcript_product=centrin-3, putative | location=PvP01_06_v2:553783-555183(-) | protein_length=179 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1260400.1-p1   -            168 12830at5820          -            150   2.7e-22   78.1   4.0   1   1   7.8e-25   3.4e-22   77.7   4.0     3   135    23   162    21   166 0.89 | transcript=PVP01_1260400.1 | gene=PVP01_1260400 | organism=Plasmodium_vivax_P01 | gene_product=centrin-2, putative | transcript_product=centrin-2, putative | location=PvP01_12_v2:2483484-2484244(+) | protein_length=168 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1315300.1-p1   -            149 12830at5820          -            150   1.6e-17   62.5   2.1   1   1   4.4e-20   1.9e-17   62.3   2.1     4   137     8   148     5   149 0.87 | transcript=PVP01_1315300.1 | gene=PVP01_1315300 | organism=Plasmodium_vivax_P01 | gene_product=calmodulin, putative | transcript_product=calmodulin, putative | location=PvP01_13_v2:705695-706693(+) | protein_length=149 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1143500.1-p1   -            158 12830at5820          -            150   3.5e-06   25.8   1.4   1   2      0.35   1.5e+02    1.0   1.1    45    94    26    76    15    89 0.62 | transcript=PVP01_1143500.1 | gene=PVP01_1143500 | organism=Plasmodium_vivax_P01 | gene_product=calcium-binding protein, putative | transcript_product=calcium-binding protein, putative | location=PvP01_11_v2:1852030-1852506(+) | protein_length=158 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1143500.1-p1   -            158 12830at5820          -            150   3.5e-06   25.8   1.4   2   2     8e-09   3.5e-06   25.8   1.4     8    67    94   153    82   158 0.87 | transcript=PVP01_1143500.1 | gene=PVP01_1143500 | organism=Plasmodium_vivax_P01 | gene_product=calcium-binding protein, putative | transcript_product=calcium-binding protein, putative | location=PvP01_11_v2:1852030-1852506(+) | protein_length=158 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0313300.1-p1   -            529 12830at5820          -            150   1.5e-05   23.7   6.8   1   3       2.6   1.1e+03   -1.9   0.0    42   102   292   351   276   363 0.65 | transcript=PVP01_0313300.1 | gene=PVP01_0313300 | organism=Plasmodium_vivax_P01 | gene_product=calcium-dependent protein kinase 4, putative | transcript_product=calcium-dependent protein kinase 4, putative | location=PvP01_03_v2:573121-574875(+) | protein_length=529 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0313300.1-p1   -            529 12830at5820          -            150   1.5e-05   23.7   6.8   2   3     0.027        12    4.6   0.2   108   148   379   421   352   423 0.70 | transcript=PVP01_0313300.1 | gene=PVP01_0313300 | organism=Plasmodium_vivax_P01 | gene_product=calcium-dependent protein kinase 4, putative | transcript_product=calcium-dependent protein kinase 4, putative | location=PvP01_03_v2:573121-574875(+) | protein_length=529 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0313300.1-p1   -            529 12830at5820          -            150   1.5e-05   23.7   6.8   3   3   1.1e-06   0.00046   18.9   5.5     6   137   379   525   375   529 0.71 | transcript=PVP01_0313300.1 | gene=PVP01_0313300 | organism=Plasmodium_vivax_P01 | gene_product=calcium-dependent protein kinase 4, putative | transcript_product=calcium-dependent protein kinase 4, putative | location=PvP01_03_v2:573121-574875(+) | protein_length=529 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1255300.1-p1   -            177 12830at5820          -            150   3.1e-05   22.7   5.6   1   1   1.8e-07   7.9e-05   21.4   5.6     7   135    28   164    22   175 0.73 | transcript=PVP01_1255300.1 | gene=PVP01_1255300 | organism=Plasmodium_vivax_P01 | gene_product=calcineurin subunit B, putative | transcript_product=calcineurin subunit B, putative | location=PvP01_12_v2:2267325-2268756(+) | protein_length=177 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
