#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0818400.1-p1   -           2588 551at5820            -           1377         0 1913.3 218.0   1  12   2.8e-09   4.6e-06   23.0   0.1    16    41   143   168   135   183 0.85 | transcript=PVP01_0818400.1 | gene=PVP01_0818400 | organism=Plasmodium_vivax_P01 | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=PvP01_08_v2:798700-806466(-) | protein_length=2588 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0818400.1-p1   -           2588 551at5820            -           1377         0 1913.3 218.0   2  12  7.5e-262  1.2e-258  859.9  45.8    46   524   406   931   399   936 0.93 | transcript=PVP01_0818400.1 | gene=PVP01_0818400 | organism=Plasmodium_vivax_P01 | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=PvP01_08_v2:798700-806466(-) | protein_length=2588 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0818400.1-p1   -           2588 551at5820            -           1377         0 1913.3 218.0   3  12     7e-17   1.1e-13   48.2   1.4   522   559   958   995   949  1011 0.90 | transcript=PVP01_0818400.1 | gene=PVP01_0818400 | organism=Plasmodium_vivax_P01 | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=PvP01_08_v2:798700-806466(-) | protein_length=2588 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0818400.1-p1   -           2588 551at5820            -           1377         0 1913.3 218.0   4  12  6.5e-126  1.1e-122  409.4  15.8   567   779  1110  1326  1053  1346 0.91 | transcript=PVP01_0818400.1 | gene=PVP01_0818400 | organism=Plasmodium_vivax_P01 | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=PvP01_08_v2:798700-806466(-) | protein_length=2588 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0818400.1-p1   -           2588 551at5820            -           1377         0 1913.3 218.0   5  12   9.5e-12   1.5e-08   31.2   5.6   774   816  1427  1470  1425  1487 0.83 | transcript=PVP01_0818400.1 | gene=PVP01_0818400 | organism=Plasmodium_vivax_P01 | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=PvP01_08_v2:798700-806466(-) | protein_length=2588 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0818400.1-p1   -           2588 551at5820            -           1377         0 1913.3 218.0   6  12   2.6e-18   4.2e-15   52.9   5.8   810   877  1499  1575  1488  1596 0.81 | transcript=PVP01_0818400.1 | gene=PVP01_0818400 | organism=Plasmodium_vivax_P01 | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=PvP01_08_v2:798700-806466(-) | protein_length=2588 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0818400.1-p1   -           2588 551at5820            -           1377         0 1913.3 218.0   7  12   7.2e-12   1.2e-08   31.6   1.4   883   933  1698  1748  1686  1762 0.82 | transcript=PVP01_0818400.1 | gene=PVP01_0818400 | organism=Plasmodium_vivax_P01 | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=PvP01_08_v2:798700-806466(-) | protein_length=2588 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0818400.1-p1   -           2588 551at5820            -           1377         0 1913.3 218.0   8  12    0.0051       8.2    2.3   0.3  1262  1313  1811  1861  1805  1866 0.68 | transcript=PVP01_0818400.1 | gene=PVP01_0818400 | organism=Plasmodium_vivax_P01 | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=PvP01_08_v2:798700-806466(-) | protein_length=2588 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0818400.1-p1   -           2588 551at5820            -           1377         0 1913.3 218.0   9  12   9.7e-39   1.6e-35  120.6   0.4   931  1030  1857  1957  1842  1963 0.92 | transcript=PVP01_0818400.1 | gene=PVP01_0818400 | organism=Plasmodium_vivax_P01 | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=PvP01_08_v2:798700-806466(-) | protein_length=2588 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0818400.1-p1   -           2588 551at5820            -           1377         0 1913.3 218.0  10  12   1.5e-10   2.5e-07   27.2   0.0  1039  1082  2099  2144  2094  2148 0.88 | transcript=PVP01_0818400.1 | gene=PVP01_0818400 | organism=Plasmodium_vivax_P01 | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=PvP01_08_v2:798700-806466(-) | protein_length=2588 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0818400.1-p1   -           2588 551at5820            -           1377         0 1913.3 218.0  11  12   3.7e-84   6.1e-81  271.1  16.5  1079  1248  2181  2352  2175  2385 0.92 | transcript=PVP01_0818400.1 | gene=PVP01_0818400 | organism=Plasmodium_vivax_P01 | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=PvP01_08_v2:798700-806466(-) | protein_length=2588 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0818400.1-p1   -           2588 551at5820            -           1377         0 1913.3 218.0  12  12   1.3e-24   2.2e-21   73.8  58.5  1242  1376  2388  2584  2355  2585 0.68 | transcript=PVP01_0818400.1 | gene=PVP01_0818400 | organism=Plasmodium_vivax_P01 | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=PvP01_08_v2:798700-806466(-) | protein_length=2588 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0837800.1-p1   -            595 551at5820            -           1377   3.7e-06   23.3   0.4   1   3         4   6.5e+03   -9.0  14.3   813   920    69   184    30   225 0.56 | transcript=PVP01_0837800.1 | gene=PVP01_0837800 | organism=Plasmodium_vivax_P01 | gene_product=pre-mRNA-splicing factor PRP46, putative | transcript_product=pre-mRNA-splicing factor PRP46, putative | location=PvP01_08_v2:1604414-1606417(+) | protein_length=595 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0837800.1-p1   -            595 551at5820            -           1377   3.7e-06   23.3   0.4   2   3   2.3e-09   3.7e-06   23.3   0.4   171   236   289   354   280   362 0.88 | transcript=PVP01_0837800.1 | gene=PVP01_0837800 | organism=Plasmodium_vivax_P01 | gene_product=pre-mRNA-splicing factor PRP46, putative | transcript_product=pre-mRNA-splicing factor PRP46, putative | location=PvP01_08_v2:1604414-1606417(+) | protein_length=595 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0837800.1-p1   -            595 551at5820            -           1377   3.7e-06   23.3   0.4   3   3    0.0027       4.4    3.2   0.1   177   232   421   475   380   536 0.84 | transcript=PVP01_0837800.1 | gene=PVP01_0837800 | organism=Plasmodium_vivax_P01 | gene_product=pre-mRNA-splicing factor PRP46, putative | transcript_product=pre-mRNA-splicing factor PRP46, putative | location=PvP01_08_v2:1604414-1606417(+) | protein_length=595 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0507600.1-p1   -            322 551at5820            -           1377     0.031   10.3   0.0   1   1   2.3e-05     0.038   10.0   0.0   157   238   150   233   127   273 0.83 | transcript=PVP01_0507600.1 | gene=PVP01_0507600 | organism=Plasmodium_vivax_P01 | gene_product=receptor for activated c kinase, putative | transcript_product=receptor for activated c kinase, putative | location=PvP01_05_v2:335035-336445(+) | protein_length=322 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1147800.1-p1   -            331 551at5820            -           1377       1.7    4.6  15.4   1   1    0.0013       2.1    4.2  15.4  1281  1368    67   150    22   160 0.62 | transcript=PVP01_1147800.1 | gene=PVP01_1147800 | organism=Plasmodium_vivax_P01 | gene_product=Plasmodium exported protein, unknown function | transcript_product=Plasmodium exported protein, unknown function | location=PvP01_11_v2:2049906-2051114(+) | protein_length=331 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/551at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/551at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/551at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:42:10 2026
# [ok]
