#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0315800.1-p1   -            330 12613at5820          -            173   1.9e-74  248.1  14.6   1   3   1.9e-74   6.8e-72  239.7  12.8     1   150    66   231    66   235 0.90 | transcript=PVP01_0315800.1 | gene=PVP01_0315800 | organism=Plasmodium_vivax_P01 | gene_product=pre-rRNA-processing protein ESF2, putative | transcript_product=pre-rRNA-processing protein ESF2, putative | location=PvP01_03_v2:698247-699239(-) | protein_length=330 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0315800.1-p1   -            330 12613at5820          -            173   1.9e-74  248.1  14.6   2   3       1.7   6.1e+02   -1.0   0.0   151   162   272   283   269   289 0.81 | transcript=PVP01_0315800.1 | gene=PVP01_0315800 | organism=Plasmodium_vivax_P01 | gene_product=pre-rRNA-processing protein ESF2, putative | transcript_product=pre-rRNA-processing protein ESF2, putative | location=PvP01_03_v2:698247-699239(-) | protein_length=330 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0315800.1-p1   -            330 12613at5820          -            173   1.9e-74  248.1  14.6   3   3      0.18        65    2.2   0.0   157   173   314   330   313   330 0.91 | transcript=PVP01_0315800.1 | gene=PVP01_0315800 | organism=Plasmodium_vivax_P01 | gene_product=pre-rRNA-processing protein ESF2, putative | transcript_product=pre-rRNA-processing protein ESF2, putative | location=PvP01_03_v2:698247-699239(-) | protein_length=330 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1442500.1-p1   -            885 12613at5820          -            173   5.6e-09   34.9   7.5   1   4   0.00053      0.19   10.4   0.0    24    94    18    86    12    94 0.84 | transcript=PVP01_1442500.1 | gene=PVP01_1442500 | organism=Plasmodium_vivax_P01 | gene_product=polyadenylate-binding protein 1, putative | transcript_product=polyadenylate-binding protein 1, putative | location=PvP01_14_v2:1852026-1854683(+) | protein_length=885 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1442500.1-p1   -            885 12613at5820          -            173   5.6e-09   34.9   7.5   2   4      0.13        47    2.6   0.1    19    93   101   172    89   180 0.80 | transcript=PVP01_1442500.1 | gene=PVP01_1442500 | organism=Plasmodium_vivax_P01 | gene_product=polyadenylate-binding protein 1, putative | transcript_product=polyadenylate-binding protein 1, putative | location=PvP01_14_v2:1852026-1854683(+) | protein_length=885 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1442500.1-p1   -            885 12613at5820          -            173   5.6e-09   34.9   7.5   3   4   0.00014     0.049   12.3   0.1    17    91   188   257   179   262 0.85 | transcript=PVP01_1442500.1 | gene=PVP01_1442500 | organism=Plasmodium_vivax_P01 | gene_product=polyadenylate-binding protein 1, putative | transcript_product=polyadenylate-binding protein 1, putative | location=PvP01_14_v2:1852026-1854683(+) | protein_length=885 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1442500.1-p1   -            885 12613at5820          -            173   5.6e-09   34.9   7.5   4   4   0.00032      0.12   11.1   0.1    19    93   445   517   433   526 0.82 | transcript=PVP01_1442500.1 | gene=PVP01_1442500 | organism=Plasmodium_vivax_P01 | gene_product=polyadenylate-binding protein 1, putative | transcript_product=polyadenylate-binding protein 1, putative | location=PvP01_14_v2:1852026-1854683(+) | protein_length=885 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1112500.1-p1   -            513 12613at5820          -            173   1.8e-06   26.8   0.2   1   3   0.00068      0.25   10.0   0.0    25    89    91   153    87   157 0.91 | transcript=PVP01_1112500.1 | gene=PVP01_1112500 | organism=Plasmodium_vivax_P01 | gene_product=CUGBP Elav-like family member 1, putative | transcript_product=CUGBP Elav-like family member 1, putative | location=PvP01_11_v2:536358-538080(+) | protein_length=513 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1112500.1-p1   -            513 12613at5820          -            173   1.8e-06   26.8   0.2   2   3   5.9e-05     0.021   13.5   0.0    24    88   189   251   181   265 0.81 | transcript=PVP01_1112500.1 | gene=PVP01_1112500 | organism=Plasmodium_vivax_P01 | gene_product=CUGBP Elav-like family member 1, putative | transcript_product=CUGBP Elav-like family member 1, putative | location=PvP01_11_v2:536358-538080(+) | protein_length=513 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1112500.1-p1   -            513 12613at5820          -            173   1.8e-06   26.8   0.2   3   3       4.2   1.5e+03   -2.3   0.0    22    57   414   451   376   472 0.56 | transcript=PVP01_1112500.1 | gene=PVP01_1112500 | organism=Plasmodium_vivax_P01 | gene_product=CUGBP Elav-like family member 1, putative | transcript_product=CUGBP Elav-like family member 1, putative | location=PvP01_11_v2:536358-538080(+) | protein_length=513 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1339100.1-p1   -            503 12613at5820          -            173   4.5e-06   25.5   8.4   1   3   0.00052      0.19   10.4   0.1    24    80    84   138    65   151 0.78 | transcript=PVP01_1339100.1 | gene=PVP01_1339100 | organism=Plasmodium_vivax_P01 | gene_product=CUGBP Elav-like family member 2, putative | transcript_product=CUGBP Elav-like family member 2, putative | location=PvP01_13_v2:1701554-1703065(-) | protein_length=503 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
