#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1241000.1-p1   -           6376 17at5820             -           4792         0 9054.8 780.0   1  13         0         0 2378.0 212.6     1  1268     4  1330     4  1339 0.97 | transcript=PVP01_1241000.1 | gene=PVP01_1241000 | organism=Plasmodium_vivax_P01 | gene_product=dynein beta chain, putative | transcript_product=dynein beta chain, putative | location=PvP01_12_v2:1654365-1674545(-) | protein_length=6376 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1241000.1-p1   -           6376 17at5820             -           4792         0 9054.8 780.0   2  13  1.5e-185  1.7e-182  607.1  56.4  1266  1589  1393  1726  1385  1754 0.95 | transcript=PVP01_1241000.1 | gene=PVP01_1241000 | organism=Plasmodium_vivax_P01 | gene_product=dynein beta chain, putative | transcript_product=dynein beta chain, putative | location=PvP01_12_v2:1654365-1674545(-) | protein_length=6376 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1241000.1-p1   -           6376 17at5820             -           4792         0 9054.8 780.0   3  13  1.2e-105  1.3e-102  341.9  26.2  1572  1757  1774  1959  1757  1970 0.95 | transcript=PVP01_1241000.1 | gene=PVP01_1241000 | organism=Plasmodium_vivax_P01 | gene_product=dynein beta chain, putative | transcript_product=dynein beta chain, putative | location=PvP01_12_v2:1654365-1674545(-) | protein_length=6376 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1241000.1-p1   -           6376 17at5820             -           4792         0 9054.8 780.0   4  13  8.4e-109  9.2e-106  352.3  10.8  1749  1927  2244  2432  2239  2471 0.94 | transcript=PVP01_1241000.1 | gene=PVP01_1241000 | organism=Plasmodium_vivax_P01 | gene_product=dynein beta chain, putative | transcript_product=dynein beta chain, putative | location=PvP01_12_v2:1654365-1674545(-) | protein_length=6376 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1241000.1-p1   -           6376 17at5820             -           4792         0 9054.8 780.0   5  13  6.3e-136  6.9e-133  442.4  29.7  1921  2149  2562  2793  2556  2855 0.95 | transcript=PVP01_1241000.1 | gene=PVP01_1241000 | organism=Plasmodium_vivax_P01 | gene_product=dynein beta chain, putative | transcript_product=dynein beta chain, putative | location=PvP01_12_v2:1654365-1674545(-) | protein_length=6376 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1241000.1-p1   -           6376 17at5820             -           4792         0 9054.8 780.0   6  13         0         0 1077.9 122.7  2146  2746  2861  3545  2849  3580 0.91 | transcript=PVP01_1241000.1 | gene=PVP01_1241000 | organism=Plasmodium_vivax_P01 | gene_product=dynein beta chain, putative | transcript_product=dynein beta chain, putative | location=PvP01_12_v2:1654365-1674545(-) | protein_length=6376 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1241000.1-p1   -           6376 17at5820             -           4792         0 9054.8 780.0   7  13  1.3e-162  1.5e-159  530.9  34.1  2753  3012  3600  3859  3587  3865 0.98 | transcript=PVP01_1241000.1 | gene=PVP01_1241000 | organism=Plasmodium_vivax_P01 | gene_product=dynein beta chain, putative | transcript_product=dynein beta chain, putative | location=PvP01_12_v2:1654365-1674545(-) | protein_length=6376 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1241000.1-p1   -           6376 17at5820             -           4792         0 9054.8 780.0   8  13   4.6e-52     5e-49  164.0   5.5  3010  3102  3964  4058  3956  4064 0.91 | transcript=PVP01_1241000.1 | gene=PVP01_1241000 | organism=Plasmodium_vivax_P01 | gene_product=dynein beta chain, putative | transcript_product=dynein beta chain, putative | location=PvP01_12_v2:1654365-1674545(-) | protein_length=6376 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1241000.1-p1   -           6376 17at5820             -           4792         0 9054.8 780.0   9  13   5.1e-95   5.5e-92  306.6  32.7  3100  3277  4180  4362  4175  4417 0.91 | transcript=PVP01_1241000.1 | gene=PVP01_1241000 | organism=Plasmodium_vivax_P01 | gene_product=dynein beta chain, putative | transcript_product=dynein beta chain, putative | location=PvP01_12_v2:1654365-1674545(-) | protein_length=6376 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1241000.1-p1   -           6376 17at5820             -           4792         0 9054.8 780.0  10  13         0         0 1101.2  61.8  3273  3822  4450  5015  4407  5023 0.94 | transcript=PVP01_1241000.1 | gene=PVP01_1241000 | organism=Plasmodium_vivax_P01 | gene_product=dynein beta chain, putative | transcript_product=dynein beta chain, putative | location=PvP01_12_v2:1654365-1674545(-) | protein_length=6376 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1241000.1-p1   -           6376 17at5820             -           4792         0 9054.8 780.0  11  13  1.5e-140  1.6e-137  457.7  32.7  3820  4074  5060  5325  5056  5343 0.95 | transcript=PVP01_1241000.1 | gene=PVP01_1241000 | organism=Plasmodium_vivax_P01 | gene_product=dynein beta chain, putative | transcript_product=dynein beta chain, putative | location=PvP01_12_v2:1654365-1674545(-) | protein_length=6376 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1241000.1-p1   -           6376 17at5820             -           4792         0 9054.8 780.0  12  13  6.3e-119  6.8e-116  386.0  18.8  4084  4285  5550  5751  5522  5755 0.94 | transcript=PVP01_1241000.1 | gene=PVP01_1241000 | organism=Plasmodium_vivax_P01 | gene_product=dynein beta chain, putative | transcript_product=dynein beta chain, putative | location=PvP01_12_v2:1654365-1674545(-) | protein_length=6376 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1241000.1-p1   -           6376 17at5820             -           4792         0 9054.8 780.0  13  13  4.5e-297  4.9e-294  977.3  41.8  4289  4792  5854  6375  5844  6375 0.97 | transcript=PVP01_1241000.1 | gene=PVP01_1241000 | organism=Plasmodium_vivax_P01 | gene_product=dynein beta chain, putative | transcript_product=dynein beta chain, putative | location=PvP01_12_v2:1654365-1674545(-) | protein_length=6376 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
