#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0411800.1-p1   -            328 9149at5820           -            300  3.3e-190  629.3  13.8   1   1  1.6e-191  4.2e-189  625.7  13.8     1   300     4   328     4   328 0.97 | transcript=PVP01_0411800.1 | gene=PVP01_0411800 | organism=Plasmodium_vivax_P01 | gene_product=protein SIS1, putative | transcript_product=protein SIS1, putative | location=PvP01_04_v2:474978-476353(-) | protein_length=328 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1271300.1-p1   -            406 9149at5820           -            300  2.1e-138  459.2   5.1   1   1  1.3e-140  3.5e-138  458.5   5.1     1   300    82   406    82   406 0.93 | transcript=PVP01_1271300.1 | gene=PVP01_1271300 | organism=Plasmodium_vivax_P01 | gene_product=40 kDa heat shock protein, putative | transcript_product=40 kDa heat shock protein, putative | location=PvP01_12_v2:3014790-3016631(+) | protein_length=406 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0217000.1-p1   -            420 9149at5820           -            300   6.3e-86  286.9   2.7   1   1   8.1e-88   2.1e-85  285.2   2.7     1   298    85   418    85   419 0.87 | transcript=PVP01_0217000.1 | gene=PVP01_0217000 | organism=Plasmodium_vivax_P01 | gene_product=heat shock protein, putative, DnaJ domain containing protein | transcript_product=heat shock protein, putative | location=PvP01_02_v2:734503-736528(-) | protein_length=420 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1311600.1-p1   -            421 9149at5820           -            300   1.1e-33  115.4   9.0   1   3   3.8e-24   9.8e-22   76.2   0.7     2    78    28    98    27   108 0.90 | transcript=PVP01_1311600.1 | gene=PVP01_1311600 | organism=Plasmodium_vivax_P01 | gene_product=HSP40, subfamily A, putative | transcript_product=HSP40, subfamily A, putative | location=PvP01_13_v2:535292-537122(-) | protein_length=421 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1311600.1-p1   -            421 9149at5820           -            300   1.1e-33  115.4   9.0   2   3    0.0045       1.2    7.0   0.1   120   158   110   148    97   180 0.72 | transcript=PVP01_1311600.1 | gene=PVP01_1311600 | organism=Plasmodium_vivax_P01 | gene_product=HSP40, subfamily A, putative | transcript_product=HSP40, subfamily A, putative | location=PvP01_13_v2:535292-537122(-) | protein_length=421 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1311600.1-p1   -            421 9149at5820           -            300   1.1e-33  115.4   9.0   3   3   2.8e-12   7.3e-10   37.2   0.5   140   293   187   357   163   363 0.76 | transcript=PVP01_1311600.1 | gene=PVP01_1311600 | organism=Plasmodium_vivax_P01 | gene_product=HSP40, subfamily A, putative | transcript_product=HSP40, subfamily A, putative | location=PvP01_13_v2:535292-537122(-) | protein_length=421 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1120300.1-p1   -            380 9149at5820           -            300   9.7e-29   99.2  12.2   1   2     4e-20     1e-17   62.9   3.6     2   102    47   140    46   194 0.82 | transcript=PVP01_1120300.1 | gene=PVP01_1120300 | organism=Plasmodium_vivax_P01 | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=PvP01_11_v2:881735-882877(+) | protein_length=380 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1120300.1-p1   -            380 9149at5820           -            300   9.7e-29   99.2  12.2   2   2   1.8e-13   4.7e-11   41.1   1.4   169   294   246   378   222   380 0.84 | transcript=PVP01_1120300.1 | gene=PVP01_1120300 | organism=Plasmodium_vivax_P01 | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=PvP01_11_v2:881735-882877(+) | protein_length=380 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1310600.1-p1   -            245 9149at5820           -            300   3.5e-20   71.1   0.7   1   2   1.3e-22   3.5e-20   71.1   0.7     1   109     6   118     6   136 0.78 | transcript=PVP01_1310600.1 | gene=PVP01_1310600 | organism=Plasmodium_vivax_P01 | gene_product=DnaJ domain containing protein | transcript_product=DnaJ domain containing protein | location=PvP01_13_v2:490903-492520(+) | protein_length=245 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1310600.1-p1   -            245 9149at5820           -            300   3.5e-20   71.1   0.7   2   2       2.7     7e+02   -2.2   0.3    95   115   140   160   118   182 0.76 | transcript=PVP01_1310600.1 | gene=PVP01_1310600 | organism=Plasmodium_vivax_P01 | gene_product=DnaJ domain containing protein | transcript_product=DnaJ domain containing protein | location=PvP01_13_v2:490903-492520(+) | protein_length=245 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0308700.1-p1   -            649 9149at5820           -            300   4.2e-18   64.2   2.1   1   2   7.2e-16   1.9e-13   49.0   0.5     1   161    79   229    79   236 0.76 | transcript=PVP01_0308700.1 | gene=PVP01_0308700 | organism=Plasmodium_vivax_P01 | gene_product=chaperone protein DnaJ, putative | transcript_product=chaperone protein DnaJ, putative | location=PvP01_03_v2:414818-416767(+) | protein_length=649 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
