#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0915900.1-p1   -            792 4929at5820           -            584         0 1088.2  79.7   1   3   3.3e-22   3.6e-19   67.1  32.8     1   137     1   213     1   224 0.73 | transcript=PVP01_0915900.1 | gene=PVP01_0915900 | organism=Plasmodium_vivax_P01 | gene_product=histone-lysine N-methyltransferase SET7, putative | transcript_product=histone-lysine N-methyltransferase SET7, putative | location=PvP01_09_v2:717670-721242(+) | protein_length=792 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0915900.1-p1   -            792 4929at5820           -            584         0 1088.2  79.7   2   3         6   6.5e+03   -7.3  20.8    88   150   206   266   201   297 0.56 | transcript=PVP01_0915900.1 | gene=PVP01_0915900 | organism=Plasmodium_vivax_P01 | gene_product=histone-lysine N-methyltransferase SET7, putative | transcript_product=histone-lysine N-methyltransferase SET7, putative | location=PvP01_09_v2:717670-721242(+) | protein_length=792 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0915900.1-p1   -            792 4929at5820           -            584         0 1088.2  79.7   3   3         0         0 1032.6  21.1   103   584   312   792   288   792 0.95 | transcript=PVP01_0915900.1 | gene=PVP01_0915900 | organism=Plasmodium_vivax_P01 | gene_product=histone-lysine N-methyltransferase SET7, putative | transcript_product=histone-lysine N-methyltransferase SET7, putative | location=PvP01_09_v2:717670-721242(+) | protein_length=792 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0708500.1-p1   -           1074 4929at5820           -            584   6.2e-14   49.8   6.8   1   2   9.2e-07     0.001   16.1   0.4   155   207   394   446   352   455 0.75 | transcript=PVP01_0708500.1 | gene=PVP01_0708500 | organism=Plasmodium_vivax_P01 | gene_product=histone-lysine N-methyltransferase SET4, putative | transcript_product=histone-lysine N-methyltransferase SET4, putative | location=PvP01_07_v2:432272-435496(-) | protein_length=1074 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0708500.1-p1   -           1074 4929at5820           -            584   6.2e-14   49.8   6.8   2   2   6.6e-13   7.2e-10   36.4   1.3   285   387   556   657   524   663 0.85 | transcript=PVP01_0708500.1 | gene=PVP01_0708500 | organism=Plasmodium_vivax_P01 | gene_product=histone-lysine N-methyltransferase SET4, putative | transcript_product=histone-lysine N-methyltransferase SET4, putative | location=PvP01_07_v2:432272-435496(-) | protein_length=1074 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1025900.1-p1   -           1545 4929at5820           -            584   1.5e-08   32.1   2.2   1   2     0.067        73    0.0   0.1   157   182   227   252   222   387 0.84 | transcript=PVP01_1025900.1 | gene=PVP01_1025900 | organism=Plasmodium_vivax_P01 | gene_product=SET domain protein, putative | transcript_product=SET domain protein, putative | location=PvP01_10_v2:1129117-1133754(-) | protein_length=1545 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1025900.1-p1   -           1545 4929at5820           -            584   1.5e-08   32.1   2.2   2   2     4e-11   4.3e-08   30.5   0.5   296   390   434   530   408   540 0.89 | transcript=PVP01_1025900.1 | gene=PVP01_1025900 | organism=Plasmodium_vivax_P01 | gene_product=SET domain protein, putative | transcript_product=SET domain protein, putative | location=PvP01_10_v2:1129117-1133754(-) | protein_length=1545 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0731600.1-p1   -            264 4929at5820           -            584      0.41    7.5  17.4   1   1   0.00053      0.57    7.0  17.4    36   142    77   181    57   241 0.38 | transcript=PVP01_0731600.1 | gene=PVP01_0731600 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_07_v2:1327085-1327879(-) | protein_length=264 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1024700.1-p1   -            143 4929at5820           -            584       1.1    6.1  12.4   1   1   0.00094         1    6.2  12.4    63   148    38   126     7   143 0.49 | transcript=PVP01_1024700.1 | gene=PVP01_1024700 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_10_v2:1078491-1079181(+) | protein_length=143 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0620500.1-p1   -            435 4929at5820           -            584       4.6    4.0  15.1   1   1    0.0059       6.4    3.5  15.1    78   149   256   336   212   353 0.48 | transcript=PVP01_0620500.1 | gene=PVP01_0620500 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_06_v2:831839-833146(+) | protein_length=435 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/4929at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/4929at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/4929at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:39:41 2026
# [ok]
