#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0408600.1-p1   -            715 3576at5820           -            580         0 1081.1  59.8   1   2    5e-101   1.1e-97  326.8  20.9     1   169     1   179     1   185 0.96 | transcript=PVP01_0408600.1 | gene=PVP01_0408600 | organism=Plasmodium_vivax_P01 | gene_product=vacuolar protein sorting-associated protein 45, putative | transcript_product=vacuolar protein sorting-associated protein 45, putative | location=PvP01_04_v2:350897-353044(-) | protein_length=715 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0408600.1-p1   -            715 3576at5820           -            580         0 1081.1  59.8   2   2  1.7e-231  3.7e-228  757.6  31.0   176   580   273   714   255   714 0.94 | transcript=PVP01_0408600.1 | gene=PVP01_0408600 | organism=Plasmodium_vivax_P01 | gene_product=vacuolar protein sorting-associated protein 45, putative | transcript_product=vacuolar protein sorting-associated protein 45, putative | location=PvP01_04_v2:350897-353044(-) | protein_length=715 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0619100.1-p1   -            657 3576at5820           -            580   2.4e-14   51.6  19.0   1   3   8.1e-16   1.8e-12   45.5   8.2    86   297    83   285    38   288 0.80 | transcript=PVP01_0619100.1 | gene=PVP01_0619100 | organism=Plasmodium_vivax_P01 | gene_product=Sec1 family protein, putative | transcript_product=Sec1 family protein, putative | location=PvP01_06_v2:784912-786885(-) | protein_length=657 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0619100.1-p1   -            657 3576at5820           -            580   2.4e-14   51.6  19.0   2   3      0.24   5.1e+02   -2.3   0.5   365   455   395   489   380   521 0.59 | transcript=PVP01_0619100.1 | gene=PVP01_0619100 | organism=Plasmodium_vivax_P01 | gene_product=Sec1 family protein, putative | transcript_product=Sec1 family protein, putative | location=PvP01_06_v2:784912-786885(-) | protein_length=657 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0619100.1-p1   -            657 3576at5820           -            580   2.4e-14   51.6  19.0   3   3   4.5e-06    0.0097   13.3   0.1   527   573   600   646   593   651 0.89 | transcript=PVP01_0619100.1 | gene=PVP01_0619100 | organism=Plasmodium_vivax_P01 | gene_product=Sec1 family protein, putative | transcript_product=Sec1 family protein, putative | location=PvP01_06_v2:784912-786885(-) | protein_length=657 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1135400.1-p1   -            654 3576at5820           -            580   0.00061   17.3  12.7   1   4     0.029        63    0.7   0.0    23    76    18    72     5    88 0.76 | transcript=PVP01_1135400.1 | gene=PVP01_1135400 | organism=Plasmodium_vivax_P01 | gene_product=syntaxin-binding protein, putative | transcript_product=syntaxin-binding protein, putative | location=PvP01_11_v2:1521915-1523879(+) | protein_length=654 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1135400.1-p1   -            654 3576at5820           -            580   0.00061   17.3  12.7   2   4    0.0019         4    4.6   0.2   243   289   205   251   132   261 0.86 | transcript=PVP01_1135400.1 | gene=PVP01_1135400 | organism=Plasmodium_vivax_P01 | gene_product=syntaxin-binding protein, putative | transcript_product=syntaxin-binding protein, putative | location=PvP01_11_v2:1521915-1523879(+) | protein_length=654 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1135400.1-p1   -            654 3576at5820           -            580   0.00061   17.3  12.7   3   4      0.02        43    1.3   3.1   307   434   312   452   291   467 0.66 | transcript=PVP01_1135400.1 | gene=PVP01_1135400 | organism=Plasmodium_vivax_P01 | gene_product=syntaxin-binding protein, putative | transcript_product=syntaxin-binding protein, putative | location=PvP01_11_v2:1521915-1523879(+) | protein_length=654 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1135400.1-p1   -            654 3576at5820           -            580   0.00061   17.3  12.7   4   4   7.2e-06     0.016   12.6   0.0   529   570   602   643   593   649 0.90 | transcript=PVP01_1135400.1 | gene=PVP01_1135400 | organism=Plasmodium_vivax_P01 | gene_product=syntaxin-binding protein, putative | transcript_product=syntaxin-binding protein, putative | location=PvP01_11_v2:1521915-1523879(+) | protein_length=654 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3576at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/3576at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3576at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:37:30 2026
# [ok]
