#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1429200.1-p1   -            606 5840at5820           -            458  9.4e-239  791.3  63.3   1   3   6.5e-70   6.1e-67  224.9   7.3     1   135     1   140     1   150 0.91 | transcript=PVP01_1429200.1 | gene=PVP01_1429200 | organism=Plasmodium_vivax_P01 | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=PvP01_14_v2:1259368-1261188(+) | protein_length=606 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1429200.1-p1   -            606 5840at5820           -            458  9.4e-239  791.3  63.3   2   3   3.6e-38   3.4e-35  120.2   3.6   138   201   241   304   226   317 0.91 | transcript=PVP01_1429200.1 | gene=PVP01_1429200 | organism=Plasmodium_vivax_P01 | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=PvP01_14_v2:1259368-1261188(+) | protein_length=606 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1429200.1-p1   -            606 5840at5820           -            458  9.4e-239  791.3  63.3   3   3  9.2e-141  8.6e-138  458.5  36.5   198   457   331   601   324   602 0.96 | transcript=PVP01_1429200.1 | gene=PVP01_1429200 | organism=Plasmodium_vivax_P01 | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=PvP01_14_v2:1259368-1261188(+) | protein_length=606 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0707300.1-p1   -            515 5840at5820           -            458   1.3e-13   49.1  15.4   1   3    0.0044       4.1    4.6   0.1   315   356   128   171    90   181 0.82 | transcript=PVP01_0707300.1 | gene=PVP01_0707300 | organism=Plasmodium_vivax_P01 | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=PvP01_07_v2:386494-388230(+) | protein_length=515 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0707300.1-p1   -            515 5840at5820           -            458   1.3e-13   49.1  15.4   2   3   1.1e-12   1.1e-09   36.2   2.1   375   454   215   296   194   299 0.88 | transcript=PVP01_0707300.1 | gene=PVP01_0707300 | organism=Plasmodium_vivax_P01 | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=PvP01_07_v2:386494-388230(+) | protein_length=515 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0707300.1-p1   -            515 5840at5820           -            458   1.3e-13   49.1  15.4   3   3   1.9e-06    0.0018   15.7   2.0   376   454   414   505   391   509 0.72 | transcript=PVP01_0707300.1 | gene=PVP01_0707300 | organism=Plasmodium_vivax_P01 | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=PvP01_07_v2:386494-388230(+) | protein_length=515 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0510400.1-p1   -            318 5840at5820           -            458   5.2e-09   33.9   2.8   1   2   1.1e-06    0.0011   16.4   0.0   365   442    20   101     7   116 0.82 | transcript=PVP01_0510400.1 | gene=PVP01_0510400 | organism=Plasmodium_vivax_P01 | gene_product=dicarboxylate/tricarboxylate carrier, putative | transcript_product=dicarboxylate/tricarboxylate carrier, putative | location=PvP01_05_v2:456141-457097(-) | protein_length=318 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0510400.1-p1   -            318 5840at5820           -            458   5.2e-09   33.9   2.8   2   2   8.6e-06     0.008   13.5   2.2   308   456   167   312   153   313 0.73 | transcript=PVP01_0510400.1 | gene=PVP01_0510400 | organism=Plasmodium_vivax_P01 | gene_product=dicarboxylate/tricarboxylate carrier, putative | transcript_product=dicarboxylate/tricarboxylate carrier, putative | location=PvP01_05_v2:456141-457097(-) | protein_length=318 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0206600.1-p1   -            332 5840at5820           -            458   8.9e-09   33.2   5.6   1   4   0.00021       0.2    8.9   0.0    43    70    25    53     4    57 0.75 | transcript=PVP01_0206600.1 | gene=PVP01_0206600 | organism=Plasmodium_vivax_P01 | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=PvP01_02_v2:270539-272799(+) | protein_length=332 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0206600.1-p1   -            332 5840at5820           -            458   8.9e-09   33.2   5.6   2   4   3.8e-07   0.00035   18.0   2.9   322   450    88   225    75   228 0.76 | transcript=PVP01_0206600.1 | gene=PVP01_0206600 | organism=Plasmodium_vivax_P01 | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=PvP01_02_v2:270539-272799(+) | protein_length=332 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0206600.1-p1   -            332 5840at5820           -            458   8.9e-09   33.2   5.6   3   4   1.5e-07   0.00014   19.4   1.3    52   155   158   260   138   271 0.73 | transcript=PVP01_0206600.1 | gene=PVP01_0206600 | organism=Plasmodium_vivax_P01 | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=PvP01_02_v2:270539-272799(+) | protein_length=332 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
