#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1326700.1-p1   -            383 11338at5820          -            249  1.1e-100  334.7  36.9   1   4   1.2e-28     1e-25   89.1   0.1     3    53     1    51     1    57 0.95 | transcript=PVP01_1326700.1 | gene=PVP01_1326700 | organism=Plasmodium_vivax_P01 | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=PvP01_13_v2:1159478-1160629(+) | protein_length=383 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1326700.1-p1   -            383 11338at5820          -            249  1.1e-100  334.7  36.9   2   4   1.6e-28   1.3e-25   88.8   4.2    48   126    78   166    75   171 0.83 | transcript=PVP01_1326700.1 | gene=PVP01_1326700 | organism=Plasmodium_vivax_P01 | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=PvP01_13_v2:1159478-1160629(+) | protein_length=383 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1326700.1-p1   -            383 11338at5820          -            249  1.1e-100  334.7  36.9   3   4   2.7e-44   2.2e-41  140.4  16.2   104   228   195   342   188   348 0.82 | transcript=PVP01_1326700.1 | gene=PVP01_1326700 | organism=Plasmodium_vivax_P01 | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=PvP01_13_v2:1159478-1160629(+) | protein_length=383 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1326700.1-p1   -            383 11338at5820          -            249  1.1e-100  334.7  36.9   4   4   6.5e-07   0.00053   18.0   0.2   228   249   361   382   356   382 0.89 | transcript=PVP01_1326700.1 | gene=PVP01_1326700 | organism=Plasmodium_vivax_P01 | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=PvP01_13_v2:1159478-1160629(+) | protein_length=383 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0411800.1-p1   -            328 11338at5820          -            249   1.1e-07   30.1   0.4   1   1   2.5e-10     2e-07   29.2   0.4    11    81     1    74     1    82 0.80 | transcript=PVP01_0411800.1 | gene=PVP01_0411800 | organism=Plasmodium_vivax_P01 | gene_product=protein SIS1, putative | transcript_product=protein SIS1, putative | location=PvP01_04_v2:474978-476353(-) | protein_length=328 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1311600.1-p1   -            421 11338at5820          -            249   5.7e-07   27.7   0.5   1   2     7e-10   5.7e-07   27.7   0.5    10    81    23    90    19   104 0.84 | transcript=PVP01_1311600.1 | gene=PVP01_1311600 | organism=Plasmodium_vivax_P01 | gene_product=HSP40, subfamily A, putative | transcript_product=HSP40, subfamily A, putative | location=PvP01_13_v2:535292-537122(-) | protein_length=421 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1311600.1-p1   -            421 11338at5820          -            249   5.7e-07   27.7   0.5   2   2       1.1   9.1e+02   -2.4   2.0    95   130   352   365   329   407 0.51 | transcript=PVP01_1311600.1 | gene=PVP01_1311600 | organism=Plasmodium_vivax_P01 | gene_product=HSP40, subfamily A, putative | transcript_product=HSP40, subfamily A, putative | location=PvP01_13_v2:535292-537122(-) | protein_length=421 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1310600.1-p1   -            245 11338at5820          -            249   2.4e-05   22.4   0.2   1   1   4.2e-08   3.5e-05   21.9   0.2    33    80    20    73     6    90 0.83 | transcript=PVP01_1310600.1 | gene=PVP01_1310600 | organism=Plasmodium_vivax_P01 | gene_product=DnaJ domain containing protein | transcript_product=DnaJ domain containing protein | location=PvP01_13_v2:490903-492520(+) | protein_length=245 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1271300.1-p1   -            406 11338at5820          -            249   2.6e-05   22.3   0.1   1   1   6.1e-08     5e-05   21.4   0.1    12    88    80   159    73   166 0.75 | transcript=PVP01_1271300.1 | gene=PVP01_1271300 | organism=Plasmodium_vivax_P01 | gene_product=40 kDa heat shock protein, putative | transcript_product=40 kDa heat shock protein, putative | location=PvP01_12_v2:3014790-3016631(+) | protein_length=406 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0217000.1-p1   -            420 11338at5820          -            249   2.6e-05   22.3   3.5   1   1   5.5e-08   4.5e-05   21.5   3.5    14   126    85   200    81   226 0.75 | transcript=PVP01_0217000.1 | gene=PVP01_0217000 | organism=Plasmodium_vivax_P01 | gene_product=heat shock protein, putative, DnaJ domain containing protein | transcript_product=heat shock protein, putative | location=PvP01_02_v2:734503-736528(-) | protein_length=420 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0717500.1-p1   -            378 11338at5820          -            249   0.00022   19.2   0.1   1   2   2.7e-07   0.00022   19.2   0.1    30    79    64   117    55   130 0.81 | transcript=PVP01_0717500.1 | gene=PVP01_0717500 | organism=Plasmodium_vivax_P01 | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=PvP01_07_v2:780474-782408(+) | protein_length=378 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
