#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0733700.1-p1   -            192 12097at5820          -            172     6e-98  324.3   4.1   1   1  2.9e-100   1.2e-97  323.4   4.1     1   172     1   190     1   190 0.95 | transcript=PVP01_0733700.1 | gene=PVP01_0733700 | organism=Plasmodium_vivax_P01 | gene_product=U2 small nuclear ribonucleoprotein B'', putative | transcript_product=U2 small nuclear ribonucleoprotein B'', putative | location=PvP01_07_v2:1381870-1382448(-) | protein_length=192 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1407800.1-p1   -            505 12097at5820          -            172     1e-34  118.5   7.1   1   2   1.7e-25   6.7e-23   80.0   0.6     5   106   222   324   218   358 0.87 | transcript=PVP01_1407800.1 | gene=PVP01_1407800 | organism=Plasmodium_vivax_P01 | gene_product=U1 small nuclear ribonucleoprotein A, putative | transcript_product=U1 small nuclear ribonucleoprotein A, putative | location=PvP01_14_v2:373119-374956(+) | protein_length=505 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1407800.1-p1   -            505 12097at5820          -            172     1e-34  118.5   7.1   2   2   8.7e-14   3.5e-11   41.8   0.7   107   171   433   501   381   502 0.86 | transcript=PVP01_1407800.1 | gene=PVP01_1407800 | organism=Plasmodium_vivax_P01 | gene_product=U1 small nuclear ribonucleoprotein A, putative | transcript_product=U1 small nuclear ribonucleoprotein A, putative | location=PvP01_14_v2:373119-374956(+) | protein_length=505 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1112500.1-p1   -            513 12097at5820          -            172   1.3e-12   46.5   0.5   1   3     0.022       8.8    4.7   0.1    25   121   103   201    83   204 0.71 | transcript=PVP01_1112500.1 | gene=PVP01_1112500 | organism=Plasmodium_vivax_P01 | gene_product=CUGBP Elav-like family member 1, putative | transcript_product=CUGBP Elav-like family member 1, putative | location=PvP01_11_v2:536358-538080(+) | protein_length=513 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1112500.1-p1   -            513 12097at5820          -            172   1.3e-12   46.5   0.5   2   3   2.4e-06   0.00096   17.6   0.0    31   105   204   285   200   319 0.79 | transcript=PVP01_1112500.1 | gene=PVP01_1112500 | organism=Plasmodium_vivax_P01 | gene_product=CUGBP Elav-like family member 1, putative | transcript_product=CUGBP Elav-like family member 1, putative | location=PvP01_11_v2:536358-538080(+) | protein_length=513 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1112500.1-p1   -            513 12097at5820          -            172   1.3e-12   46.5   0.5   3   3   2.1e-07   8.5e-05   21.0   0.0    30    96   388   458   367   485 0.81 | transcript=PVP01_1112500.1 | gene=PVP01_1112500 | organism=Plasmodium_vivax_P01 | gene_product=CUGBP Elav-like family member 1, putative | transcript_product=CUGBP Elav-like family member 1, putative | location=PvP01_11_v2:536358-538080(+) | protein_length=513 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1339100.1-p1   -            503 12097at5820          -            172   3.2e-12   45.2  22.9   1   4   0.00088      0.36    9.3   0.9    59   142    32   117    16   121 0.80 | transcript=PVP01_1339100.1 | gene=PVP01_1339100 | organism=Plasmodium_vivax_P01 | gene_product=CUGBP Elav-like family member 2, putative | transcript_product=CUGBP Elav-like family member 2, putative | location=PvP01_13_v2:1701554-1703065(-) | protein_length=503 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1339100.1-p1   -            503 12097at5820          -            172   3.2e-12   45.2  22.9   2   4   9.6e-10   3.9e-07   28.7   3.2    12   143    84   216    77   228 0.78 | transcript=PVP01_1339100.1 | gene=PVP01_1339100 | organism=Plasmodium_vivax_P01 | gene_product=CUGBP Elav-like family member 2, putative | transcript_product=CUGBP Elav-like family member 2, putative | location=PvP01_13_v2:1701554-1703065(-) | protein_length=503 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1339100.1-p1   -            503 12097at5820          -            172   3.2e-12   45.2  22.9   3   4   3.1e-05     0.013   14.0   5.5    32    95   198   267   196   313 0.77 | transcript=PVP01_1339100.1 | gene=PVP01_1339100 | organism=Plasmodium_vivax_P01 | gene_product=CUGBP Elav-like family member 2, putative | transcript_product=CUGBP Elav-like family member 2, putative | location=PvP01_13_v2:1701554-1703065(-) | protein_length=503 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1339100.1-p1   -            503 12097at5820          -            172   3.2e-12   45.2  22.9   4   4   1.2e-07     5e-05   21.8   0.3    29    96   409   480   396   497 0.82 | transcript=PVP01_1339100.1 | gene=PVP01_1339100 | organism=Plasmodium_vivax_P01 | gene_product=CUGBP Elav-like family member 2, putative | transcript_product=CUGBP Elav-like family member 2, putative | location=PvP01_13_v2:1701554-1703065(-) | protein_length=503 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1328900.1-p1   -            475 12097at5820          -            172   1.1e-09   37.0   2.4   1   2    0.0067       2.7    6.4   0.1     9    51    19    57    12   104 0.68 | transcript=PVP01_1328900.1 | gene=PVP01_1328900 | organism=Plasmodium_vivax_P01 | gene_product=splicing factor 3B subunit 4, putative | transcript_product=splicing factor 3B subunit 4, putative | location=PvP01_13_v2:1225767-1227448(+) | protein_length=475 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1328900.1-p1   -            475 12097at5820          -            172   1.1e-09   37.0   2.4   2   2   3.5e-10   1.4e-07   30.1   0.3    12    91   109   187    99   202 0.82 | transcript=PVP01_1328900.1 | gene=PVP01_1328900 | organism=Plasmodium_vivax_P01 | gene_product=splicing factor 3B subunit 4, putative | transcript_product=splicing factor 3B subunit 4, putative | location=PvP01_13_v2:1225767-1227448(+) | protein_length=475 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1443100.1-p1   -            110 12097at5820          -            172   8.5e-05   21.1   0.1   1   1   2.4e-07   9.7e-05   20.9   0.1    10    91    14    93     6   109 0.76 | transcript=PVP01_1443100.1 | gene=PVP01_1443100 | organism=Plasmodium_vivax_P01 | gene_product=splicing factor 3B subunit 6, putative | transcript_product=splicing factor 3B subunit 6, putative | location=PvP01_14_v2:1872345-1872932(-) | protein_length=110 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1421700.1-p1   -            124 12097at5820          -            172   9.4e-05   20.9   1.0   1   1   2.5e-07    0.0001   20.8   1.0     9    91     7    89     1   117 0.76 | transcript=PVP01_1421700.1 | gene=PVP01_1421700 | organism=Plasmodium_vivax_P01 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=PvP01_14_v2:939195-940065(-) | protein_length=124 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0511100.1-p1   -            292 12097at5820          -            172   0.00023   19.7   0.0   1   2      0.05        20    3.5   0.0   106   142     6    42     2    74 0.85 | transcript=PVP01_0511100.1 | gene=PVP01_0511100 | organism=Plasmodium_vivax_P01 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=PvP01_05_v2:482035-483249(+) | protein_length=292 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0511100.1-p1   -            292 12097at5820          -            172   0.00023   19.7   0.0   2   2     4e-05     0.016   13.6   0.0    29    93   170   237   158   247 0.86 | transcript=PVP01_0511100.1 | gene=PVP01_0511100 | organism=Plasmodium_vivax_P01 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=PvP01_05_v2:482035-483249(+) | protein_length=292 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1232900.1-p1   -           1029 12097at5820          -            172   0.00032   19.2   0.6   1   3     0.026        10    4.5   0.1    19    88   647   716   635   729 0.67 | transcript=PVP01_1232900.1 | gene=PVP01_1232900 | organism=Plasmodium_vivax_P01 | gene_product=splicing factor 1, putative | transcript_product=splicing factor 1, putative | location=PvP01_12_v2:1323265-1326509(-) | protein_length=1029 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1232900.1-p1   -           1029 12097at5820          -            172   0.00032   19.2   0.6   2   3    0.0032       1.3    7.4   0.0    29    92   755   822   726   840 0.78 | transcript=PVP01_1232900.1 | gene=PVP01_1232900 | organism=Plasmodium_vivax_P01 | gene_product=splicing factor 1, putative | transcript_product=splicing factor 1, putative | location=PvP01_12_v2:1323265-1326509(-) | protein_length=1029 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1232900.1-p1   -           1029 12097at5820          -            172   0.00032   19.2   0.6   3   3      0.04        16    3.9   0.0    33    79   966  1012   956  1022 0.86 | transcript=PVP01_1232900.1 | gene=PVP01_1232900 | organism=Plasmodium_vivax_P01 | gene_product=splicing factor 1, putative | transcript_product=splicing factor 1, putative | location=PvP01_12_v2:1323265-1326509(-) | protein_length=1029 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0521000.1-p1   -            361 12097at5820          -            172   0.00046   18.6   0.3   1   2     0.021       8.7    4.7   0.0    28    60   132   168   121   204 0.75 | transcript=PVP01_0521000.1 | gene=PVP01_0521000 | organism=Plasmodium_vivax_P01 | gene_product=male development protein MD5, putative | transcript_product=male development protein MD5, putative | location=PvP01_05_v2:857281-859698(-) | protein_length=361 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0521000.1-p1   -            361 12097at5820          -            172   0.00046   18.6   0.3   2   2   0.00011     0.046   12.2   0.0    27    89   215   279   186   298 0.77 | transcript=PVP01_0521000.1 | gene=PVP01_0521000 | organism=Plasmodium_vivax_P01 | gene_product=male development protein MD5, putative | transcript_product=male development protein MD5, putative | location=PvP01_05_v2:857281-859698(-) | protein_length=361 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1454200.1-p1   -            497 12097at5820          -            172   0.00054   18.4   1.0   1   4       1.9   7.7e+02   -1.6   0.1   108   129    17    38     9    70 0.69 | transcript=PVP01_1454200.1 | gene=PVP01_1454200 | organism=Plasmodium_vivax_P01 | gene_product=clustered-asparagine-rich protein, putative | transcript_product=clustered-asparagine-rich protein, putative | location=PvP01_14_v2:2366174-2367667(-) | protein_length=497 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1454200.1-p1   -            497 12097at5820          -            172   0.00054   18.4   1.0   2   4       7.2   2.9e+03   -3.5   0.3    63   105   172   215   161   226 0.61 | transcript=PVP01_1454200.1 | gene=PVP01_1454200 | organism=Plasmodium_vivax_P01 | gene_product=clustered-asparagine-rich protein, putative | transcript_product=clustered-asparagine-rich protein, putative | location=PvP01_14_v2:2366174-2367667(-) | protein_length=497 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1454200.1-p1   -            497 12097at5820          -            172   0.00054   18.4   1.0   3   4       6.2   2.5e+03   -3.3   0.0     8    19   373   384   370   390 0.80 | transcript=PVP01_1454200.1 | gene=PVP01_1454200 | organism=Plasmodium_vivax_P01 | gene_product=clustered-asparagine-rich protein, putative | transcript_product=clustered-asparagine-rich protein, putative | location=PvP01_14_v2:2366174-2367667(-) | protein_length=497 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
