#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0815400.1-p1   -            456 6278at5820           -            394  1.1e-248  823.3  20.1   1   2   5.1e-22   8.3e-19   66.4   8.3     5    54    30    80    27   100 0.83 | transcript=PVP01_0815400.1 | gene=PVP01_0815400 | organism=Plasmodium_vivax_P01 | gene_product=methionine aminopeptidase 1b, putative | transcript_product=methionine aminopeptidase 1b, putative | location=PvP01_08_v2:684199-685569(+) | protein_length=456 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0815400.1-p1   -            456 6278at5820           -            394  1.1e-248  823.3  20.1   2   2  1.6e-233  2.6e-230  762.8   4.1    49   394   109   454    97   454 0.98 | transcript=PVP01_0815400.1 | gene=PVP01_0815400 | organism=Plasmodium_vivax_P01 | gene_product=methionine aminopeptidase 1b, putative | transcript_product=methionine aminopeptidase 1b, putative | location=PvP01_08_v2:684199-685569(+) | protein_length=456 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1006500.1-p1   -            323 6278at5820           -            394   4.1e-65  218.9   1.8   1   1     3e-68   4.9e-65  218.6   1.8    93   377    43   321    28   323 0.94 | transcript=PVP01_1006500.1 | gene=PVP01_1006500 | organism=Plasmodium_vivax_P01 | gene_product=methionine aminopeptidase 1a, putative | transcript_product=methionine aminopeptidase 1a, putative | location=PvP01_10_v2:287710-289713(+) | protein_length=323 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0116100.1-p1   -            701 6278at5820           -            394   8.1e-62  208.0   6.3   1   3    0.0041       6.6    4.2   0.1    63   117   152   209   119   212 0.70 | transcript=PVP01_0116100.1 | gene=PVP01_0116100 | organism=Plasmodium_vivax_P01 | gene_product=methionine aminopeptidase 1c, putative | transcript_product=methionine aminopeptidase 1c, putative | location=PvP01_01_v2:731559-733664(-) | protein_length=701 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0116100.1-p1   -            701 6278at5820           -            394   8.1e-62  208.0   6.3   2   3     8e-35   1.3e-31  108.5   3.3   131   255   261   386   246   420 0.91 | transcript=PVP01_0116100.1 | gene=PVP01_0116100 | organism=Plasmodium_vivax_P01 | gene_product=methionine aminopeptidase 1c, putative | transcript_product=methionine aminopeptidase 1c, putative | location=PvP01_01_v2:731559-733664(-) | protein_length=701 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0116100.1-p1   -            701 6278at5820           -            394   8.1e-62  208.0   6.3   3   3   1.6e-30   2.7e-27   94.3   0.0   247   387   552   696   534   700 0.90 | transcript=PVP01_0116100.1 | gene=PVP01_0116100 | organism=Plasmodium_vivax_P01 | gene_product=methionine aminopeptidase 1c, putative | transcript_product=methionine aminopeptidase 1c, putative | location=PvP01_01_v2:731559-733664(-) | protein_length=701 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1316700.1-p1   -            639 6278at5820           -            394   1.2e-08   33.0   3.5   1   3   7.2e-12   1.2e-08   33.0   3.5    11    64     3    56     1    67 0.82 | transcript=PVP01_1316700.1 | gene=PVP01_1316700 | organism=Plasmodium_vivax_P01 | gene_product=HP12 protein homolog, putative | transcript_product=HP12 protein homolog, putative | location=PvP01_13_v2:783843-785762(+) | protein_length=639 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1316700.1-p1   -            639 6278at5820           -            394   1.2e-08   33.0   3.5   2   3    0.0089        15    3.0   0.1   255   328   333   403   308   418 0.69 | transcript=PVP01_1316700.1 | gene=PVP01_1316700 | organism=Plasmodium_vivax_P01 | gene_product=HP12 protein homolog, putative | transcript_product=HP12 protein homolog, putative | location=PvP01_13_v2:783843-785762(+) | protein_length=639 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1316700.1-p1   -            639 6278at5820           -            394   1.2e-08   33.0   3.5   3   3         1   1.7e+03   -3.8   0.2    39    61   535   557   528   607 0.53 | transcript=PVP01_1316700.1 | gene=PVP01_1316700 | organism=Plasmodium_vivax_P01 | gene_product=HP12 protein homolog, putative | transcript_product=HP12 protein homolog, putative | location=PvP01_13_v2:783843-785762(+) | protein_length=639 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/6278at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/6278at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/6278at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:45:47 2026
# [ok]
