#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0715400.1-p1   -           1889 608at5820            -           1306         0 2388.4 134.5   1   9   7.1e-66   4.6e-62  208.6   7.0     9   120    23   134    16   138 0.97 | transcript=PVP01_0715400.1 | gene=PVP01_0715400 | organism=Plasmodium_vivax_P01 | gene_product=merozoite organizing protein, putative | transcript_product=merozoite organizing protein, putative | location=PvP01_07_v2:695618-701287(-) | protein_length=1889 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0715400.1-p1   -           1889 608at5820            -           1306         0 2388.4 134.5   2   9  1.7e-143  1.1e-139  465.8  13.3   120   354   168   410   162   417 0.97 | transcript=PVP01_0715400.1 | gene=PVP01_0715400 | organism=Plasmodium_vivax_P01 | gene_product=merozoite organizing protein, putative | transcript_product=merozoite organizing protein, putative | location=PvP01_07_v2:695618-701287(-) | protein_length=1889 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0715400.1-p1   -           1889 608at5820            -           1306         0 2388.4 134.5   3   9   1.6e-73     1e-69  234.0   8.4   352   480   458   590   450   597 0.96 | transcript=PVP01_0715400.1 | gene=PVP01_0715400 | organism=Plasmodium_vivax_P01 | gene_product=merozoite organizing protein, putative | transcript_product=merozoite organizing protein, putative | location=PvP01_07_v2:695618-701287(-) | protein_length=1889 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0715400.1-p1   -           1889 608at5820            -           1306         0 2388.4 134.5   4   9   8.2e-88   5.4e-84  281.3  12.2   479   615   653   789   650   799 0.97 | transcript=PVP01_0715400.1 | gene=PVP01_0715400 | organism=Plasmodium_vivax_P01 | gene_product=merozoite organizing protein, putative | transcript_product=merozoite organizing protein, putative | location=PvP01_07_v2:695618-701287(-) | protein_length=1889 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0715400.1-p1   -           1889 608at5820            -           1306         0 2388.4 134.5   5   9    2e-135  1.3e-131  439.0  18.2   612   836   842  1087   835  1095 0.93 | transcript=PVP01_0715400.1 | gene=PVP01_0715400 | organism=Plasmodium_vivax_P01 | gene_product=merozoite organizing protein, putative | transcript_product=merozoite organizing protein, putative | location=PvP01_07_v2:695618-701287(-) | protein_length=1889 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0715400.1-p1   -           1889 608at5820            -           1306         0 2388.4 134.5   6   9  9.3e-177  6.1e-173  576.0  17.8   835  1113  1124  1402  1116  1410 0.98 | transcript=PVP01_0715400.1 | gene=PVP01_0715400 | organism=Plasmodium_vivax_P01 | gene_product=merozoite organizing protein, putative | transcript_product=merozoite organizing protein, putative | location=PvP01_07_v2:695618-701287(-) | protein_length=1889 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0715400.1-p1   -           1889 608at5820            -           1306         0 2388.4 134.5   7   9     0.011        74   -0.8   0.4  1113  1135  1427  1449  1424  1468 0.79 | transcript=PVP01_0715400.1 | gene=PVP01_0715400 | organism=Plasmodium_vivax_P01 | gene_product=merozoite organizing protein, putative | transcript_product=merozoite organizing protein, putative | location=PvP01_07_v2:695618-701287(-) | protein_length=1889 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0715400.1-p1   -           1889 608at5820            -           1306         0 2388.4 134.5   8   9   9.9e-55   6.4e-51  171.7   0.1  1113  1251  1476  1639  1464  1657 0.86 | transcript=PVP01_0715400.1 | gene=PVP01_0715400 | organism=Plasmodium_vivax_P01 | gene_product=merozoite organizing protein, putative | transcript_product=merozoite organizing protein, putative | location=PvP01_07_v2:695618-701287(-) | protein_length=1889 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0715400.1-p1   -           1889 608at5820            -           1306         0 2388.4 134.5   9   9   2.3e-18   1.5e-14   51.2   0.7  1246  1306  1813  1889  1801  1889 0.81 | transcript=PVP01_0715400.1 | gene=PVP01_0715400 | organism=Plasmodium_vivax_P01 | gene_product=merozoite organizing protein, putative | transcript_product=merozoite organizing protein, putative | location=PvP01_07_v2:695618-701287(-) | protein_length=1889 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/608at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/608at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/608at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:45:07 2026
# [ok]
