#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1127800.1-p1   -           1634 1628at5820           -           1124         0 1866.2 139.7   1   8   2.9e-28   2.7e-25   87.0  19.4     5   103    94   222    91   225 0.81 | transcript=PVP01_1127800.1 | gene=PVP01_1127800 | organism=Plasmodium_vivax_P01 | gene_product=RAP protein, putative | transcript_product=RAP protein, putative | location=PvP01_11_v2:1217409-1222825(-) | protein_length=1634 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1127800.1-p1   -           1634 1628at5820           -           1124         0 1866.2 139.7   2   8   2.8e-09   2.6e-06   24.2   0.1   102   130   256   284   252   289 0.91 | transcript=PVP01_1127800.1 | gene=PVP01_1127800 | organism=Plasmodium_vivax_P01 | gene_product=RAP protein, putative | transcript_product=RAP protein, putative | location=PvP01_11_v2:1217409-1222825(-) | protein_length=1634 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1127800.1-p1   -           1634 1628at5820           -           1124         0 1866.2 139.7   3   8   7.7e-08   7.2e-05   19.4   0.0   127   182   308   390   303   408 0.74 | transcript=PVP01_1127800.1 | gene=PVP01_1127800 | organism=Plasmodium_vivax_P01 | gene_product=RAP protein, putative | transcript_product=RAP protein, putative | location=PvP01_11_v2:1217409-1222825(-) | protein_length=1634 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1127800.1-p1   -           1634 1628at5820           -           1124         0 1866.2 139.7   4   8    6e-269  5.6e-266  884.1  53.7   162   631   429   910   413   913 0.96 | transcript=PVP01_1127800.1 | gene=PVP01_1127800 | organism=Plasmodium_vivax_P01 | gene_product=RAP protein, putative | transcript_product=RAP protein, putative | location=PvP01_11_v2:1217409-1222825(-) | protein_length=1634 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1127800.1-p1   -           1634 1628at5820           -           1124         0 1866.2 139.7   5   8     8e-73   7.5e-70  234.6   4.8   632   762   955  1094   953  1100 0.93 | transcript=PVP01_1127800.1 | gene=PVP01_1127800 | organism=Plasmodium_vivax_P01 | gene_product=RAP protein, putative | transcript_product=RAP protein, putative | location=PvP01_11_v2:1217409-1222825(-) | protein_length=1634 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1127800.1-p1   -           1634 1628at5820           -           1124         0 1866.2 139.7   6   8   1.6e-50   1.5e-47  160.7   0.6   762   847  1184  1269  1173  1271 0.96 | transcript=PVP01_1127800.1 | gene=PVP01_1127800 | organism=Plasmodium_vivax_P01 | gene_product=RAP protein, putative | transcript_product=RAP protein, putative | location=PvP01_11_v2:1217409-1222825(-) | protein_length=1634 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1127800.1-p1   -           1634 1628at5820           -           1124         0 1866.2 139.7   7   8   7.2e-55   6.7e-52  175.1   8.3   840   958  1303  1426  1292  1437 0.92 | transcript=PVP01_1127800.1 | gene=PVP01_1127800 | organism=Plasmodium_vivax_P01 | gene_product=RAP protein, putative | transcript_product=RAP protein, putative | location=PvP01_11_v2:1217409-1222825(-) | protein_length=1634 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1127800.1-p1   -           1634 1628at5820           -           1124         0 1866.2 139.7   8   8   2.8e-95   2.6e-92  308.9   9.4   954  1124  1452  1634  1446  1634 0.93 | transcript=PVP01_1127800.1 | gene=PVP01_1127800 | organism=Plasmodium_vivax_P01 | gene_product=RAP protein, putative | transcript_product=RAP protein, putative | location=PvP01_11_v2:1217409-1222825(-) | protein_length=1634 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0828300.1-p1   -            643 1628at5820           -           1124     9e-13   45.6  15.3   1   3   1.9e-10   1.7e-07   28.1   0.5   344   430   253   340   246   345 0.91 | transcript=PVP01_0828300.1 | gene=PVP01_0828300 | organism=Plasmodium_vivax_P01 | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=PvP01_08_v2:1221034-1222965(+) | protein_length=643 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0828300.1-p1   -            643 1628at5820           -           1124     9e-13   45.6  15.3   2   3   7.9e-08   7.4e-05   19.4   0.4   469   579   342   450   334   479 0.85 | transcript=PVP01_0828300.1 | gene=PVP01_0828300 | organism=Plasmodium_vivax_P01 | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=PvP01_08_v2:1221034-1222965(+) | protein_length=643 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0828300.1-p1   -            643 1628at5820           -           1124     9e-13   45.6  15.3   3   3   0.00013      0.12    8.7   5.0   455   551   439   534   439   567 0.81 | transcript=PVP01_0828300.1 | gene=PVP01_0828300 | organism=Plasmodium_vivax_P01 | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=PvP01_08_v2:1221034-1222965(+) | protein_length=643 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0713700.1-p1   -            719 1628at5820           -           1124   9.6e-09   32.2   0.7   1   3     1e-11   9.6e-09   32.2   0.7   362   503    63   213    54   216 0.78 | transcript=PVP01_0713700.1 | gene=PVP01_0713700 | organism=Plasmodium_vivax_P01 | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=PvP01_07_v2:635276-637435(-) | protein_length=719 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0713700.1-p1   -            719 1628at5820           -           1124   9.6e-09   32.2   0.7   2   3      0.12   1.1e+02   -1.1   0.1   252   314   379   443   372   452 0.77 | transcript=PVP01_0713700.1 | gene=PVP01_0713700 | organism=Plasmodium_vivax_P01 | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=PvP01_07_v2:635276-637435(-) | protein_length=719 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0713700.1-p1   -            719 1628at5820           -           1124   9.6e-09   32.2   0.7   3   3     0.029        27    0.9   0.5   448   490   538   580   523   614 0.73 | transcript=PVP01_0713700.1 | gene=PVP01_0713700 | organism=Plasmodium_vivax_P01 | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=PvP01_07_v2:635276-637435(-) | protein_length=719 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1439800.1-p1   -            833 1628at5820           -           1124    0.0023   14.4  43.3   1   2   0.00015      0.14    8.5   0.6   374   440   113   180    86   196 0.86 | transcript=PVP01_1439800.1 | gene=PVP01_1439800 | organism=Plasmodium_vivax_P01 | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=PvP01_14_v2:1699346-1701847(+) | protein_length=833 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1439800.1-p1   -            833 1628at5820           -           1124    0.0023   14.4  43.3   2   2     0.001      0.93    5.8  19.5   494   598   395   495   305   514 0.71 | transcript=PVP01_1439800.1 | gene=PVP01_1439800 | organism=Plasmodium_vivax_P01 | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=PvP01_14_v2:1699346-1701847(+) | protein_length=833 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0810000.1-p1   -            807 1628at5820           -           1124    0.0064   12.9  59.6   1   2   3.9e-05     0.037   10.4  17.7   296   480   125   311   119   348 0.81 | transcript=PVP01_0810000.1 | gene=PVP01_0810000 | organism=Plasmodium_vivax_P01 | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=PvP01_08_v2:447996-450617(+) | protein_length=807 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0810000.1-p1   -            807 1628at5820           -           1124    0.0064   12.9  59.6   2   2   0.00016      0.15    8.4  33.9   354   550   541   746   480   765 0.84 | transcript=PVP01_0810000.1 | gene=PVP01_0810000 | organism=Plasmodium_vivax_P01 | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=PvP01_08_v2:447996-450617(+) | protein_length=807 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
