#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0118500.1-p1   -           1666 2109at5820           -            700  2.1e-292  970.5  97.2   1  12         2   6.5e+03  -12.2  10.8   289   344    29    66    18    78 0.30 | transcript=PVP01_0118500.1 | gene=PVP01_0118500 | organism=Plasmodium_vivax_P01 | gene_product=sentrin-specific protease 2, putative | transcript_product=sentrin-specific protease 2, putative | location=PvP01_01_v2:849088-854361(-) | protein_length=1666 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0118500.1-p1   -           1666 2109at5820           -            700  2.1e-292  970.5  97.2   2  12   3.4e-49   1.1e-45  155.0   2.1     2    91    82   173    81   174 0.95 | transcript=PVP01_0118500.1 | gene=PVP01_0118500 | organism=Plasmodium_vivax_P01 | gene_product=sentrin-specific protease 2, putative | transcript_product=sentrin-specific protease 2, putative | location=PvP01_01_v2:849088-854361(-) | protein_length=1666 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0118500.1-p1   -           1666 2109at5820           -            700  2.1e-292  970.5  97.2   3  12   2.9e-28   9.5e-25   85.8   1.0    71   146   250   325   241   336 0.87 | transcript=PVP01_0118500.1 | gene=PVP01_0118500 | organism=Plasmodium_vivax_P01 | gene_product=sentrin-specific protease 2, putative | transcript_product=sentrin-specific protease 2, putative | location=PvP01_01_v2:849088-854361(-) | protein_length=1666 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0118500.1-p1   -           1666 2109at5820           -            700  2.1e-292  970.5  97.2   4  12   2.5e-60   8.1e-57  191.8  11.1   145   308   390   571   377   596 0.82 | transcript=PVP01_0118500.1 | gene=PVP01_0118500 | organism=Plasmodium_vivax_P01 | gene_product=sentrin-specific protease 2, putative | transcript_product=sentrin-specific protease 2, putative | location=PvP01_01_v2:849088-854361(-) | protein_length=1666 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0118500.1-p1   -           1666 2109at5820           -            700  2.1e-292  970.5  97.2   5  12    0.0025       8.1    3.3   1.9   294   331   643   680   634   697 0.82 | transcript=PVP01_0118500.1 | gene=PVP01_0118500 | organism=Plasmodium_vivax_P01 | gene_product=sentrin-specific protease 2, putative | transcript_product=sentrin-specific protease 2, putative | location=PvP01_01_v2:849088-854361(-) | protein_length=1666 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0118500.1-p1   -           1666 2109at5820           -            700  2.1e-292  970.5  97.2   6  12   0.00083       2.7    4.9   0.0   319   356   774   812   751   815 0.81 | transcript=PVP01_0118500.1 | gene=PVP01_0118500 | organism=Plasmodium_vivax_P01 | gene_product=sentrin-specific protease 2, putative | transcript_product=sentrin-specific protease 2, putative | location=PvP01_01_v2:849088-854361(-) | protein_length=1666 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0118500.1-p1   -           1666 2109at5820           -            700  2.1e-292  970.5  97.2   7  12   2.1e-61   6.9e-58  195.3   8.2   351   472  1005  1128   996  1131 0.95 | transcript=PVP01_0118500.1 | gene=PVP01_0118500 | organism=Plasmodium_vivax_P01 | gene_product=sentrin-specific protease 2, putative | transcript_product=sentrin-specific protease 2, putative | location=PvP01_01_v2:849088-854361(-) | protein_length=1666 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0118500.1-p1   -           1666 2109at5820           -            700  2.1e-292  970.5  97.2   8  12   2.7e-46   8.7e-43  145.4   0.4   470   553  1175  1258  1172  1272 0.89 | transcript=PVP01_0118500.1 | gene=PVP01_0118500 | organism=Plasmodium_vivax_P01 | gene_product=sentrin-specific protease 2, putative | transcript_product=sentrin-specific protease 2, putative | location=PvP01_01_v2:849088-854361(-) | protein_length=1666 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0118500.1-p1   -           1666 2109at5820           -            700  2.1e-292  970.5  97.2   9  12     0.011        34    1.3   0.0   539   560  1320  1341  1314  1356 0.77 | transcript=PVP01_0118500.1 | gene=PVP01_0118500 | organism=Plasmodium_vivax_P01 | gene_product=sentrin-specific protease 2, putative | transcript_product=sentrin-specific protease 2, putative | location=PvP01_01_v2:849088-854361(-) | protein_length=1666 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0118500.1-p1   -           1666 2109at5820           -            700  2.1e-292  970.5  97.2  10  12   6.8e-22   2.2e-18   64.7   0.0   553   603  1418  1468  1404  1472 0.91 | transcript=PVP01_0118500.1 | gene=PVP01_0118500 | organism=Plasmodium_vivax_P01 | gene_product=sentrin-specific protease 2, putative | transcript_product=sentrin-specific protease 2, putative | location=PvP01_01_v2:849088-854361(-) | protein_length=1666 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0118500.1-p1   -           1666 2109at5820           -            700  2.1e-292  970.5  97.2  11  12   4.3e-31   1.4e-27   95.1   0.1   603   652  1523  1572  1517  1579 0.95 | transcript=PVP01_0118500.1 | gene=PVP01_0118500 | organism=Plasmodium_vivax_P01 | gene_product=sentrin-specific protease 2, putative | transcript_product=sentrin-specific protease 2, putative | location=PvP01_01_v2:849088-854361(-) | protein_length=1666 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
