#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1253300.1-p1   -            266 13542at5820          -            209  1.2e-121  402.6  24.7   1   2  9.5e-125  1.2e-121  402.6  24.7     1   201     1   216     1   225 0.93 | transcript=PVP01_1253300.1 | gene=PVP01_1253300 | organism=Plasmodium_vivax_P01 | gene_product=HSP90 co-chaperone p23, putative | transcript_product=HSP90 co-chaperone p23, putative | location=PvP01_12_v2:2175101-2176573(-) | protein_length=266 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1253300.1-p1   -            266 13542at5820          -            209  1.2e-121  402.6  24.7   2   2      0.35   4.6e+02   -1.1   0.7   196   202   235   241   213   266 0.47 | transcript=PVP01_1253300.1 | gene=PVP01_1253300 | organism=Plasmodium_vivax_P01 | gene_product=HSP90 co-chaperone p23, putative | transcript_product=HSP90 co-chaperone p23, putative | location=PvP01_12_v2:2175101-2176573(-) | protein_length=266 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1468100.1-p1   -            183 13542at5820          -            209   6.9e-07   27.7   0.1   1   1   7.4e-10   9.6e-07   27.3   0.1     4   105    21   126    18   138 0.83 | transcript=PVP01_1468100.1 | gene=PVP01_1468100 | organism=Plasmodium_vivax_P01 | gene_product=HSP20-like chaperone, putative | transcript_product=HSP20-like chaperone, putative | location=PvP01_14_v2:2901378-2903128(-) | protein_length=183 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0920300.1-p1   -            800 13542at5820          -            209     0.013   13.8  35.4   1   6      0.13   1.7e+02    0.3   0.0   142   181   131   169   116   219 0.74 | transcript=PVP01_0920300.1 | gene=PVP01_0920300 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_09_v2:883942-886344(+) | protein_length=800 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0920300.1-p1   -            800 13542at5820          -            209     0.013   13.8  35.4   2   6      0.21   2.7e+02   -0.3   0.1   120   139   407   426   389   451 0.59 | transcript=PVP01_0920300.1 | gene=PVP01_0920300 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_09_v2:883942-886344(+) | protein_length=800 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0920300.1-p1   -            800 13542at5820          -            209     0.013   13.8  35.4   3   6   1.6e-05      0.02   13.1   0.1   129   181   462   510   446   515 0.79 | transcript=PVP01_0920300.1 | gene=PVP01_0920300 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_09_v2:883942-886344(+) | protein_length=800 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0920300.1-p1   -            800 13542at5820          -            209     0.013   13.8  35.4   4   6   0.00076      0.99    7.6   3.3   116   176   521   583   510   593 0.65 | transcript=PVP01_0920300.1 | gene=PVP01_0920300 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_09_v2:883942-886344(+) | protein_length=800 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0920300.1-p1   -            800 13542at5820          -            209     0.013   13.8  35.4   5   6         5   6.5e+03   -4.9  12.3   126   168   591   633   569   690 0.52 | transcript=PVP01_0920300.1 | gene=PVP01_0920300 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_09_v2:883942-886344(+) | protein_length=800 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0920300.1-p1   -            800 13542at5820          -            209     0.013   13.8  35.4   6   6   0.00077         1    7.6   1.0   148   185   741   779   711   789 0.67 | transcript=PVP01_0920300.1 | gene=PVP01_0920300 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_09_v2:883942-886344(+) | protein_length=800 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0114500.1-p1   -            984 13542at5820          -            209     0.035   12.4   0.2   1   1   5.4e-05      0.07   11.4   0.2   118   152   589   624   565   639 0.74 | transcript=PVP01_0114500.1 | gene=PVP01_0114500 | organism=Plasmodium_vivax_P01 | gene_product=AAA family ATPase, putative | transcript_product=AAA family ATPase, putative | location=PvP01_01_v2:645674-648801(+) | protein_length=984 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1455200.1-p1   -           1920 13542at5820          -            209     0.094   11.0   2.0   1   1   0.00016      0.21    9.8   2.0   116   151  1627  1663  1616  1695 0.84 | transcript=PVP01_1455200.1 | gene=PVP01_1455200 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_14_v2:2395078-2400840(-) | protein_length=1920 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/13542at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/13542at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/13542at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:30:37 2026
# [ok]
