#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0929100.1-p1   -           1441 1203at5820           -           1004         0 1498.4  42.2   1   8   9.9e-16   3.2e-12   43.5   3.8     1    41     1    41     1    55 0.91 | transcript=PVP01_0929100.1 | gene=PVP01_0929100 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent 6-phosphofructokinase, putative | transcript_product=ATP-dependent 6-phosphofructokinase, putative | location=PvP01_09_v2:1269955-1275152(-) | protein_length=1441 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0929100.1-p1   -           1441 1203at5820           -           1004         0 1498.4  42.2   2   8    0.0015       4.9    3.2   0.0    37    57    63    83    59    90 0.88 | transcript=PVP01_0929100.1 | gene=PVP01_0929100 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent 6-phosphofructokinase, putative | transcript_product=ATP-dependent 6-phosphofructokinase, putative | location=PvP01_09_v2:1269955-1275152(-) | protein_length=1441 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0929100.1-p1   -           1441 1203at5820           -           1004         0 1498.4  42.2   3   8   2.9e-63   9.6e-60  200.8   0.3    54   182   132   278   119   284 0.90 | transcript=PVP01_0929100.1 | gene=PVP01_0929100 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent 6-phosphofructokinase, putative | transcript_product=ATP-dependent 6-phosphofructokinase, putative | location=PvP01_09_v2:1269955-1275152(-) | protein_length=1441 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0929100.1-p1   -           1441 1203at5820           -           1004         0 1498.4  42.2   4   8   1.2e-83   3.9e-80  268.4   1.4   182   332   316   477   313   483 0.94 | transcript=PVP01_0929100.1 | gene=PVP01_0929100 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent 6-phosphofructokinase, putative | transcript_product=ATP-dependent 6-phosphofructokinase, putative | location=PvP01_09_v2:1269955-1275152(-) | protein_length=1441 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0929100.1-p1   -           1441 1203at5820           -           1004         0 1498.4  42.2   5   8   2.1e-55     7e-52  174.8   0.0   332   452   512   638   497   645 0.93 | transcript=PVP01_0929100.1 | gene=PVP01_0929100 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent 6-phosphofructokinase, putative | transcript_product=ATP-dependent 6-phosphofructokinase, putative | location=PvP01_09_v2:1269955-1275152(-) | protein_length=1441 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0929100.1-p1   -           1441 1203at5820           -           1004         0 1498.4  42.2   6   8     0.014        47   -0.1   0.0   451   470   684   706   679   728 0.77 | transcript=PVP01_0929100.1 | gene=PVP01_0929100 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent 6-phosphofructokinase, putative | transcript_product=ATP-dependent 6-phosphofructokinase, putative | location=PvP01_09_v2:1269955-1275152(-) | protein_length=1441 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0929100.1-p1   -           1441 1203at5820           -           1004         0 1498.4  42.2   7   8     0.011        37    0.3   0.0   475   489   757   771   753   774 0.90 | transcript=PVP01_0929100.1 | gene=PVP01_0929100 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent 6-phosphofructokinase, putative | transcript_product=ATP-dependent 6-phosphofructokinase, putative | location=PvP01_09_v2:1269955-1275152(-) | protein_length=1441 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0929100.1-p1   -           1441 1203at5820           -           1004         0 1498.4  42.2   8   8  2.8e-249  9.1e-246  816.6  10.0   489  1004   855  1435   852  1435 0.93 | transcript=PVP01_0929100.1 | gene=PVP01_0929100 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent 6-phosphofructokinase, putative | transcript_product=ATP-dependent 6-phosphofructokinase, putative | location=PvP01_09_v2:1269955-1275152(-) | protein_length=1441 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0713800.1-p1   -           1421 1203at5820           -           1004  8.7e-119  396.3  10.4   1   4   6.8e-72   2.2e-68  229.4   4.7     9   434   105   559   100   582 0.79 | transcript=PVP01_0713800.1 | gene=PVP01_0713800 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent 6-phosphofructokinase, putative | transcript_product=ATP-dependent 6-phosphofructokinase, putative | location=PvP01_07_v2:638599-642864(-) | protein_length=1421 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0713800.1-p1   -           1421 1203at5820           -           1004  8.7e-119  396.3  10.4   2   4     1e-27   3.3e-24   83.2   1.5   532   713   835  1010   804  1010 0.91 | transcript=PVP01_0713800.1 | gene=PVP01_0713800 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent 6-phosphofructokinase, putative | transcript_product=ATP-dependent 6-phosphofructokinase, putative | location=PvP01_07_v2:638599-642864(-) | protein_length=1421 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0713800.1-p1   -           1421 1203at5820           -           1004  8.7e-119  396.3  10.4   3   4   1.2e-17   3.8e-14   49.9   0.0   254   337  1007  1093  1005  1105 0.92 | transcript=PVP01_0713800.1 | gene=PVP01_0713800 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent 6-phosphofructokinase, putative | transcript_product=ATP-dependent 6-phosphofructokinase, putative | location=PvP01_07_v2:638599-642864(-) | protein_length=1421 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0713800.1-p1   -           1421 1203at5820           -           1004  8.7e-119  396.3  10.4   4   4   7.7e-12   2.5e-08   30.6   0.0   334   451  1150  1274  1142  1283 0.73 | transcript=PVP01_0713800.1 | gene=PVP01_0713800 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent 6-phosphofructokinase, putative | transcript_product=ATP-dependent 6-phosphofructokinase, putative | location=PvP01_07_v2:638599-642864(-) | protein_length=1421 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1203at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/1203at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1203at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:25:27 2026
# [ok]
