#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0518200.1-p1   -            761 4626at5820           -            498  2.5e-220  730.7  22.8   1   6   2.3e-20   3.7e-17   60.5   0.0     7    55    97   145    93   151 0.94 | transcript=PVP01_0518200.1 | gene=PVP01_0518200 | organism=Plasmodium_vivax_P01 | gene_product=tRNA modification GTPase, putative | transcript_product=tRNA modification GTPase, putative | location=PvP01_05_v2:763668-765953(-) | protein_length=761 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0518200.1-p1   -            761 4626at5820           -            498  2.5e-220  730.7  22.8   2   6   2.8e-46   4.6e-43  145.9   2.4    55   148   192   285   189   296 0.96 | transcript=PVP01_0518200.1 | gene=PVP01_0518200 | organism=Plasmodium_vivax_P01 | gene_product=tRNA modification GTPase, putative | transcript_product=tRNA modification GTPase, putative | location=PvP01_05_v2:763668-765953(-) | protein_length=761 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0518200.1-p1   -            761 4626at5820           -            498  2.5e-220  730.7  22.8   3   6  1.5e-101   2.4e-98  328.3   0.6   145   336   309   500   293   508 0.95 | transcript=PVP01_0518200.1 | gene=PVP01_0518200 | organism=Plasmodium_vivax_P01 | gene_product=tRNA modification GTPase, putative | transcript_product=tRNA modification GTPase, putative | location=PvP01_05_v2:763668-765953(-) | protein_length=761 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0518200.1-p1   -            761 4626at5820           -            498  2.5e-220  730.7  22.8   4   6   0.00052      0.84    6.5   0.0   331   350   518   537   503   539 0.89 | transcript=PVP01_0518200.1 | gene=PVP01_0518200 | organism=Plasmodium_vivax_P01 | gene_product=tRNA modification GTPase, putative | transcript_product=tRNA modification GTPase, putative | location=PvP01_05_v2:763668-765953(-) | protein_length=761 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0518200.1-p1   -            761 4626at5820           -            498  2.5e-220  730.7  22.8   5   6   2.2e-28   3.7e-25   86.9   1.7   331   430   535   669   534   672 0.76 | transcript=PVP01_0518200.1 | gene=PVP01_0518200 | organism=Plasmodium_vivax_P01 | gene_product=tRNA modification GTPase, putative | transcript_product=tRNA modification GTPase, putative | location=PvP01_05_v2:763668-765953(-) | protein_length=761 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0518200.1-p1   -            761 4626at5820           -            498  2.5e-220  730.7  22.8   6   6   1.6e-34   2.6e-31  107.2   0.1   430   498   693   761   687   761 0.98 | transcript=PVP01_0518200.1 | gene=PVP01_0518200 | organism=Plasmodium_vivax_P01 | gene_product=tRNA modification GTPase, putative | transcript_product=tRNA modification GTPase, putative | location=PvP01_05_v2:763668-765953(-) | protein_length=761 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1436100.1-p1   -            871 4626at5820           -            498     9e-12   42.7  20.8   1   3   0.00062         1    6.3   0.1   275   361   294   380   280   407 0.81 | transcript=PVP01_1436100.1 | gene=PVP01_1436100 | organism=Plasmodium_vivax_P01 | gene_product=GTP-binding protein EngA, putative | transcript_product=GTP-binding protein EngA, putative | location=PvP01_14_v2:1519543-1522158(+) | protein_length=871 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1436100.1-p1   -            871 4626at5820           -            498     9e-12   42.7  20.8   2   3      0.23   3.7e+02   -2.2   0.1   381   392   498   509   493   515 0.80 | transcript=PVP01_1436100.1 | gene=PVP01_1436100 | organism=Plasmodium_vivax_P01 | gene_product=GTP-binding protein EngA, putative | transcript_product=GTP-binding protein EngA, putative | location=PvP01_14_v2:1519543-1522158(+) | protein_length=871 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1436100.1-p1   -            871 4626at5820           -            498     9e-12   42.7  20.8   3   3   1.8e-14     3e-11   41.0  12.6   248   401   541   705   536   754 0.71 | transcript=PVP01_1436100.1 | gene=PVP01_1436100 | organism=Plasmodium_vivax_P01 | gene_product=GTP-binding protein EngA, putative | transcript_product=GTP-binding protein EngA, putative | location=PvP01_14_v2:1519543-1522158(+) | protein_length=871 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1313700.1-p1   -            499 4626at5820           -            498   3.2e-08   31.0   0.3   1   2     5e-08   8.1e-05   19.8   0.0   273   377   105   211    96   218 0.73 | transcript=PVP01_1313700.1 | gene=PVP01_1313700 | organism=Plasmodium_vivax_P01 | gene_product=GTPase Era, putative | transcript_product=GTPase Era, putative | location=PvP01_13_v2:620234-621733(-) | protein_length=499 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1313700.1-p1   -            499 4626at5820           -            498   3.2e-08   31.0   0.3   2   2   9.7e-05      0.16    8.9   0.2   378   431   328   386   324   419 0.69 | transcript=PVP01_1313700.1 | gene=PVP01_1313700 | organism=Plasmodium_vivax_P01 | gene_product=GTPase Era, putative | transcript_product=GTPase Era, putative | location=PvP01_13_v2:620234-621733(-) | protein_length=499 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
