#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0905000.1-p1   -           1396 1490at5820           -            978         0 1949.5  90.2   1   6     0.023        12    2.0   0.1     1    16     1    16     1    23 0.86 | transcript=PVP01_0905000.1 | gene=PVP01_0905000 | organism=Plasmodium_vivax_P01 | gene_product=chromatin remodeling protein, putative | transcript_product=chromatin remodeling protein, putative | location=PvP01_09_v2:300938-305917(-) | protein_length=1396 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0905000.1-p1   -           1396 1490at5820           -            978         0 1949.5  90.2   2   6         0         0 1406.6  29.3     9   632   231   860   224   871 0.98 | transcript=PVP01_0905000.1 | gene=PVP01_0905000 | organism=Plasmodium_vivax_P01 | gene_product=chromatin remodeling protein, putative | transcript_product=chromatin remodeling protein, putative | location=PvP01_09_v2:300938-305917(-) | protein_length=1396 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0905000.1-p1   -           1396 1490at5820           -            978         0 1949.5  90.2   3   6   1.3e-55   6.6e-53  178.2  17.0   630   753   903  1039   899  1041 0.89 | transcript=PVP01_0905000.1 | gene=PVP01_0905000 | organism=Plasmodium_vivax_P01 | gene_product=chromatin remodeling protein, putative | transcript_product=chromatin remodeling protein, putative | location=PvP01_09_v2:300938-305917(-) | protein_length=1396 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0905000.1-p1   -           1396 1490at5820           -            978         0 1949.5  90.2   4   6   1.6e-11   8.2e-09   32.3   3.4   750   785  1089  1124  1077  1145 0.85 | transcript=PVP01_0905000.1 | gene=PVP01_0905000 | organism=Plasmodium_vivax_P01 | gene_product=chromatin remodeling protein, putative | transcript_product=chromatin remodeling protein, putative | location=PvP01_09_v2:300938-305917(-) | protein_length=1396 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0905000.1-p1   -           1396 1490at5820           -            978         0 1949.5  90.2   5   6   1.3e-70   6.7e-68  227.9   4.6   784   913  1159  1291  1143  1295 0.95 | transcript=PVP01_0905000.1 | gene=PVP01_0905000 | organism=Plasmodium_vivax_P01 | gene_product=chromatin remodeling protein, putative | transcript_product=chromatin remodeling protein, putative | location=PvP01_09_v2:300938-305917(-) | protein_length=1396 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0905000.1-p1   -           1396 1490at5820           -            978         0 1949.5  90.2   6   6   1.5e-40   7.3e-38  128.4   0.9   910   978  1311  1379  1304  1379 0.97 | transcript=PVP01_0905000.1 | gene=PVP01_0905000 | organism=Plasmodium_vivax_P01 | gene_product=chromatin remodeling protein, putative | transcript_product=chromatin remodeling protein, putative | location=PvP01_09_v2:300938-305917(-) | protein_length=1396 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0409000.1-p1   -           1597 1490at5820           -            978  1.1e-129  432.3  11.3   1   2  3.9e-103  1.9e-100  335.6   8.1    57   454   672  1087   659  1091 0.88 | transcript=PVP01_0409000.1 | gene=PVP01_0409000 | organism=Plasmodium_vivax_P01 | gene_product=SNF2-like chromatin remodeling ATPase, putative | transcript_product=SNF2-like chromatin remodeling ATPase, putative | location=PvP01_04_v2:363099-367892(-) | protein_length=1597 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0409000.1-p1   -           1597 1490at5820           -            978  1.1e-129  432.3  11.3   2   2   5.1e-31   2.6e-28   96.8   0.0   437   560  1100  1228  1098  1241 0.87 | transcript=PVP01_0409000.1 | gene=PVP01_0409000 | organism=Plasmodium_vivax_P01 | gene_product=SNF2-like chromatin remodeling ATPase, putative | transcript_product=SNF2-like chromatin remodeling ATPase, putative | location=PvP01_04_v2:363099-367892(-) | protein_length=1597 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0609100.1-p1   -           3265 1490at5820           -            978  3.5e-116  387.7  13.3   1   1  1.9e-118  9.6e-116  386.2  13.3    81   582  1383  1910  1378  1962 0.85 | transcript=PVP01_0609100.1 | gene=PVP01_0609100 | organism=Plasmodium_vivax_P01 | gene_product=SNF2 helicase, putative, chromodomain-helicase-DNA-binding protein 1 homolog, putative | transcript_product=chromodomain-helicase-DNA-binding protein 1 homolog, putative | location=PvP01_06_v2:399358-409155(-) | protein_length=3265 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1124900.1-p1   -           2934 1490at5820           -            978   7.8e-82  274.0   0.6   1   7   3.7e-44   1.9e-41  140.3   0.0    78   281   342   548   335   559 0.89 | transcript=PVP01_1124900.1 | gene=PVP01_1124900 | organism=Plasmodium_vivax_P01 | gene_product=ISWI chromatin-remodeling complex ATPase, putative | transcript_product=ISWI chromatin-remodeling complex ATPase, putative | location=PvP01_11_v2:1081518-1090322(-) | protein_length=2934 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1124900.1-p1   -           2934 1490at5820           -            978   7.8e-82  274.0   0.6   2   7    0.0017      0.85    5.8   0.8   275   407   594   749   588   758 0.63 | transcript=PVP01_1124900.1 | gene=PVP01_1124900 | organism=Plasmodium_vivax_P01 | gene_product=ISWI chromatin-remodeling complex ATPase, putative | transcript_product=ISWI chromatin-remodeling complex ATPase, putative | location=PvP01_11_v2:1081518-1090322(-) | protein_length=2934 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
