#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0618800.1-p1   -            482 5771at5820           -            379  9.1e-235  776.7  18.7   1   2  6.1e-130  2.8e-127  422.9   7.2     1   201     2   213     2   219 0.96 | transcript=PVP01_0618800.1 | gene=PVP01_0618800 | organism=Plasmodium_vivax_P01 | gene_product=bromodomain protein 1, putative | transcript_product=bromodomain protein 1, putative | location=PvP01_06_v2:771504-773345(+) | protein_length=482 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0618800.1-p1   -            482 5771at5820           -            379  9.1e-235  776.7  18.7   2   2  1.3e-110  5.9e-108  359.3   3.7   201   379   259   450   242   450 0.93 | transcript=PVP01_0618800.1 | gene=PVP01_0618800 | organism=Plasmodium_vivax_P01 | gene_product=bromodomain protein 1, putative | transcript_product=bromodomain protein 1, putative | location=PvP01_06_v2:771504-773345(+) | protein_length=482 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0810600.1-p1   -            188 5771at5820           -            379   1.1e-15   55.6   0.0   1   1   2.7e-18   1.2e-15   55.4   0.0    48   195    10   154     2   178 0.87 | transcript=PVP01_0810600.1 | gene=PVP01_0810600 | organism=Plasmodium_vivax_P01 | gene_product=ankyrin-repeat protein, putative | transcript_product=ankyrin-repeat protein, putative | location=PvP01_08_v2:467502-469232(+) | protein_length=188 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0607100.1-p1   -           1850 5771at5820           -            379   3.5e-13   47.4   2.0   1   2     2e-08   9.1e-06   23.0   0.2   128   201  1012  1086  1000  1100 0.90 | transcript=PVP01_0607100.1 | gene=PVP01_0607100 | organism=Plasmodium_vivax_P01 | gene_product=PHAX domain-containing protein, putative | transcript_product=PHAX domain-containing protein, putative | location=PvP01_06_v2:302162-307714(-) | protein_length=1850 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0607100.1-p1   -           1850 5771at5820           -            379   3.5e-13   47.4   2.0   2   2   1.2e-08   5.7e-06   23.6   0.1    82   170  1108  1197  1097  1226 0.89 | transcript=PVP01_0607100.1 | gene=PVP01_0607100 | organism=Plasmodium_vivax_P01 | gene_product=PHAX domain-containing protein, putative | transcript_product=PHAX domain-containing protein, putative | location=PvP01_06_v2:302162-307714(-) | protein_length=1850 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1325900.1-p1   -            708 5771at5820           -            379   8.8e-13   46.0   0.4   1   3   5.8e-07   0.00027   18.1   0.0    68   176   373   480   350   485 0.86 | transcript=PVP01_1325900.1 | gene=PVP01_1325900 | organism=Plasmodium_vivax_P01 | gene_product=ankyrin-repeat protein, putative | transcript_product=ankyrin-repeat protein, putative | location=PvP01_13_v2:1126107-1128233(-) | protein_length=708 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1325900.1-p1   -            708 5771at5820           -            379   8.8e-13   46.0   0.4   2   3   7.9e-09   3.7e-06   24.3   0.0    83   175   453   548   451   582 0.88 | transcript=PVP01_1325900.1 | gene=PVP01_1325900 | organism=Plasmodium_vivax_P01 | gene_product=ankyrin-repeat protein, putative | transcript_product=ankyrin-repeat protein, putative | location=PvP01_13_v2:1126107-1128233(-) | protein_length=708 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1325900.1-p1   -            708 5771at5820           -            379   8.8e-13   46.0   0.4   3   3   0.00047      0.22    8.5   0.1   116   176   588   649   575   669 0.77 | transcript=PVP01_1325900.1 | gene=PVP01_1325900 | organism=Plasmodium_vivax_P01 | gene_product=ankyrin-repeat protein, putative | transcript_product=ankyrin-repeat protein, putative | location=PvP01_13_v2:1126107-1128233(-) | protein_length=708 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1270500.1-p1   -            763 5771at5820           -            379   1.4e-10   38.8   3.2   1   1   6.3e-13   2.9e-10   37.8   3.2   279   348    41   111    15   132 0.85 | transcript=PVP01_1270500.1 | gene=PVP01_1270500 | organism=Plasmodium_vivax_P01 | gene_product=bromodomain protein 4, putative | transcript_product=bromodomain protein 4, putative | location=PvP01_12_v2:2976370-2978661(-) | protein_length=763 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0836800.1-p1   -            611 5771at5820           -            379   5.6e-09   33.5   1.3   1   2   0.00013     0.059   10.4   0.1   100   175    34   110     8   136 0.62 | transcript=PVP01_0836800.1 | gene=PVP01_0836800 | organism=Plasmodium_vivax_P01 | gene_product=palmitoyltransferase DHHC1, putative | transcript_product=palmitoyltransferase DHHC1, putative | location=PvP01_08_v2:1549276-1552050(-) | protein_length=611 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0836800.1-p1   -            611 5771at5820           -            379   5.6e-09   33.5   1.3   2   2   4.6e-08   2.2e-05   21.7   0.1    81   168   158   248   134   256 0.80 | transcript=PVP01_0836800.1 | gene=PVP01_0836800 | organism=Plasmodium_vivax_P01 | gene_product=palmitoyltransferase DHHC1, putative | transcript_product=palmitoyltransferase DHHC1, putative | location=PvP01_08_v2:1549276-1552050(-) | protein_length=611 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1431800.1-p1   -           1087 5771at5820           -            379   9.8e-08   29.4   3.2   1   2   2.1e-10   9.8e-08   29.4   3.2   253   335   498   581   483   624 0.89 | transcript=PVP01_1431800.1 | gene=PVP01_1431800 | organism=Plasmodium_vivax_P01 | gene_product=bromodomain protein 2, putative | transcript_product=bromodomain protein 2, putative | location=PvP01_14_v2:1391052-1394315(-) | protein_length=1087 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1431800.1-p1   -           1087 5771at5820           -            379   9.8e-08   29.4   3.2   2   2      0.63     3e+02   -1.8   0.2   200   221   998  1019   984  1028 0.81 | transcript=PVP01_1431800.1 | gene=PVP01_1431800 | organism=Plasmodium_vivax_P01 | gene_product=bromodomain protein 2, putative | transcript_product=bromodomain protein 2, putative | location=PvP01_14_v2:1391052-1394315(-) | protein_length=1087 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0511000.1-p1   -           1539 5771at5820           -            379   1.3e-07   29.0   1.2   1   2       1.6   7.3e+02   -3.1   0.2   339   368  1375  1404  1355  1406 0.80 | transcript=PVP01_0511000.1 | gene=PVP01_0511000 | organism=Plasmodium_vivax_P01 | gene_product=histone acetyltransferase GCN5, putative | transcript_product=histone acetyltransferase GCN5, putative | location=PvP01_05_v2:472790-478013(-) | protein_length=1539 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0511000.1-p1   -           1539 5771at5820           -            379   1.3e-07   29.0   1.2   2   2   3.6e-10   1.7e-07   28.7   0.1   282   334  1462  1515  1420  1527 0.83 | transcript=PVP01_0511000.1 | gene=PVP01_0511000 | organism=Plasmodium_vivax_P01 | gene_product=histone acetyltransferase GCN5, putative | transcript_product=histone acetyltransferase GCN5, putative | location=PvP01_05_v2:472790-478013(-) | protein_length=1539 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1414800.1-p1   -            400 5771at5820           -            379   1.5e-07   28.8   5.5   1   2   3.2e-10   1.5e-07   28.8   5.5    12   191     7   183     3   196 0.78 | transcript=PVP01_1414800.1 | gene=PVP01_1414800 | organism=Plasmodium_vivax_P01 | gene_product=ankyrin-repeat protein, putative | transcript_product=ankyrin-repeat protein, putative | location=PvP01_14_v2:663536-664738(-) | protein_length=400 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1414800.1-p1   -            400 5771at5820           -            379   1.5e-07   28.8   5.5   2   2      0.46   2.1e+02   -1.3   4.1   141   279   201   340   187   392 0.67 | transcript=PVP01_1414800.1 | gene=PVP01_1414800 | organism=Plasmodium_vivax_P01 | gene_product=ankyrin-repeat protein, putative | transcript_product=ankyrin-repeat protein, putative | location=PvP01_14_v2:663536-664738(-) | protein_length=400 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0919600.1-p1   -            366 5771at5820           -            379   1.7e-06   25.4   0.1   1   1     6e-09   2.8e-06   24.6   0.1    84   141   289   346   268   357 0.89 | transcript=PVP01_0919600.1 | gene=PVP01_0919600 | organism=Plasmodium_vivax_P01 | gene_product=acyl-CoA-binding protein, putative | transcript_product=acyl-CoA-binding protein, putative | location=PvP01_09_v2:857907-859007(-) | protein_length=366 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0204600.1-p1   -           1567 5771at5820           -            379   4.3e-06   24.0   0.1   1   1   1.6e-08   7.5e-06   23.2   0.1   252   329   838   922   823   932 0.72 | transcript=PVP01_0204600.1 | gene=PVP01_0204600 | organism=Plasmodium_vivax_P01 | gene_product=bromodomain protein 3, putative | transcript_product=bromodomain protein 3, putative | location=PvP01_02_v2:218248-223110(-) | protein_length=1567 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1025900.1-p1   -           1545 5771at5820           -            379    0.0001   19.5   0.1   1   2       1.6   7.6e+02   -3.1   0.0    82   109   850   877   841   890 0.52 | transcript=PVP01_1025900.1 | gene=PVP01_1025900 | organism=Plasmodium_vivax_P01 | gene_product=SET domain protein, putative | transcript_product=SET domain protein, putative | location=PvP01_10_v2:1129117-1133754(-) | protein_length=1545 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
