#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1443300.1-p1   -           1615 1050at5820           -           1053         0 1511.0  85.5   1   9     4e-26   5.3e-23   79.3   0.1    13    72    70   131    65   137 0.91 | transcript=PVP01_1443300.1 | gene=PVP01_1443300 | organism=Plasmodium_vivax_P01 | gene_product=isoleucine--tRNA ligase, putative | transcript_product=isoleucine--tRNA ligase, putative | location=PvP01_14_v2:1880402-1885757(+) | protein_length=1615 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1443300.1-p1   -           1615 1050at5820           -           1053         0 1511.0  85.5   2   9   4.7e-52   6.1e-49  165.2   6.8    71   171   192   291   158   300 0.88 | transcript=PVP01_1443300.1 | gene=PVP01_1443300 | organism=Plasmodium_vivax_P01 | gene_product=isoleucine--tRNA ligase, putative | transcript_product=isoleucine--tRNA ligase, putative | location=PvP01_14_v2:1880402-1885757(+) | protein_length=1615 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1443300.1-p1   -           1615 1050at5820           -           1053         0 1511.0  85.5   3   9   2.1e-70   2.8e-67  225.9   1.5   165   305   354   497   346   500 0.95 | transcript=PVP01_1443300.1 | gene=PVP01_1443300 | organism=Plasmodium_vivax_P01 | gene_product=isoleucine--tRNA ligase, putative | transcript_product=isoleucine--tRNA ligase, putative | location=PvP01_14_v2:1880402-1885757(+) | protein_length=1615 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1443300.1-p1   -           1615 1050at5820           -           1053         0 1511.0  85.5   4   9     2e-62   2.6e-59  199.5   1.9   302   441   517   664   511   671 0.94 | transcript=PVP01_1443300.1 | gene=PVP01_1443300 | organism=Plasmodium_vivax_P01 | gene_product=isoleucine--tRNA ligase, putative | transcript_product=isoleucine--tRNA ligase, putative | location=PvP01_14_v2:1880402-1885757(+) | protein_length=1615 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1443300.1-p1   -           1615 1050at5820           -           1053         0 1511.0  85.5   5   9   1.1e-10   1.4e-07   28.2   0.0   445   479   707   741   700   744 0.93 | transcript=PVP01_1443300.1 | gene=PVP01_1443300 | organism=Plasmodium_vivax_P01 | gene_product=isoleucine--tRNA ligase, putative | transcript_product=isoleucine--tRNA ligase, putative | location=PvP01_14_v2:1880402-1885757(+) | protein_length=1615 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1443300.1-p1   -           1615 1050at5820           -           1053         0 1511.0  85.5   6   9   4.9e-81   6.3e-78  261.2   7.8   480   621   795   946   790   950 0.96 | transcript=PVP01_1443300.1 | gene=PVP01_1443300 | organism=Plasmodium_vivax_P01 | gene_product=isoleucine--tRNA ligase, putative | transcript_product=isoleucine--tRNA ligase, putative | location=PvP01_14_v2:1880402-1885757(+) | protein_length=1615 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1443300.1-p1   -           1615 1050at5820           -           1053         0 1511.0  85.5   7   9   1.3e-21   1.7e-18   64.4   1.0   633   700   998  1086   992  1093 0.81 | transcript=PVP01_1443300.1 | gene=PVP01_1443300 | organism=Plasmodium_vivax_P01 | gene_product=isoleucine--tRNA ligase, putative | transcript_product=isoleucine--tRNA ligase, putative | location=PvP01_14_v2:1880402-1885757(+) | protein_length=1615 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1443300.1-p1   -           1615 1050at5820           -           1053         0 1511.0  85.5   8   9   2.8e-17   3.7e-14   50.1   0.5   699   733  1154  1188  1151  1191 0.95 | transcript=PVP01_1443300.1 | gene=PVP01_1443300 | organism=Plasmodium_vivax_P01 | gene_product=isoleucine--tRNA ligase, putative | transcript_product=isoleucine--tRNA ligase, putative | location=PvP01_14_v2:1880402-1885757(+) | protein_length=1615 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1443300.1-p1   -           1615 1050at5820           -           1053         0 1511.0  85.5   9   9  1.8e-143  2.4e-140  467.8  15.0   734  1053  1236  1612  1231  1612 0.88 | transcript=PVP01_1443300.1 | gene=PVP01_1443300 | organism=Plasmodium_vivax_P01 | gene_product=isoleucine--tRNA ligase, putative | transcript_product=isoleucine--tRNA ligase, putative | location=PvP01_14_v2:1880402-1885757(+) | protein_length=1615 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1221800.1-p1   -           1206 1050at5820           -           1053   3.8e-50  169.2  20.1   1   1   7.8e-52     1e-48  164.5  20.1    97   891   101   908    72   912 0.78 | transcript=PVP01_1221800.1 | gene=PVP01_1221800 | organism=Plasmodium_vivax_P01 | gene_product=isoleucine--tRNA ligase, putative | transcript_product=isoleucine--tRNA ligase, putative | location=PvP01_12_v2:864226-867846(+) | protein_length=1206 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1244900.1-p1   -           1071 1050at5820           -           1053     5e-18   62.9  27.9   1   7     3e-10   3.9e-07   26.8   2.6    91   261    68   231     5   283 0.75 | transcript=PVP01_1244900.1 | gene=PVP01_1244900 | organism=Plasmodium_vivax_P01 | gene_product=valine--tRNA ligase, putative | transcript_product=valine--tRNA ligase, putative | location=PvP01_12_v2:1853908-1857123(-) | protein_length=1071 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1244900.1-p1   -           1071 1050at5820           -           1053     5e-18   62.9  27.9   2   7   1.1e-05     0.015   11.6   0.0   397   443   310   355   300   369 0.85 | transcript=PVP01_1244900.1 | gene=PVP01_1244900 | organism=Plasmodium_vivax_P01 | gene_product=valine--tRNA ligase, putative | transcript_product=valine--tRNA ligase, putative | location=PvP01_12_v2:1853908-1857123(-) | protein_length=1071 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1244900.1-p1   -           1071 1050at5820           -           1053     5e-18   62.9  27.9   3   7   1.7e-06    0.0022   14.4   0.7   527   583   417   476   395   480 0.78 | transcript=PVP01_1244900.1 | gene=PVP01_1244900 | organism=Plasmodium_vivax_P01 | gene_product=valine--tRNA ligase, putative | transcript_product=valine--tRNA ligase, putative | location=PvP01_12_v2:1853908-1857123(-) | protein_length=1071 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1244900.1-p1   -           1071 1050at5820           -           1053     5e-18   62.9  27.9   4   7   7.1e-06    0.0093   12.3   0.0   678   733   578   633   573   639 0.91 | transcript=PVP01_1244900.1 | gene=PVP01_1244900 | organism=Plasmodium_vivax_P01 | gene_product=valine--tRNA ligase, putative | transcript_product=valine--tRNA ligase, putative | location=PvP01_12_v2:1853908-1857123(-) | protein_length=1071 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1244900.1-p1   -           1071 1050at5820           -           1053     5e-18   62.9  27.9   5   7   1.8e-05     0.023   11.0   0.1   766   853   702   802   671   808 0.73 | transcript=PVP01_1244900.1 | gene=PVP01_1244900 | organism=Plasmodium_vivax_P01 | gene_product=valine--tRNA ligase, putative | transcript_product=valine--tRNA ligase, putative | location=PvP01_12_v2:1853908-1857123(-) | protein_length=1071 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1244900.1-p1   -           1071 1050at5820           -           1053     5e-18   62.9  27.9   6   7     0.033        43    0.2   0.0   860   889   845   874   839   922 0.73 | transcript=PVP01_1244900.1 | gene=PVP01_1244900 | organism=Plasmodium_vivax_P01 | gene_product=valine--tRNA ligase, putative | transcript_product=valine--tRNA ligase, putative | location=PvP01_12_v2:1853908-1857123(-) | protein_length=1071 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1244900.1-p1   -           1071 1050at5820           -           1053     5e-18   62.9  27.9   7   7     0.076     1e+02   -1.0   0.3   431   470   949   988   936  1002 0.79 | transcript=PVP01_1244900.1 | gene=PVP01_1244900 | organism=Plasmodium_vivax_P01 | gene_product=valine--tRNA ligase, putative | transcript_product=valine--tRNA ligase, putative | location=PvP01_12_v2:1853908-1857123(-) | protein_length=1071 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0804700.1-p1   -            748 1050at5820           -           1053   4.5e-13   46.5  29.4   1   3   5.9e-07   0.00077   15.9   3.9   107   230   171   303   123   323 0.71 | transcript=PVP01_0804700.1 | gene=PVP01_0804700 | organism=Plasmodium_vivax_P01 | gene_product=methionine--tRNA ligase, putative | transcript_product=methionine--tRNA ligase, putative | location=PvP01_08_v2:225040-227286(-) | protein_length=748 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0804700.1-p1   -            748 1050at5820           -           1053   4.5e-13   46.5  29.4   2   3   2.3e-05      0.03   10.6   0.9   531   609   326   405   313   409 0.72 | transcript=PVP01_0804700.1 | gene=PVP01_0804700 | organism=Plasmodium_vivax_P01 | gene_product=methionine--tRNA ligase, putative | transcript_product=methionine--tRNA ligase, putative | location=PvP01_08_v2:225040-227286(-) | protein_length=748 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0804700.1-p1   -            748 1050at5820           -           1053   4.5e-13   46.5  29.4   3   3   2.2e-11   2.8e-08   30.6  10.5   686   886   512   715   503   719 0.72 | transcript=PVP01_0804700.1 | gene=PVP01_0804700 | organism=Plasmodium_vivax_P01 | gene_product=methionine--tRNA ligase, putative | transcript_product=methionine--tRNA ligase, putative | location=PvP01_08_v2:225040-227286(-) | protein_length=748 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0506200.1-p1   -           1311 1050at5820           -           1053   2.8e-08   30.6   5.8   1   3   4.5e-08   5.8e-05   19.6   0.7   104   171   157   226   149   318 0.75 | transcript=PVP01_0506200.1 | gene=PVP01_0506200 | organism=Plasmodium_vivax_P01 | gene_product=leucine--tRNA ligase, putative | transcript_product=leucine--tRNA ligase, putative | location=PvP01_05_v2:274417-278352(-) | protein_length=1311 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0506200.1-p1   -           1311 1050at5820           -           1053   2.8e-08   30.6   5.8   2   3     0.034        44    0.1   0.0   561   579   601   619   591   621 0.84 | transcript=PVP01_0506200.1 | gene=PVP01_0506200 | organism=Plasmodium_vivax_P01 | gene_product=leucine--tRNA ligase, putative | transcript_product=leucine--tRNA ligase, putative | location=PvP01_05_v2:274417-278352(-) | protein_length=1311 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0506200.1-p1   -           1311 1050at5820           -           1053   2.8e-08   30.6   5.8   3   3     2e-05     0.026   10.9   0.1   712   754   914   956   910   980 0.86 | transcript=PVP01_0506200.1 | gene=PVP01_0506200 | organism=Plasmodium_vivax_P01 | gene_product=leucine--tRNA ligase, putative | transcript_product=leucine--tRNA ligase, putative | location=PvP01_05_v2:274417-278352(-) | protein_length=1311 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1050at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/1050at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1050at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:26:33 2026
# [ok]
