#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0319700.1-p1   -           1612 1624at5820           -            953         0 1159.4  46.1   1  11   3.2e-07   8.6e-05   19.4   0.0     1    25     1    25     1    36 0.90 | transcript=PVP01_0319700.1 | gene=PVP01_0319700 | organism=Plasmodium_vivax_P01 | gene_product=Rab GTPase activator and protein kinase, putative | transcript_product=Rab GTPase activator and protein kinase, putative | location=PvP01_03_v2:817925-822763(+) | protein_length=1612 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0319700.1-p1   -           1612 1624at5820           -            953         0 1159.4  46.1   2  11   6.8e-28   1.8e-25   87.8   0.0    23    91    48   116    44   119 0.95 | transcript=PVP01_0319700.1 | gene=PVP01_0319700 | organism=Plasmodium_vivax_P01 | gene_product=Rab GTPase activator and protein kinase, putative | transcript_product=Rab GTPase activator and protein kinase, putative | location=PvP01_03_v2:817925-822763(+) | protein_length=1612 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0319700.1-p1   -           1612 1624at5820           -            953         0 1159.4  46.1   3  11   5.2e-27   1.4e-24   84.9   0.0    93   153   149   209   143   214 0.96 | transcript=PVP01_0319700.1 | gene=PVP01_0319700 | organism=Plasmodium_vivax_P01 | gene_product=Rab GTPase activator and protein kinase, putative | transcript_product=Rab GTPase activator and protein kinase, putative | location=PvP01_03_v2:817925-822763(+) | protein_length=1612 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0319700.1-p1   -           1612 1624at5820           -            953         0 1159.4  46.1   4  11     4e-16   1.1e-13   48.9   0.0   159   211   276   337   272   342 0.90 | transcript=PVP01_0319700.1 | gene=PVP01_0319700 | organism=Plasmodium_vivax_P01 | gene_product=Rab GTPase activator and protein kinase, putative | transcript_product=Rab GTPase activator and protein kinase, putative | location=PvP01_03_v2:817925-822763(+) | protein_length=1612 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0319700.1-p1   -           1612 1624at5820           -            953         0 1159.4  46.1   5  11   3.6e-11   9.8e-09   32.4   0.0   212   264   382   440   378   443 0.84 | transcript=PVP01_0319700.1 | gene=PVP01_0319700 | organism=Plasmodium_vivax_P01 | gene_product=Rab GTPase activator and protein kinase, putative | transcript_product=Rab GTPase activator and protein kinase, putative | location=PvP01_03_v2:817925-822763(+) | protein_length=1612 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0319700.1-p1   -           1612 1624at5820           -            953         0 1159.4  46.1   6  11   3.4e-27   9.2e-25   85.5   0.0   264   343   477   565   473   568 0.89 | transcript=PVP01_0319700.1 | gene=PVP01_0319700 | organism=Plasmodium_vivax_P01 | gene_product=Rab GTPase activator and protein kinase, putative | transcript_product=Rab GTPase activator and protein kinase, putative | location=PvP01_03_v2:817925-822763(+) | protein_length=1612 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0319700.1-p1   -           1612 1624at5820           -            953         0 1159.4  46.1   7  11     1e-27   2.8e-25   87.2   4.0   344   434   618   721   601   738 0.85 | transcript=PVP01_0319700.1 | gene=PVP01_0319700 | organism=Plasmodium_vivax_P01 | gene_product=Rab GTPase activator and protein kinase, putative | transcript_product=Rab GTPase activator and protein kinase, putative | location=PvP01_03_v2:817925-822763(+) | protein_length=1612 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0319700.1-p1   -           1612 1624at5820           -            953         0 1159.4  46.1   8  11   1.1e-39   3.1e-37  126.8   0.0   435   562   829   968   816   978 0.85 | transcript=PVP01_0319700.1 | gene=PVP01_0319700 | organism=Plasmodium_vivax_P01 | gene_product=Rab GTPase activator and protein kinase, putative | transcript_product=Rab GTPase activator and protein kinase, putative | location=PvP01_03_v2:817925-822763(+) | protein_length=1612 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0319700.1-p1   -           1612 1624at5820           -            953         0 1159.4  46.1   9  11   1.2e-90   3.3e-88  295.5  11.1   550   749  1040  1249  1030  1252 0.93 | transcript=PVP01_0319700.1 | gene=PVP01_0319700 | organism=Plasmodium_vivax_P01 | gene_product=Rab GTPase activator and protein kinase, putative | transcript_product=Rab GTPase activator and protein kinase, putative | location=PvP01_03_v2:817925-822763(+) | protein_length=1612 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0319700.1-p1   -           1612 1624at5820           -            953         0 1159.4  46.1  10  11   1.6e-13   4.4e-11   40.2   0.0   748   780  1278  1310  1271  1320 0.92 | transcript=PVP01_0319700.1 | gene=PVP01_0319700 | organism=Plasmodium_vivax_P01 | gene_product=Rab GTPase activator and protein kinase, putative | transcript_product=Rab GTPase activator and protein kinase, putative | location=PvP01_03_v2:817925-822763(+) | protein_length=1612 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0319700.1-p1   -           1612 1624at5820           -            953         0 1159.4  46.1  11  11   2.5e-76   6.7e-74  248.1  12.5   779   953  1411  1612  1408  1612 0.86 | transcript=PVP01_0319700.1 | gene=PVP01_0319700 | organism=Plasmodium_vivax_P01 | gene_product=Rab GTPase activator and protein kinase, putative | transcript_product=Rab GTPase activator and protein kinase, putative | location=PvP01_03_v2:817925-822763(+) | protein_length=1612 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
