#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1261400.1-p1   -            786 7357at5820           -            357  5.3e-172  570.4  36.7   1   5   6.5e-69   1.3e-66  223.7   1.4     1   114     1   113     1   135 0.93 | transcript=PVP01_1261400.1 | gene=PVP01_1261400 | organism=Plasmodium_vivax_P01 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=PvP01_12_v2:2531620-2534682(-) | protein_length=786 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1261400.1-p1   -            786 7357at5820           -            357  5.3e-172  570.4  36.7   2   5   1.3e-07   2.4e-05   22.1   3.5   110   136   153   179   146   222 0.83 | transcript=PVP01_1261400.1 | gene=PVP01_1261400 | organism=Plasmodium_vivax_P01 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=PvP01_12_v2:2531620-2534682(-) | protein_length=786 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1261400.1-p1   -            786 7357at5820           -            357  5.3e-172  570.4  36.7   3   5   1.1e-23   2.1e-21   75.0   0.1   144   228   240   334   235   343 0.89 | transcript=PVP01_1261400.1 | gene=PVP01_1261400 | organism=Plasmodium_vivax_P01 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=PvP01_12_v2:2531620-2534682(-) | protein_length=786 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1261400.1-p1   -            786 7357at5820           -            357  5.3e-172  570.4  36.7   4   5   8.7e-70   1.7e-67  226.6   6.0   203   331   419   561   409   565 0.93 | transcript=PVP01_1261400.1 | gene=PVP01_1261400 | organism=Plasmodium_vivax_P01 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=PvP01_12_v2:2531620-2534682(-) | protein_length=786 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1261400.1-p1   -            786 7357at5820           -            357  5.3e-172  570.4  36.7   5   5   4.1e-13   7.9e-11   40.2   0.3   329   357   758   786   750   786 0.92 | transcript=PVP01_1261400.1 | gene=PVP01_1261400 | organism=Plasmodium_vivax_P01 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=PvP01_12_v2:2531620-2534682(-) | protein_length=786 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1442500.1-p1   -            885 7357at5820           -            357   1.8e-13   48.9  29.4   1   4   0.00013     0.025   12.2   0.0    32   108    18    94    13   102 0.88 | transcript=PVP01_1442500.1 | gene=PVP01_1442500 | organism=Plasmodium_vivax_P01 | gene_product=polyadenylate-binding protein 1, putative | transcript_product=polyadenylate-binding protein 1, putative | location=PvP01_14_v2:1852026-1854683(+) | protein_length=885 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1442500.1-p1   -            885 7357at5820           -            357   1.8e-13   48.9  29.4   2   4   6.9e-06    0.0013   16.4   0.1    31   103   105   176    95   188 0.86 | transcript=PVP01_1442500.1 | gene=PVP01_1442500 | organism=Plasmodium_vivax_P01 | gene_product=polyadenylate-binding protein 1, putative | transcript_product=polyadenylate-binding protein 1, putative | location=PvP01_14_v2:1852026-1854683(+) | protein_length=885 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1442500.1-p1   -            885 7357at5820           -            357   1.8e-13   48.9  29.4   3   4   2.5e-07   4.8e-05   21.2   0.5    17    96   180   256   167   274 0.83 | transcript=PVP01_1442500.1 | gene=PVP01_1442500 | organism=Plasmodium_vivax_P01 | gene_product=polyadenylate-binding protein 1, putative | transcript_product=polyadenylate-binding protein 1, putative | location=PvP01_14_v2:1852026-1854683(+) | protein_length=885 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1442500.1-p1   -            885 7357at5820           -            357   1.8e-13   48.9  29.4   4   4   1.3e-07   2.6e-05   22.0   0.2    30   110   449   528   424   576 0.79 | transcript=PVP01_1442500.1 | gene=PVP01_1442500 | organism=Plasmodium_vivax_P01 | gene_product=polyadenylate-binding protein 1, putative | transcript_product=polyadenylate-binding protein 1, putative | location=PvP01_14_v2:1852026-1854683(+) | protein_length=885 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1112500.1-p1   -            513 7357at5820           -            357   3.7e-13   47.8   1.0   1   3     0.021         4    5.0   0.1    32    93    90   151    84   167 0.85 | transcript=PVP01_1112500.1 | gene=PVP01_1112500 | organism=Plasmodium_vivax_P01 | gene_product=CUGBP Elav-like family member 1, putative | transcript_product=CUGBP Elav-like family member 1, putative | location=PvP01_11_v2:536358-538080(+) | protein_length=513 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1112500.1-p1   -            513 7357at5820           -            357   3.7e-13   47.8   1.0   2   3   3.7e-05    0.0071   14.0   0.0    32   106   189   264   162   287 0.87 | transcript=PVP01_1112500.1 | gene=PVP01_1112500 | organism=Plasmodium_vivax_P01 | gene_product=CUGBP Elav-like family member 1, putative | transcript_product=CUGBP Elav-like family member 1, putative | location=PvP01_11_v2:536358-538080(+) | protein_length=513 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
