#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0527400.1-p1   -           4453 83at5820             -           2879         0 3743.3 210.6   1  21   2.3e-89   1.5e-85  285.8   7.9     2   170     6   176     5   180 0.97 | transcript=PVP01_0527400.1 | gene=PVP01_0527400 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_05_v2:1119920-1134422(+) | protein_length=4453 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0527400.1-p1   -           4453 83at5820             -           2879         0 3743.3 210.6   2  21   9.4e-82   6.1e-78  260.5   0.5   164   376   209   444   202   450 0.91 | transcript=PVP01_0527400.1 | gene=PVP01_0527400 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_05_v2:1119920-1134422(+) | protein_length=4453 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0527400.1-p1   -           4453 83at5820             -           2879         0 3743.3 210.6   3  21   9.7e-58   6.3e-54  180.9   0.3   375   488   514   627   510   631 0.98 | transcript=PVP01_0527400.1 | gene=PVP01_0527400 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_05_v2:1119920-1134422(+) | protein_length=4453 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0527400.1-p1   -           4453 83at5820             -           2879         0 3743.3 210.6   4  21   4.6e-37     3e-33  112.3  19.3   488   591   662   792   658   799 0.83 | transcript=PVP01_0527400.1 | gene=PVP01_0527400 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_05_v2:1119920-1134422(+) | protein_length=4453 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0527400.1-p1   -           4453 83at5820             -           2879         0 3743.3 210.6   5  21   4.2e-09   2.8e-05   19.5   0.1   589   644   825   894   815   907 0.78 | transcript=PVP01_0527400.1 | gene=PVP01_0527400 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_05_v2:1119920-1134422(+) | protein_length=4453 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0527400.1-p1   -           4453 83at5820             -           2879         0 3743.3 210.6   6  21  4.2e-143  2.8e-139  464.1   1.1   639  1034   957  1422   954  1431 0.88 | transcript=PVP01_0527400.1 | gene=PVP01_0527400 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_05_v2:1119920-1134422(+) | protein_length=4453 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0527400.1-p1   -           4453 83at5820             -           2879         0 3743.3 210.6   7  21   9.9e-60   6.5e-56  187.5   0.1  1028  1186  1505  1695  1497  1699 0.86 | transcript=PVP01_0527400.1 | gene=PVP01_0527400 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_05_v2:1119920-1134422(+) | protein_length=4453 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0527400.1-p1   -           4453 83at5820             -           2879         0 3743.3 210.6   8  21   6.7e-39   4.4e-35  118.3   0.1  1186  1295  1753  1880  1747  1901 0.86 | transcript=PVP01_0527400.1 | gene=PVP01_0527400 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_05_v2:1119920-1134422(+) | protein_length=4453 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0527400.1-p1   -           4453 83at5820             -           2879         0 3743.3 210.6   9  21     5e-66   3.2e-62  208.4   2.3  1304  1440  1934  2080  1928  2091 0.92 | transcript=PVP01_0527400.1 | gene=PVP01_0527400 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_05_v2:1119920-1134422(+) | protein_length=4453 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0527400.1-p1   -           4453 83at5820             -           2879         0 3743.3 210.6  10  21   9.2e-09     6e-05   18.4   1.0  1434  1466  2142  2176  2136  2178 0.81 | transcript=PVP01_0527400.1 | gene=PVP01_0527400 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_05_v2:1119920-1134422(+) | protein_length=4453 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0527400.1-p1   -           4453 83at5820             -           2879         0 3743.3 210.6  11  21   5.8e-16   3.8e-12   42.2   0.3  1465  1500  2225  2260  2222  2267 0.94 | transcript=PVP01_0527400.1 | gene=PVP01_0527400 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_05_v2:1119920-1134422(+) | protein_length=4453 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
