#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0620100.1-p1   -           1170 3333at5820           -            635  1.1e-284  944.2  57.2   1   8   5.5e-50   1.8e-46  157.3   8.1     2   124    34   170    33   178 0.90 | transcript=PVP01_0620100.1 | gene=PVP01_0620100 | organism=Plasmodium_vivax_P01 | gene_product=U2 snRNA/tRNA pseudouridine synthase, putative | transcript_product=U2 snRNA/tRNA pseudouridine synthase, putative | location=PvP01_06_v2:816113-819625(-) | protein_length=1170 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0620100.1-p1   -           1170 3333at5820           -            635  1.1e-284  944.2  57.2   2   8   1.1e-18   3.4e-15   53.9   0.0   124   165   203   244   199   251 0.94 | transcript=PVP01_0620100.1 | gene=PVP01_0620100 | organism=Plasmodium_vivax_P01 | gene_product=U2 snRNA/tRNA pseudouridine synthase, putative | transcript_product=U2 snRNA/tRNA pseudouridine synthase, putative | location=PvP01_06_v2:816113-819625(-) | protein_length=1170 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0620100.1-p1   -           1170 3333at5820           -            635  1.1e-284  944.2  57.2   3   8   2.1e-15   6.7e-12   43.0   0.5   164   215   274   334   266   338 0.85 | transcript=PVP01_0620100.1 | gene=PVP01_0620100 | organism=Plasmodium_vivax_P01 | gene_product=U2 snRNA/tRNA pseudouridine synthase, putative | transcript_product=U2 snRNA/tRNA pseudouridine synthase, putative | location=PvP01_06_v2:816113-819625(-) | protein_length=1170 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0620100.1-p1   -           1170 3333at5820           -            635  1.1e-284  944.2  57.2   4   8   4.7e-47   1.5e-43  147.6   9.6   209   299   463   553   446   556 0.92 | transcript=PVP01_0620100.1 | gene=PVP01_0620100 | organism=Plasmodium_vivax_P01 | gene_product=U2 snRNA/tRNA pseudouridine synthase, putative | transcript_product=U2 snRNA/tRNA pseudouridine synthase, putative | location=PvP01_06_v2:816113-819625(-) | protein_length=1170 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0620100.1-p1   -           1170 3333at5820           -            635  1.1e-284  944.2  57.2   5   8   2.1e-54   6.7e-51  171.9   2.5   300   401   587   695   584   699 0.93 | transcript=PVP01_0620100.1 | gene=PVP01_0620100 | organism=Plasmodium_vivax_P01 | gene_product=U2 snRNA/tRNA pseudouridine synthase, putative | transcript_product=U2 snRNA/tRNA pseudouridine synthase, putative | location=PvP01_06_v2:816113-819625(-) | protein_length=1170 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0620100.1-p1   -           1170 3333at5820           -            635  1.1e-284  944.2  57.2   6   8   9.2e-47     3e-43  146.6   2.8   398   482   850   934   833   941 0.92 | transcript=PVP01_0620100.1 | gene=PVP01_0620100 | organism=Plasmodium_vivax_P01 | gene_product=U2 snRNA/tRNA pseudouridine synthase, putative | transcript_product=U2 snRNA/tRNA pseudouridine synthase, putative | location=PvP01_06_v2:816113-819625(-) | protein_length=1170 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0620100.1-p1   -           1170 3333at5820           -            635  1.1e-284  944.2  57.2   7   8     7e-52   2.3e-48  163.5   0.0   481   583   962  1067   958  1070 0.95 | transcript=PVP01_0620100.1 | gene=PVP01_0620100 | organism=Plasmodium_vivax_P01 | gene_product=U2 snRNA/tRNA pseudouridine synthase, putative | transcript_product=U2 snRNA/tRNA pseudouridine synthase, putative | location=PvP01_06_v2:816113-819625(-) | protein_length=1170 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0620100.1-p1   -           1170 3333at5820           -            635  1.1e-284  944.2  57.2   8   8   4.1e-27   1.3e-23   81.7   0.0   574   634  1110  1169  1106  1170 0.93 | transcript=PVP01_0620100.1 | gene=PVP01_0620100 | organism=Plasmodium_vivax_P01 | gene_product=U2 snRNA/tRNA pseudouridine synthase, putative | transcript_product=U2 snRNA/tRNA pseudouridine synthase, putative | location=PvP01_06_v2:816113-819625(-) | protein_length=1170 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0215800.1-p1   -            901 3333at5820           -            635   1.2e-17   62.0  22.4   1   5   0.00031         1    6.1   0.0    25    48    75    98    58   106 0.85 | transcript=PVP01_0215800.1 | gene=PVP01_0215800 | organism=Plasmodium_vivax_P01 | gene_product=tRNA pseudouridine synthase D, putative | transcript_product=tRNA pseudouridine synthase D, putative | location=PvP01_02_v2:670381-673086(+) | protein_length=901 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0215800.1-p1   -            901 3333at5820           -            635   1.2e-17   62.0  22.4   2   5   9.2e-20     3e-16   57.4  11.6   233   384   162   331   154   364 0.75 | transcript=PVP01_0215800.1 | gene=PVP01_0215800 | organism=Plasmodium_vivax_P01 | gene_product=tRNA pseudouridine synthase D, putative | transcript_product=tRNA pseudouridine synthase D, putative | location=PvP01_02_v2:670381-673086(+) | protein_length=901 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0215800.1-p1   -            901 3333at5820           -            635   1.2e-17   62.0  22.4   3   5    0.0022       7.1    3.3   0.0   448   484   501   537   484   557 0.81 | transcript=PVP01_0215800.1 | gene=PVP01_0215800 | organism=Plasmodium_vivax_P01 | gene_product=tRNA pseudouridine synthase D, putative | transcript_product=tRNA pseudouridine synthase D, putative | location=PvP01_02_v2:670381-673086(+) | protein_length=901 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
