#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1329100.1-p1   -            563 5494at5820           -            442  6.7e-258  854.2  15.5   1   2   2.7e-74     3e-71  239.1   0.4     1   118    47   171    47   181 0.96 | transcript=PVP01_1329100.1 | gene=PVP01_1329100 | organism=Plasmodium_vivax_P01 | gene_product=glutathione reductase, putative | transcript_product=glutathione reductase, putative | location=PvP01_13_v2:1231473-1233558(+) | protein_length=563 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1329100.1-p1   -            563 5494at5820           -            442  6.7e-258  854.2  15.5   2   2  1.3e-189  1.4e-186  619.2   9.1   116   442   201   563   188   563 0.95 | transcript=PVP01_1329100.1 | gene=PVP01_1329100 | organism=Plasmodium_vivax_P01 | gene_product=glutathione reductase, putative | transcript_product=glutathione reductase, putative | location=PvP01_13_v2:1231473-1233558(+) | protein_length=563 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0722300.1-p1   -            546 5494at5820           -            442   6.1e-64  215.0   0.0   1   2   8.7e-38   9.5e-35  118.8   0.0     3   274    46   365    44   368 0.78 | transcript=PVP01_0722300.1 | gene=PVP01_0722300 | organism=Plasmodium_vivax_P01 | gene_product=thioredoxin reductase, putative | transcript_product=thioredoxin reductase, putative | location=PvP01_07_v2:961091-962731(-) | protein_length=546 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0722300.1-p1   -            546 5494at5820           -            442   6.1e-64  215.0   0.0   2   2   2.4e-30   2.6e-27   94.3   0.0   297   437   369   524   363   527 0.85 | transcript=PVP01_0722300.1 | gene=PVP01_0722300 | organism=Plasmodium_vivax_P01 | gene_product=thioredoxin reductase, putative | transcript_product=thioredoxin reductase, putative | location=PvP01_07_v2:961091-962731(-) | protein_length=546 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1450400.1-p1   -            512 5494at5820           -            442   2.4e-29  101.0  10.7   1   1   3.7e-31     4e-28   97.0  10.7     3   434    25   498    23   506 0.72 | transcript=PVP01_1450400.1 | gene=PVP01_1450400 | organism=Plasmodium_vivax_P01 | gene_product=dihydrolipoyl dehydrogenase, mitochondrial, putative | transcript_product=dihydrolipoyl dehydrogenase, mitochondrial, putative | location=PvP01_14_v2:2199683-2201447(+) | protein_length=512 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0519400.1-p1   -            674 5494at5820           -            442   1.8e-17   61.9  15.5   1   2   5.5e-11     6e-08   30.5   7.9     3   172   125   339   123   353 0.64 | transcript=PVP01_0519400.1 | gene=PVP01_0519400 | organism=Plasmodium_vivax_P01 | gene_product=dihydrolipoyl dehydrogenase, apicoplast, putative | transcript_product=dihydrolipoyl dehydrogenase, apicoplast, putative | location=PvP01_05_v2:795786-797810(-) | protein_length=674 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0519400.1-p1   -            674 5494at5820           -            442   1.8e-17   61.9  15.5   2   2   5.6e-09   6.1e-06   23.9   0.8   224   433   422   660   416   665 0.69 | transcript=PVP01_0519400.1 | gene=PVP01_0519400 | organism=Plasmodium_vivax_P01 | gene_product=dihydrolipoyl dehydrogenase, apicoplast, putative | transcript_product=dihydrolipoyl dehydrogenase, apicoplast, putative | location=PvP01_05_v2:795786-797810(-) | protein_length=674 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0316100.1-p1   -            689 5494at5820           -            442    0.0016   15.9   0.3   1   2     0.022        24    2.1   0.0   151   174   395   418   378   431 0.82 | transcript=PVP01_0316100.1 | gene=PVP01_0316100 | organism=Plasmodium_vivax_P01 | gene_product=apoptosis-inducing factor, putative | transcript_product=apoptosis-inducing factor, putative | location=PvP01_03_v2:702991-705060(+) | protein_length=689 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0316100.1-p1   -            689 5494at5820           -            442    0.0016   15.9   0.3   2   2   4.6e-05      0.05   11.0   0.1   227   323   502   590   486   637 0.72 | transcript=PVP01_0316100.1 | gene=PVP01_0316100 | organism=Plasmodium_vivax_P01 | gene_product=apoptosis-inducing factor, putative | transcript_product=apoptosis-inducing factor, putative | location=PvP01_03_v2:702991-705060(+) | protein_length=689 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1461100.1-p1   -            864 5494at5820           -            442      0.02   12.3   0.2   1   1   3.3e-05     0.036   11.4   0.2     3    39    75   113    73   137 0.77 | transcript=PVP01_1461100.1 | gene=PVP01_1461100 | organism=Plasmodium_vivax_P01 | gene_product=glucose inhibited division protein a homologue, putative | transcript_product=glucose inhibited division protein a homologue, putative | location=PvP01_14_v2:2640048-2642949(-) | protein_length=864 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
