#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0214300.1-p1   -           1796 1454at5820           -            903         0 1260.6 231.8   1  11   1.3e-26   8.6e-23   78.9   3.1     9    65    19    75     1    92 0.89 | transcript=PVP01_0214300.1 | gene=PVP01_0214300 | organism=Plasmodium_vivax_P01 | gene_product=RING zinc finger protein, putative | transcript_product=RING zinc finger protein, putative | location=PvP01_02_v2:605539-611657(+) | protein_length=1796 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0214300.1-p1   -           1796 1454at5820           -            903         0 1260.6 231.8   2  11   8.9e-55   5.8e-51  172.1  14.8    60   157   108   205   101   207 0.97 | transcript=PVP01_0214300.1 | gene=PVP01_0214300 | organism=Plasmodium_vivax_P01 | gene_product=RING zinc finger protein, putative | transcript_product=RING zinc finger protein, putative | location=PvP01_02_v2:605539-611657(+) | protein_length=1796 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0214300.1-p1   -           1796 1454at5820           -            903         0 1260.6 231.8   3  11  7.3e-106  4.8e-102  341.2  12.9   152   332   276   462   270   467 0.94 | transcript=PVP01_0214300.1 | gene=PVP01_0214300 | organism=Plasmodium_vivax_P01 | gene_product=RING zinc finger protein, putative | transcript_product=RING zinc finger protein, putative | location=PvP01_02_v2:605539-611657(+) | protein_length=1796 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0214300.1-p1   -           1796 1454at5820           -            903         0 1260.6 231.8   4  11         1   6.5e+03  -10.0  12.5   703   752   509   555   494   564 0.49 | transcript=PVP01_0214300.1 | gene=PVP01_0214300 | organism=Plasmodium_vivax_P01 | gene_product=RING zinc finger protein, putative | transcript_product=RING zinc finger protein, putative | location=PvP01_02_v2:605539-611657(+) | protein_length=1796 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0214300.1-p1   -           1796 1454at5820           -            903         0 1260.6 231.8   5  11   0.00013      0.82    6.2  25.3   327   394   566   679   557   691 0.69 | transcript=PVP01_0214300.1 | gene=PVP01_0214300 | organism=Plasmodium_vivax_P01 | gene_product=RING zinc finger protein, putative | transcript_product=RING zinc finger protein, putative | location=PvP01_02_v2:605539-611657(+) | protein_length=1796 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0214300.1-p1   -           1796 1454at5820           -            903         0 1260.6 231.8   6  11   2.7e-11   1.8e-07   28.2   1.6   398   448   728   782   723   788 0.74 | transcript=PVP01_0214300.1 | gene=PVP01_0214300 | organism=Plasmodium_vivax_P01 | gene_product=RING zinc finger protein, putative | transcript_product=RING zinc finger protein, putative | location=PvP01_02_v2:605539-611657(+) | protein_length=1796 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0214300.1-p1   -           1796 1454at5820           -            903         0 1260.6 231.8   7  11   9.4e-21   6.1e-17   59.5   9.0   396   481   764   853   756   878 0.81 | transcript=PVP01_0214300.1 | gene=PVP01_0214300 | organism=Plasmodium_vivax_P01 | gene_product=RING zinc finger protein, putative | transcript_product=RING zinc finger protein, putative | location=PvP01_02_v2:605539-611657(+) | protein_length=1796 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0214300.1-p1   -           1796 1454at5820           -            903         0 1260.6 231.8   8  11   3.5e-16   2.3e-12   44.4   5.3   472   547   894   975   878   992 0.76 | transcript=PVP01_0214300.1 | gene=PVP01_0214300 | organism=Plasmodium_vivax_P01 | gene_product=RING zinc finger protein, putative | transcript_product=RING zinc finger protein, putative | location=PvP01_02_v2:605539-611657(+) | protein_length=1796 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0214300.1-p1   -           1796 1454at5820           -            903         0 1260.6 231.8   9  11   1.9e-60   1.2e-56  190.9  26.6   517   689  1060  1242  1036  1303 0.71 | transcript=PVP01_0214300.1 | gene=PVP01_0214300 | organism=Plasmodium_vivax_P01 | gene_product=RING zinc finger protein, putative | transcript_product=RING zinc finger protein, putative | location=PvP01_02_v2:605539-611657(+) | protein_length=1796 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0214300.1-p1   -           1796 1454at5820           -            903         0 1260.6 231.8  10  11   8.9e-23   5.8e-19   66.2  34.0   626   748  1456  1601  1448  1603 0.69 | transcript=PVP01_0214300.1 | gene=PVP01_0214300 | organism=Plasmodium_vivax_P01 | gene_product=RING zinc finger protein, putative | transcript_product=RING zinc finger protein, putative | location=PvP01_02_v2:605539-611657(+) | protein_length=1796 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0214300.1-p1   -           1796 1454at5820           -            903         0 1260.6 231.8  11  11  1.9e-102   1.2e-98  329.9  26.7   696   903  1580  1796  1574  1796 0.86 | transcript=PVP01_0214300.1 | gene=PVP01_0214300 | organism=Plasmodium_vivax_P01 | gene_product=RING zinc finger protein, putative | transcript_product=RING zinc finger protein, putative | location=PvP01_02_v2:605539-611657(+) | protein_length=1796 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1454at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/1454at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1454at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:33:47 2026
# [ok]
